id,pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
4325,anukampaka,adj,compassionate (towards); kind (to); concerned (for),MN19,dvedhāvitakkasuttaṃ,"satthārā karaṇīyaṃ sāvakānaṃ hit'esinā <b>anukampakena</b> anukampaṃ upādāya, kataṃ vo taṃ mayā.",AN4.63,brahmasuttaṃ,"brahmā'ti mātāpitaro,
pubb'ācariyā'ti vuccare,
āhuneyyā ca puttānaṃ,
pajāya <b>anukampakā</b>.",VV30,ucchudāyikā vimānavatthu,"tuvañ'ca bhante <b>anukampakaṃ</b> viduṃ,
upecca vandiṃ kusalañ'ca pucchisaṃ,
tato te ucchussa adāsi khaṇḍikaṃ,
pasannacitā atulāya pītiyā'ti.",,,
8454,amata 1.1,nt,deathless state; immortality; epithet of Nibbāna,Trad,,puññāni pakatāni me sukhañ'ca tividhaṃ dentu. khippaṃ pāpetha vo-<b>amataṃ</b>.,SN1.42,kiṃdadasuttaṃ,"so ca sabbadado hoti,
yo dadāti upassayaṃ,
<b>amataṃ</b> dado ca so hoti,
yo dhammam'anusāsatī'ti.",MN106,āneñjasappāyasuttaṃ,etaṃ <b>amataṃ</b> yadidaṃ anupādā cittassa vimokkho.,DHP21,appamādavaggo,"appamādo <b>amata</b>padaṃ, pamādo maccuno padaṃ.
appamattā na mīyanti, ye pamattā yathā matā."
28813,jhāyati 1.2,pr,meditates; contemplates,MN19,dvedhāvitakkasuttaṃ,"etāni, bhikkhu, rukkhamūlāni, etāni suññ'āgārāni. <b>jhāyatha</b>, bhikkhu, mā pamād'attha, mā pacchā vippaṭisārino ahuvattha. ayaṃ vo amhākaṃ anusāsanī'ti.",DHP371,bhikkhuvaggo,"<b>jhāya</b> bhikkhu mā pamādo,
mā te kāmaguṇe bhamassu cittaṃ,
mā lohaguḷaṃ gilī pamatto,
mā kandi dukkham'idan'ti ḍayhamāno.",,,,,,
42690,pamādattha,sandhi,(you all) be careless!; be negligent!; be heedless!,MN19,dvedhāvitakkasuttaṃ,"etāni, bhikkhave, rukkhamūlāni, etāni suññ'āgārāni. jhāyatha, bhikkhave, mā <b>pamād'attha</b>, mā pacchā vippaṭisārino ahuvattha. ayaṃ vo amhākaṃ anusāsanī'ti.",,,,,,,,,
57880,satthar 1,masc,master; teacher,MN19,dvedhāvitakkasuttaṃ,<b>satthārā</b> karaṇīyaṃ sāvakānaṃ hit'esinā anukampakena anukampaṃ upādāya,AN4.180,mahāpadesasuttaṃ," ayaṃ dhammo, ayaṃ vinayo, idaṃ <b>satthu</b>sāsanan'ti.",THI68,ekudāniyattheragāthā,"eso hi bhagavā buddho,
nadiṃ nerañjaraṃ pati,
sabbadukkhappahānāya,
dhammaṃ deseti pāṇinaṃ,
tass'āhaṃ santikaṃ gacchaṃ,
so me <b>satthā</b> bhavissati.",TH257,pārāpariyattheragāthā,"udar'āvadehakaṃ bhutvā, sayant'uttānaseyyakā.
kathaṃ vattenti paṭibuddhā, yā kathā <b>satthu</b>garahitā."
57901,satthārā,masc,by the teacher; with the master,MN19,dvedhāvitakkasuttaṃ,"yaṃ, bhikkhave, <b>satthārā</b> karaṇīyaṃ sāvakānaṃ hit'esinā anukampakena anukampaṃ upādāya, kataṃ vo taṃ mayā.",DHPa2.26.33,jaṭilatthera vatthu,"so <b>satthārā</b> dinnanaye ṭhatvā satthāraṃ vanditvā, ajja ādiṃ katvā mama santakaṃ dasikasuttamattam'pi maṃ abhibhavitvā anekasatā'pi rājāno vā corā vā gaṇhituṃ samatthā nāma mā hontu, aggināpi mama santakaṃ mā ḍayhatu, udakenapi mā vuyhatū'ti patthanaṃ akāsi.",SN21.1,kolitasuttaṃ,"yañ'hi taṃ, āvuso, sammā vadamāno vadeyya, <b>satthārā</b> anuggahito sāvako mah'ābhiññataṃ patto'ti, mamaṃ taṃ sammā vadamāno vadeyya, satthārā anuggahito sāvako mah'ābhiññataṃ patto'ti.",,,
63744,suññāgāra 1,nt,empty dwelling; uninhabited place,AN10.48,pabbajitābhiṇhasuttaṃ,kacci nu kho ahaṃ <b>suññ'āgāre</b> abhiramāmī'ti pabbajitena abhiṇhaṃ paccavekkhitabbaṃ,MN19,dvedhāvitakkasuttaṃ,"etāni, bhikkhave, rukkhamūlāni, etāni <b>suññ'āgārāni</b>. jhāyatha, bhikkhave, mā pamād'attha, mā pacchā vippaṭisārino ahuvattha. ayaṃ vo amhākaṃ anusāsanī'ti.",VIN1.1.4,catutthapārājikaṃ,uttarimanussadhammo nāma jhānaṃ vimokkho samādhi samāpatti ñāṇadassanaṃ maggabhāvanā phalasacchikiriyā kilesappahānaṃ vinīvaraṇatā cittassa <b>suññ'āgāre</b> abhirati.,,,
63948,suddhi,fem,purity; purification; holiness; epithet of Nibbāna,SNP46,"pasūrasuttaṃ
aṭṭhakavaggo 8","idh'eva <b>suddhi</b> iti vādayanti,
n'āññesu dhammesu visuddhim'āhu,
yaṃ nissitā tattha subhaṃ vadānā,
paccekasaccesu puthū niviṭṭhā.",SNP62,"nanda māṇava pucchā
pārāyanavaggo 7","ye kec'ime samaṇabrāhmaṇāse,
diṭṭhassutenāpi vadanti <b>suddhiṃ</b>,
sīlabbatenāpi vadanti <b>suddhiṃ</b>,
anekarūpena vadanti <b>suddhiṃ</b>,
kacci'ssu te bhagavā tattha yatā carantā,
atāru jātiñ'ca jarañ'ca mārisa,
pucchāmi taṃ bhagavā brūhi me taṃ.",SNP51,"mahābyūhasuttaṃ
aṭṭhakavaggo 13","sīl'uttamā saññamen'āhu <b>suddhiṃ</b>, vataṃ samādāya upaṭṭhitāse",SNP42,"suddhaṭṭhakasuttaṃ
aṭṭhakavaggo 4","diṭṭhena ce <b>suddhi</b> narassa hoti,
ñāṇena vā so pajahāti dukkhaṃ,
aññena so sujjhati sopadhīko,
diṭṭhī hi naṃ pāva tathā vadānaṃ."
68472,vippaṭisārī,adj,remorseful; regretful; repentant; sorry,MN19,dvedhāvitakkasuttaṃ,"etāni, bhikkhu, rukkhamūlāni, etāni suññ'āgārāni. jhāyatha, bhikkhu, mā pamād'attha, mā pacchā <b>vippaṭisārino</b> ahuvattha. ayaṃ vo amhākaṃ anusāsanī'ti.",,,,,,,,,
71237,hitesī 1,adj,benevolent (towards); who wishes well (for); who wants the best (for),MN19,dvedhāvitakkasuttaṃ,"satthārā karaṇīyaṃ sāvakānaṃ <b>hit'esinā</b> anukampakena anukampaṃ upādāya, kataṃ vo taṃ mayā.",,,,,,,,,
