id,pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
109,akammāsa,adj,unblemished; spotless; pure,MN48,kosambiyasuttaṃ,bhikkhu yāni tāni sīlāni akhaṇḍāni acchiddāni asabalāni <b>akammāsāni</b> bhujissāni viññuppasatthāni aparāmaṭṭhāni samādhisaṃvattanikāni.,,,,,,,,,
441,akhaṇḍa,adj,unbroken; unfragmented; whole,MN48,kosambiyasuttaṃ,bhikkhu yāni tāni sīlāni <b>akhaṇḍāni</b> acchiddāni asabalāni akammāsāni bhujissāni viññuppasatthāni aparāmaṭṭhāni samādhisaṃvattanikāni.,SN22.54,bījasuttaṃ,"imāni c'assu, bhikkhave, pañca bījajātāni <b>akhaṇḍāni</b> apūtikāni avāt'ātapahatāni sār'ādāni sukhasayitāni, pathavī ca n'āssa, āpo ca n'āssa, api nu'māni, bhikkhave, pañca bījajātāni vuddhiṃ virūḷhiṃ vepullaṃ āpajjeyyun'ti?",,,,,,
1077,acchidda 1,pp,unbroken; flawless; without cracks,MN48,kosambiyasuttaṃ,bhikkhu yāni tāni sīlāni akhaṇḍāni <b>acchiddāni</b> asabalāni akammāsāni bhujissāni viññuppasatthāni aparāmaṭṭhāni samādhisaṃvattanikāni,DHP229,kodhavaggo,"yaṃ ce viññū pasaṃsanti,
anuvicca suve suve,
<b>acchidda</b>vuttiṃ medhāviṃ,
paññāsīlasamāhitaṃ.",AN6.55,soṇasuttaṃ,"seyyathā'pi, bhante, selo pabbato <b>acchiddo</b> asusiro ekagghano. atha puratthimāya ce'pi disāya āgaccheyya bhusā vātavuṭṭhi n'eva naṃ saṅkampeyya na sampakampeyya na sampavedheyya",,,
1546,aññathā 1,ind,differently; otherwise,TH257,pārāpariyattheragāthā,"<b>aññathā</b> lokanāthamhi, tiṭṭhante puris'uttame.
iriyaṃ āsi bhikkhūnaṃ, aññathā dāni dissati.",SNP34,"sallasuttaṃ
mahāvaggo 8","yena yena hi maññanti,
tato taṃ hoti <b>aññathā</b>,
etādiso vinābhāvo,
passa lokassa pariyāyaṃ.",AN10.176,cundasuttaṃ,"<b>aññathā</b> kho, cunda, brāhmaṇā pacchābhūmakā kamaṇḍalukā sevālamālikā aggiparicārikā udak'orohakā soceyyāni paññapenti, <b>aññathā</b> ca pana ariyassa vinaye soceyyaṃ hotī'ti",,,
2202,atipātī 1,adj,attacking; harming; killing,SN42.6,asibandhakaputtasuttaṃ,"taṃ kiṃ maññasi, gāmaṇi, idh'assa puriso pāṇa-<b>atipātī</b> adinn'ādāyī kāmesumicchācārī musāvādī pisuṇavāco pharusavāco samphappalāpī abhijjhālu byāpannacitto micchādiṭṭhiko.",AN3.164,kammapatha peyyālaṃ,attanā ca pāṇa-<b>atipātī</b> hoti parañ'ca pāṇ'ātipāte samādapeti pāṇ'ātipāte ca samanuñño hoti,,,,,,
2901,adinnādāyī 1,adj,who steals; who takes what is not offered,SN42.6,asibandhakaputtasuttaṃ,"taṃ kiṃ maññasi, gāmaṇi, idh'assa puriso pāṇ'ātipātī <b>adinn'ādāyī</b> kāmesumicchācārī musāvādī pisuṇavāco pharusavāco samphappalāpī abhijjhālu byāpannacitto micchādiṭṭhiko.",AN10.176,cundasuttaṃ,<b>adinn'ādāyī</b> hoti. yaṃ taṃ parassa paravitt'ūpakaraṇaṃ gāmagataṃ vā araññagataṃ vā taṃ adinnaṃ theyyasaṅkhātaṃ ādātā hoti,MN8,sallekhasuttaṃ,<b>adinnādāyissa</b> purisapuggalassa adinnādānā veramaṇī hoti parinibbānāya. abrahmacārissa purisapuggalassa abrahmacariyā veramaṇī hoti parinibbānāya.,,,
3497,anajjhosita,pp,not fixed; not clinging; unattached,MN140,dhātuvibhaṅgasuttaṃ,"so sukhañ'ce vedanaṃ vedeti, sā aniccā'ti pajānāti, <b>anajjhositā</b>'ti pajānāti, anabhinanditā'ti pajānāti. dukkhañ'ce vedanaṃ vedeti, sā aniccā'ti pajānāti, <b>anajjhositā</b>'ti pajānāti, anabhinanditā'ti pajānāti.",,,,,,,,,
3758,anabhinandita,pp,without delight in; not enjoyed; not pleased with,MN140,dhātuvibhaṅgasuttaṃ,"so sukhañ'ce vedanaṃ vedeti, sā aniccā'ti pajānāti, anajjhositā'ti pajānāti, <b>anabhinanditā</b>'ti pajānāti. dukkhañ'ce vedanaṃ vedeti, sā aniccā'ti pajānāti, anajjhositā'ti pajānāti, <b>anabhinanditā</b>'ti pajānāti.",ITI44,nibbānadhātusuttaṃ,"tassa idh'eva, bhikkhave, sabbavedayitāni <b>anabhinanditāni</b> sīti bhavissanti. ayaṃ vuccati, bhikkhave, anupādisesā nibbānadhātu. imā kho, bhikkhave, dve nibbānadhātuyo'ti.",,,,,,
3782,anabhisaṅkharonta,prp,not creating; not imagining; not forming ideas,MN140,dhātuvibhaṅgasuttaṃ,"so n'eva taṃ abhisaṅkharoti, na abhisañcetayati bhavāya vā vibhavāya vā. so <b>anabhisaṅkharonto</b> anabhisañcetayanto bhavāya vā vibhavāya vā na kiñci loke upādiyati, anupādiyaṃ na paritassati, aparitassaṃ paccattaṃ'y'eva parinibbāyati.",DN9.3,"poṭṭhapādasuttaṃ, sahetukasaññuppādanirodhakathā","tassa acetayato <b>anabhisaṅkharoto</b> tā c'eva saññā nirujjhanti, aññā ca oḷārikā saññā na uppajjanti. so nirodhaṃ phusati. evaṃ kho, poṭṭhapāda, anupubb'ābhisaññānirodha-sampajāna-samāpatti hoti.",,,,,,
3783,anabhisañcetayanta,prp,not thinking (about); not devising (for); not planning (for),MN140,dhātuvibhaṅgasuttaṃ,"so n'eva taṃ abhisaṅkharoti, na abhisañcetayati bhavāya vā vibhavāya vā. so anabhisaṅkharonto <b>anabhisañcetayanto</b> bhavāya vā vibhavāya vā na kiñci loke upādiyati, anupādiyaṃ na paritassati, aparitassaṃ paccattaṃ'y'eva parinibbāyati.",,,,,,,,,
3946,anāthapiṇḍika,masc,name of the Buddha's chief lay disciple,SN1.11,nandanasuttaṃ,"evaṃ me sutaṃ, ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane <b>anāthapiṇḍikassa</b> ārāme",AN5.176,pītisuttaṃ,"atha kho <b>anāthapiṇḍiko</b> gahapati pañcamattehi upāsakasatehi parivuto yena bhagavā ten'upasaṅkami, upasaṅkamitvā bhagavantaṃ abhivādetvā ekam'antaṃ nisīdi.",AN10.93,kiṃdiṭṭhikasuttaṃ,<b>anāthapiṇḍiko</b> gahapati yāvatako ahosi tehi aññatitthiyehi paribbājakehi saddhiṃ kathāsallāpo taṃ sabbaṃ bhagavato ārocesi.,,,
4817,anupādiyanta,prp,not attaching (to); not taking as mine; not grasping (onto); not clinging (to); not taking possession (of),AN10.60,girimānandasuttaṃ,"katamā c'ānanda, sabbaloke anabhiratasaññā? idh'ānanda, bhikkhu ye loke upādānā cetaso adhiṭṭhān'ābhinives'ānusayā, te pajahanto viharati <b>anupādiyanto</b>. ayaṃ vuccat'ānanda, sabbaloke anabhiratasaññā.",SN35.30,samugghātasāruppasuttaṃ,so evaṃ amaññamāno na ca kiñci loke upādiyati. <b>anupādiyaṃ</b> na paritassati. aparitassaṃ paccattaññ'eva parinibbāyati.,,,,,,
4937,anuppādadhamma,adj,never arising again,SN22.3,hāliddikānisuttaṃ,te tathāgatassa pahīnā ucchinnamūlā tāl'āvatthukatā anabhāvaṃkatā āyatiṃ <b>anuppādadhammā</b>. tasmā tathāgato anokasārī'ti vuccati.,,,,,,,,,
5672,antamaso 1,ind,even so much as; even with; even down to; with as little as,MN48,kosambiyasuttaṃ,"bhikkhu ye te lābhā dhammikā dhammaladdhā <b>antamaso</b> pattapariyāpannamattam'pi, tathārūpehi lābhehi appaṭivibhattabhogī hoti sīlavantehi sabrahmacārīhi sādhāraṇabhogī.",SN20.4,okkhāsuttaṃ,yo vā pubb'aṇhasamayaṃ <b>antamaso</b> gadduhanamattam'pi mettacittaṃ bhāveyya … idaṃ tato mahapphalataraṃ.,AN3.70,akusalamūlasuttaṃ,"atha puriso āgaccheyya kuddālapiṭakaṃ ādāya. so taṃ māluvālataṃ mūle chindeyya, mūle chetvā palikhaṇeyya, palikhaṇitvā mūlāni uddhareyya, <b>antamaso</b> usīranāḷamattāni'pi.",VIN PAT PA 1,methunadhamma sikkhāpada,"yo pana bhikkhu, bhikkhūnaṃ sikkhāsājīvasamāpanno, sikkhaṃ appaccakkhāya dubbalyaṃ anāvikatvā, methunaṃ dhammaṃ patiseveyya, <b>antamaso</b> tiracchānagatāya'pi, pārājiko hoti asaṃvāso."
5675,antara 1,adj,inside; inner; internal; within,AN11.9,saddhasuttaṃ,so kāmarāgaṃ'y'eva <b>antaraṃ</b> katvā jhāyati pajjhāyati nijjhāyati avajjhāyati,APA443,vibhītakamiñjiya therāpadānaṃ,"kakusandho mahāvīro,
sabbadhammāna pāragū,
gaṇamhā vūpakaṭṭho so,
agamāsi vana-<b>antaraṃ</b>.",MN21,kakacūpamasuttaṃ,"na c'eva no cittaṃ vipariṇataṃ bhavissati, na ca pāpikaṃ vācaṃ nicchāressāma, hit'ānukampī ca viharissāma mettacittā na dosa-<b>antarā</b>.",AN8.73,paṭhama maraṇassatisuttaṃ,"aho vat'āhaṃ tada-<b>antaraṃ</b> jīveyyaṃ yadantaraṃ assasitvā vā passasāmi, passasitvā vā assasāmi, bhagavato sāsanaṃ manasi kareyyaṃ, bahu vata me kataṃ assā'ti"
6331,aparāmaṭṭha,pp,not grasped; not clung to; (comm) irreproachable,MN48,kosambiyasuttaṃ,bhikkhu yāni tāni sīlāni akhaṇḍāni acchiddāni asabalāni akammāsāni bhujissāni viññuppasatthāni <b>aparāmaṭṭhāni</b> samādhisaṃvattanikāni.,,,,,,,,,
