id,pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
893,acirapabbajita,adj,recently ordained,SN1.20,samiddhisuttaṃ,"ahaṃ kho, āvuso, navo <b>acirapabbajito</b> adhun'āgato imaṃ dhammavinayaṃ. na t'āhaṃ sakkomi vitthārena ācikkhituṃ.",,,,,,,,,
2476,attadīpa,adj,self-reliant; independent,SN22.43,attadīpasuttaṃ,"<b>attadīpā</b> bhikkhave, viharatha attasaraṇā anaññasaraṇā",,,,,,,,,
3404,adhunā,ind,recently; now; presently; at this time,AN4.73,sappurisasuttaṃ,"tasmā't'iha, bhikkhave, evaṃ sikkhitabbaṃ <b>adhunā</b>-āgatavadhukāsamena cetasā viharissāmā'ti",AN5.114,andhakavindasuttaṃ,"ye te, ānanda, bhikkhū navā acirapabbajitā <b>adhunā</b>-āgatā imaṃ dhammavinayaṃ, te vo, ānanda, bhikkhū pañcasu dhammesu samādapetabbā nivesetabbā patiṭṭhāpetabbā",,,,,,
4333,anukampaṃ upādāya,idiom,out of compassion,MN19,dvedhāvitakkasuttaṃ,satthārā karaṇīyaṃ sāvakānaṃ hit'esinā anukampakena <b>anukampaṃ upādāya</b>,AN10.60,girimānandasuttaṃ,"sādhu, bhante, bhagavā yen'āyasmā girimānando ten'upasaṅkamatu <b>anukampaṃ upādāyā</b>'ti.",,,,,,
4334,anukampā,fem,compassion (for); pity (for); concern (for),Thai,,sādhu no bhante bhagavā suciraparinibbuto'pi pacchimājanata-<b>anukampa</b>mānasā,MN19,dvedhāvitakkasuttaṃ,"satthārā karaṇīyaṃ sāvakānaṃ hit'esinā anukampakena <b>anukampaṃ</b> upādāya, kataṃ vo taṃ mayā.",AN5.162,dutiyaāghātapaṭivinayasuttaṃ,"so tasmiṃ purise kāruññaṃ'y'eva upaṭṭhāpeyya, anuddayaṃ'y'eva upaṭṭhāpeyya, <b>anukampaṃ</b>'y'eva upaṭṭhāpeyya, aho vat'āyaṃ puriso labheyya sappāyāni bhojanāni, labheyya sappāyāni bhesajjāni, labheyya patirūpaṃ upaṭṭhākaṃ, labheyya gām'antanāyakaṃ!",,,
6913,appattamānasa,adj,not fulfilled one's wish (of); not reached the goal (of); not mentally attained; (comm) not attained arahantship,ITI16,paṭhamasekhasuttaṃ,"sekhassa, bhikkhave, bhikkhuno <b>appattamānasassa</b> anuttaraṃ yogakkhemaṃ patthayamānassa viharato ajjhattikaṃ aṅgan'ti karitvā n'āññaṃ ek'aṅgam'pi samanupassāmi yaṃ evaṃ bah'ūpakāraṃ yatha'y'idaṃ, bhikkhave, yoniso manasikāro.",MN1,mūlapariyāyasuttaṃ,"yo'pi so, bhikkhave, bhikkhu sekkho <b>appattamānaso</b> anuttaraṃ yogakkhemaṃ patthayamāno viharati, so'pi pathaviṃ pathavito abhijānāti, pathaviṃ pathavito abhiññāya pathaviṃ mā maññi",,,,,,
7067,appahīna,pp,not removed; not given up; not abandoned,MN39,mahāassapurasuttaṃ,"bhikkhu yathā iṇaṃ yathā rogaṃ yathā bandhan'āgāraṃ yathā dāsabyaṃ yathā kantār'addhānamaggaṃ, ime pañca nīvaraṇe <b>appahīne</b> attani samanupassati",MN40,cūḷāssapurasuttaṃ,"yassa kassaci, bhikkhave, bhikkhuno abhijjhālussa abhijjhā <b>appahīnā</b> hoti, byāpannacittassa byāpādo <b>appahīno</b> hoti, kodhanassa kodho <b>appahīno</b> hoti",MN139,araṇavibhaṅgasuttaṃ,"bhavasaṃyojane ca kho appahīne bhavo'pi <b>appahīno</b> hotī'ti, iti vadaṃ dhammam'eva deseti.",,,
7572,abhikkamosānaṃ,sandhi,their increase; worsening of these,SN35.87,channasuttaṃ,"na me, āvuso sāriputta, khamanīyaṃ na yāpanīyaṃ, bāḷhā me dukkhā vedanā abhikkamanti no paṭikkamanti, <b>abhikkamo'sānaṃ</b> paññāyati no paṭikkamo.",,,,,,,,,
8537,amaritukāma,adj,not wishing to die,SN12.63,puttamaṃsūpamasuttaṃ,atha puriso āgaccheyya jīvitu'kāmo <b>amaritu'kāmo</b> sukhakāmo dukkhappaṭikūlo,,,,,,,,,
8732,ayana 1,nt,going; way,DN22.1,mahāsatipaṭṭhānasuttaṃ,"eka-<b>ayano</b> ayaṃ, bhikkhave, maggo sattānaṃ visuddhiyā sokaparidevānaṃ samatikkamāya dukkhadomanassānaṃ atthaṅ'gamāya ñāyassa adhigamāya nibbānassa sacchikiriyāya yadidaṃ cattāro satipaṭṭhānā.",,,,,,,,,
10707,avihaññamāna,prp,not annoyed; not irritated; not upset; untroubled,AN8.13,assājānīyasuttaṃ,"yaṃ kho pan'assa bhojanaṃ denti, lūkhaṃ vā paṇītaṃ vā, taṃ sakkaccaṃ'y'eva paribhuñjati <b>avihaññamāno</b>.",SN1.38,sakalikasuttaṃ,"bhusā sudaṃ bhagavato vedanā vattanti sārīrikā vedanā dukkhā tibbā kharā kaṭukā asātā amanāpā, tā sudaṃ bhagavā sato sampajāno adhivāseti <b>avihaññamāno</b>.",,,,,,
