id,pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
902,acirūpasampanna,adj,not long after one ordained; shortly after ordination,MN7,vatthasuttaṃ,"<b>acir'ūpasampanno</b> kho pan'āyasmā bhāradvājo eko vūpakaṭṭho appamatto ātāpī pahit'atto viharanto nacirass'eva, yass'atthāya kulaputtā samma'd'eva agārasmā anagāriyaṃ pabbajanti",,,,,,,,,
1849,aṭṭhāsi 1,aor,stood; stayed; remained,SNP16,"maṅgalasuttaṃ
cūḷavaggo 4",upasaṅkamitvā bhagavantaṃ abhivādetvā ekam'antaṃ <b>aṭṭhāsi</b>. ekam'antaṃ ṭhitā kho sā devatā bhagavantaṃ gāthāya ajjhabhāsi,SN5.5,uppalavaṇṇāsuttaṃ,sāvatthiyaṃ piṇḍāya caritvā pacchābhattaṃ piṇḍapātapaṭikkantā yena andhavanaṃ ten'upasaṅkami divāvihārāya. andhavanaṃ ajjhogāhetvā aññatarasmiṃ supupphitasālarukkhamūle <b>aṭṭhāsi</b>.,MN39,mahāassapurasuttaṃ,tatra'pi evaṃ <b>aṭṭhāsiṃ</b> evaṃ nisīdiṃ evaṃ abhāsiṃ evaṃ tuṇhī ahosiṃ,,,
3807,anaya 1.1,masc,trouble; tragedy; misfortune; calamity; (comm) suffering,SN22.93,nadīsuttaṃ,"tassā puriso sotena vuyhamāno kāse ce'pi gaṇheyya, te palujjeyyuṃ. so tatonidānaṃ <b>anaya</b>byasanaṃ āpajjeyya.",SN17.2,baḷisasuttaṃ,"evañ'hi so, bhikkhave, maccho gilabaḷiso bāḷisikassa <b>anayaṃ</b> āpanno byasanaṃ āpanno yathākāmakaraṇīyo bāḷisikassa.",,,,,,
6971,appamāṇa 1,adj,immeasurable; unlimited; limitless; boundless,AN4.67,ahirājasuttaṃ,"<b>appamāṇo</b> buddho, appamāṇo dhammo.
appamāṇo saṅgho, pamāṇavantāni siriṃsapāni
ahivicchikā satapadī, uṇṇanābhī sarabū mūsikā.",DN13.8,tevijjasuttaṃ,iti uddham'adho tiriyaṃ sabbadhi sabb'attatāya sabbāvantaṃ lokaṃ mettāsahagatena cetasā vipulena mahaggatena <b>appamāṇena</b> averena abyāpajjena pharitvā viharati.,AN3.91,dutiya sikkhattayasuttaṃ,"yathā divā tathā rattiṃ,
yathā rattiṃ tathā divā,
abhibhuyya disā sabbā,
<b>appamāṇa</b>samādhinā.",AN10.29,paṭhamakosalasuttaṃ,"dasa'y'imāni, bhikkhave, kasiṇ'āyatanāni. katamāni dasa? pathavīkasiṇam'eko sañjānāti uddhaṃ adho tiriyaṃ advayaṃ <b>appamāṇaṃ</b>."
7459,abrahmacārī,adj,not celibate; not leading the holy life; sexually active,MN8,sallekhasuttaṃ,"pare <b>abrahmacārī</b> bhavissanti, mayam'ettha brahmacārī bhavissāmā'ti sallekho karaṇīyo.",UD45,uposathasuttaṃ,addasā kho āyasmā mahāmoggallāno taṃ puggalaṃ dussīlaṃ pāpadhammaṃ asuciṃ saṅkassarasamācāraṃ paṭicchannakamm'antaṃ asamaṇaṃ samaṇapaṭiññaṃ <b>abrahmacāriṃ</b> brahmacāripaṭiññaṃ antopūtiṃ avassutaṃ kasambujātaṃ majjhe bhikkhusaṅghassa nisinnaṃ,MN8,sallekhasuttaṃ,adinnādāyissa purisapuggalassa adinnādānā veramaṇī hoti parinibbānāya. abrahmacārissa purisapuggalassa <b>abrahmacariyā</b> veramaṇī hoti parinibbānāya.,,,
9148,alattha 1,aor,got; obtained,SNP4,"kasibhāradvājasuttaṃ
uragavaggo 4","<b>alattha</b> kho kasibhāradvājo brāhmaṇo bhagavato santike pabbajjaṃ, <b>alattha</b> upasampadaṃ.",MN82,raṭṭhapālasuttaṃ,"atha kho āyasmā raṭṭhapālo sakapitu nivesane n'eva dānaṃ alattha na paccakkhānaṃ, añña'd'atthu akkosam'eva <b>alattha</b>",,,,,,
9982,assamaṇa 2,masc,fake monk,AN3.27,jigucchitabbasuttaṃ,"idha, bhikkhave, ekacco puggalo dussīlo hoti pāpadhammo asuci saṅkassarasamācāro paṭicchannakamm'anto, <b>assamaṇo</b> samaṇapaṭiñño, abrahmacārī brahmacāripaṭiñño, antopūti avassuto kasambujāto.",,,,,,,,,
10418,avassuta,pp,seeping (with); oozing (with); overflowing (with); flooded (with lust),AN3.27,jigucchitabbasuttaṃ,"idha, bhikkhave, ekacco puggalo dussīlo hoti pāpadhammo asuci saṅkassarasamācāro paṭicchannakamm'anto, assamaṇo samaṇapaṭiñño, abrahmacārī brahmacāripaṭiñño, antopūti <b>avassuto</b> kasambujāto.",,,,,,,,,
11718,ānanda 2,masc,"name of an arahant monk; attendant of the Buddha; great disciple of the Buddha; foremost disciple in great learning, remembrance, conduct, resoluteness and service",AN9.37,ānandasuttaṃ,"yāyaṃ, bhante <b>ānanda</b>, samādhi na c'ābhinato na c'āpanato na ca sasaṅkhāraniggayhavāritagato, vimuttattā ṭhito, ṭhitattā santusito, santusitattā no paritassati. ayaṃ, bhante <b>ānanda</b>, samādhi kiṃphalo vutto bhagavatā'ti?",AN4.159,bhikkhunīsuttaṃ,"evañ'ca vadehi, sādhu kira, bhante, ayyo <b>ānando</b> yena bhikkhun'upassayo yena sā bhikkhunī ten'upasaṅkamatu anukampaṃ upādāyā'ti.",MN104,sāmagāmasuttaṃ,"passatha no tumhe, <b>ānanda</b>, taṃ vacanapathaṃ aṇuṃ vā thūlaṃ vā yaṃ tumhe n'ādhivāseyyāthā'ti?",AN10.60,girimānandasuttaṃ,"etaṃ santaṃ etaṃ paṇītaṃ yadidaṃ sabbasaṅkhārasamatho sabb'ūpadhippaṭinissaggo taṇhākkhayo nirodho nibbānan'ti. ayaṃ vuccata-<b>ananda</b>, nirodhasaññā."
11900,āpanna 1,pp,fallen into; entered into; met with,DN14.11,mahāpadānasuttaṃ,"kicchaṃ vat'āyaṃ loko <b>āpanno</b>, jāyati ca jīyati ca mīyati ca cavati ca upapajjati ca, atha ca panimassa dukkhassa nissaraṇaṃ nappajānāti jarāmaraṇassa.",VISM1.9.2,karuṇābhāvanākathā,"kicchaṃ vat'āyaṃ satto <b>āpanno</b>, app'eva nāma imamhā dukkhā mucceyyā'ti karuṇā pavattetabbā.",VIN PAT PC 78,upassuti sikkhāpada,"yo pana bhikkhu bhikkhūnaṃ, bhaṇḍanajātānaṃ kalahajātānaṃ vivāda-<b>āpannānaṃ</b>, upassutiṃ tiṭṭheyya",SN17.2,baḷisasuttaṃ,"evañ'hi so, bhikkhave, maccho gilabaḷiso bāḷisikassa anayaṃ <b>āpanno</b> byasanaṃ <b>āpanno</b> yathākāmakaraṇīyo bāḷisikassa."
