id,pali_1,example_2
3570,akaccha,"sac'āyaṃ, bhikkhave, puggalo pañhaṃ puṭṭho samāno aññen'aññaṃ paṭicarati, bahiddhā kathaṃ apanāmeti, kopañ'ca dosañ'ca appaccayañ'ca pātukaroti, evaṃ sant'āyaṃ, bhikkhave, puggalo <b>akaccho</b> hoti."
3774,akata 1,"idha, bhikkhave, rañño nāgo yam'enaṃ hatthidammasārathi kāraṇaṃ kāreti, yadi vā katapubbaṃ yadi vā <b>akata</b>pubbaṃ, taṃ aṭṭhiṃ katvā manasi katvā sabbaṃ cetasā samannāharitvā ohitasoto suṇāti."
3776,akata 3,"<b>akataṃ</b> dukkaṭaṃ seyyo, pacchā tappati dukkaṭaṃ,<br/>katañ'ca sukataṃ seyyo, yaṃ katvā n'ānutappati."
3645,akaniṭṭha 1,tassa hi pathavito yāva <b>akaniṭṭha</b>brahmalokā nīl'ādiārammaṇaṃ samosarantaṃ paripuṇṇabhāvaṃ kātuṃ na sakkoti
3700,akaraṇīya 1,ayaṃ vuccati ariyasāvako <b>akaraṇīyo</b> mārassa akaraṇīyo pāpimato'ti
3599,akālavādī,"samphappalāpī hoti <b>akālavādī</b> abhūtavādī anatthavādī adhammavādī avinayavādī, anidhānavatiṃ vācaṃ bhāsitā hoti akālena anapadesaṃ apariyantavatiṃ anatthasaṃhitaṃ."
3768,akāsiṃ 1,"evaṃ vadeyya, ahaṃ, bhante, pāpakammaṃ <b>akāsiṃ</b> gārayhaṃ mosallaṃ, yena me āyasmanto attamanā honti taṃ karomī'ti."
3769,akāsiṃ 2,"so kho ahaṃ, bhikkhave, yo c'āyaṃ kāmavitakko yo ca byāpādavitakko yo ca vihiṃsāvitakko, imaṃ ekaṃ bhāgam'<b>akāsiṃ</b>"
3765,akāsi 1,"adāsi me <b>akāsi</b> me, ñātimittā sakhā ca me. petānaṃ dakkhiṇaṃ dajjā, pubbe katam'anussaraṃ."
3919,akiriya,"ye'pi te, bhikkhave, ahesuṃ ukkalā vassabhaññā ahetukavādā <b>akiriya</b>vādā natthikavādā"
4102,akubbato,"pāṇimhi ce vaṇo n'āssa, hareyya pāṇinā visaṃ,<br/>n'ābbaṇaṃ visam'anveti, n'atthi pāpaṃ <b>akubbato</b>."
4163,akusalavitakka,"tayo'me, bhikkhave, <b>akusalavitakkā</b>, kāmavitakko, byāpādavitakko, vihiṃsāvitakko."
3962,akkhadhutta 1,"appamattako so, bhikkhave, kaṭaggaho yaṃ so <b>akkhadhutto</b> paṭhamen'eva kaṭaggahena mahantaṃ bhogakkhandhaṃ adhigaccheyya."
3980,akkhāna 1,"utu-<b>akkhānañ</b>'ca, bhikkhugaṇanā'ca, bhikkhunīnam'ovādo cā'ti."
3848,akhārika,"ambil'aggehi'pi, tittak'aggehi'pi, kaṭuk'aggehi'pi, madhur'aggehi'pi, khārikehi'pi, <b>akhārikehi</b>'pi, loṇikehi'pi, aloṇikehi'pi."
2670,agāriya,"taṃ kiṃ maññasi, soṇa, kusalo tvaṃ pubbe <b>agāriya</b>bhūto vīṇāya tantissare'ti?"
2912,agiddha,"paṇītaṃ yadi vā lūkhaṃ, appaṃ vā yadi vā bahuṃ.<br/>yāpan'atthaṃ abhuñjiṃsu, <b>agiddhā</b> n'ādhimucchitā."
