id,pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
167,akāla 3,adj,out of season; unseasonal,DN16.27,mahāparinibbānasuttaṃ,"sabbaphāliphullā kho, ānanda, yamakasālā <b>akāla</b>pupphehi. te tathāgatassa sarīraṃ okiranti ajjhokiranti abhippakiranti tathāgatassa pūjāya.",SN54.9,vesālīsuttaṃ,"seyyathā'pi, bhikkhave, gimhānaṃ pacchime māse ūhataṃ rajojallaṃ, tam'enaṃ mahā-<b>akāla</b>-megho ṭhānaso antaradhāpeti vūpasameti.",,,,,,
172,akālapuppha,nt,unseasonable flower; blossom appearing out of season,DN16.27,mahāparinibbānasuttaṃ,"sabbaphāliphullā kho, ānanda, yamakasālā <b>akālapupphehi</b>. te tathāgatassa sarīraṃ okiranti ajjhokiranti abhippakiranti tathāgatassa pūjāya.",,,,,,,,,
808,aṅgika,adj,consisting of x parts; composed of x factors,DHP191,buddhavaggo,"dukkhaṃ dukkhasamuppādaṃ, dukkhassa ca atikkamaṃ, ariyañ'c'aṭṭha-<b>aṅgikaṃ</b> maggaṃ, dukkh'ūpasamagāminaṃ.",DN22.18,mahāsatipaṭṭhānasuttaṃ,ayam'eva ariyo aṭṭha-<b>aṅgiko</b> maggo seyyath'īdaṃ sammādiṭṭhi sammāsaṅkappo sammāvācā sammākamm'anto sammāājīvo sammāvāyāmo sammāsati sammāsamādhi.,MN43,mahāvedallasuttaṃ,"paṭhamaṃ pan'āvuso, jhānaṃ kati-<b>aṅgikan</b>'ti? paṭhamaṃ kho, āvuso, jhānaṃ pañc'<b>aṅgikaṃ</b>. idh'āvuso, paṭhamaṃ jhānaṃ samāpannassa bhikkhuno vitakko ca vattati, vicāro ca pīti ca sukhañ'ca citt'ek'aggatā ca.",,,
933,accatari,aor,crossed beyond; transcended; overcame; escaped,SN35.228,paṭhama samuddasuttaṃ,"yo imaṃ samuddaṃ sagāhaṃ sarakkhasaṃ,
saūmiṃ sāvaṭṭaṃ sabhayaṃ duttaraṃ <b>accatari</b>.",SNP53,"attadaṇḍasuttaṃ
aṭṭhakavaggo 15","yo'dha kāme <b>accatari</b>,
saṅgaṃ loke duraccayaṃ,
na so socati n'ājjheti,
chinnasoto abandhano.",,,,,,
1360,ajjhāvasati 1,pr,lives (in); inhabits; stays (in); is settled (in); dwells (in),VIN1.4.1.6,aññātakaviññattisikkhāpadaṃ,gahapati nāma yo koci agāraṃ <b>ajjhāvasati</b>. gahapatānī nāma yā kāci agāraṃ <b>ajjhāvasati</b>.,AN8.49,paṭhamaidhalokikasuttaṃ,"kathañ'ca, visākhe, mātugāmo cāgasampanno hoti? idha, visākhe, mātugāmo vigatamalamaccherena cetasā agāraṃ <b>ajjhāvasati</b> muttacāgā payatapāṇinī vossaggaratā yācayogā dānasaṃvibhāgaratā.",,,,,,
1408,ajjhokirati,pr,scatters down; pours down,DN16.27,mahāparinibbānasuttaṃ,"sabbaphāliphullā kho, ānanda, yamakasālā akālapupphehi. te tathāgatassa sarīraṃ okiranti <b>ajjhokiranti</b> abhippakiranti tathāgatassa pūjāya.",,,,,,,,,
1449,ajjhohari,aor,swallowed,SN20.10,biḷārasuttaṃ,"atha kho so, bhikkhave, mudumūsi gocarāya pakkāmi. tam'enaṃ biḷāro gahetvā sahasā asaṅkhāditvā <b>ajjhohari</b>. tassa so mudumūsi antam'pi khādi, antaguṇam'pi khādi.",,,,,,,,,
1581,aññamaññābhigijjhanti,pr,they are jealous of each other; they envy each other; they covet one another's (wealth),SN1.28,mahaddhanasuttaṃ,"mahaddhanā mahābhogā,
raṭṭhavanto'pi khattiyā,
<b>aññam'aññ'ābhigijjhanti</b>,
kāmesu analaṅkatā.",,,,,,,,,
2065,atikkama 1,masc,surpassing; transcending; going beyond; overcoming (of),DHP191,buddhavaggo,"dukkhaṃ dukkhasamuppādaṃ,
dukkhassa ca <b>atikkamaṃ</b>,
ariyañc'aṭṭh'aṅgikaṃ maggaṃ,
dukkh'ūpasamagāminaṃ.",ITI49,diṭṭhigatasuttaṃ,"ye bhūtaṃ bhūtato disvā,
bhūtassa ca <b>atikkamaṃ</b>,
yathābhūte vimuccanti,
bhavataṇhā parikkhayā.",,,,,,
2513,attabyābādha,masc,hurting oneself; harm to oneself; self-affliction,AN4.186,ummaggasuttaṃ,"idha, bhikkhu, paṇḍito mahāpañño n'eva-<b>attabyābādhāya</b> ceteti na parabyābādhāya ceteti na ubhayabyābādhāya ceteti attahita-parahita-ubhayahita-sabbalokahitam'eva cintayamāno cinteti.",MN61,ambalaṭṭhika rāhulovādasuttaṃ,"yaṃ nu kho ahaṃ idaṃ kāyena kammaṃ kattu'kāmo idaṃ me kāyakammaṃ <b>attabyābādhāya</b>'pi saṃvatteyya, parabyābādhāya'pi saṃvatteyya, ubhayabyābādhāya'pi saṃvatteyya",,,,,,
2826,athopi,sandhi,and too; and even; nor even,SNP13,"ratanasuttaṃ
cūḷavaggo 1","yān'īdha bhūtāni samāgatāni, bhummāni vā yāni va antalikkhe,
sabb'eva bhūtā sumanā bhavantu, <b>atho'pi</b> sakkacca suṇantu bhāsitaṃ.",SNP52,"tuvaṭakasuttaṃ
aṭṭhakavaggo 14","annānam'atho pānānaṃ,
khādanīyānaṃ <b>atho'pi</b> vatthānaṃ,
laddhā na sannidhiṃ kayirā,
na ca parittase tāni alabhamāno.",SNP41,"duṭṭhaṭṭhakasuttaṃ
aṭṭhakavaggo 3","vadanti ve duṭṭhamanā'pi eke,
<b>atho'pi</b> ve saccamanā vadanti,
vādañ'ca jātaṃ muni no upeti,
tasmā munī n'atthi khilo kuhiñci.",,,
3626,ananugiddha,pp,not greedy; without desire (among),SNP8,mettasuttaṃ,"santussako ca subharo ca,
appakicco ca sallahukavutti,
sant'indriyo ca nipako ca,
appagabbho kulesu <b>ananugiddho</b>.",,,,,,,,,
