pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
aggivessana,masc,name of a Brahman family clan,MN35,cūḷasaccakasuttaṃ,"evaṃ kho, <b>aggivessana</b>, bhagavā sāvake vineti, evaṃbhāgā ca pana bhagavato sāvakesu anusāsanī bahulā pavattati, rūpaṃ, bhikkhave, aniccaṃ, vedanā aniccā, saññā aniccā, saṅkhārā aniccā, viññāṇaṃ aniccaṃ.",MN36,mahāsaccakasuttaṃ,"kinti pana te, <b>aggivessana</b>, kāyabhāvanā sutā'ti?",,,,,,
ajjeva,sandhi,this very day; just today; right now,MN131,bhaddekarattasuttaṃ,"<b>ajj'eva</b> kiccam'ātappaṃ,
ko jaññā maraṇaṃ suve.
na hi no saṅgaran'tena,
mahāsenena maccunā.",SN3.14,paṭhamasaṅgāmasuttaṃ,"<b>ajj'eva</b>, bhikkhave, rājā pasenadi kosalo imaṃ rattiṃ dukkhaṃ seti parājito'ti.",,,,,,
atikkāmayanta,prp,exceeding; going over,VIN PAT NP 1,kathinasikkhāpadaṃ,"niṭṭhitacīvarasmiṃ bhikkhunā ubbhatasmiṃ kathine das'āhaparamaṃ atirekacīvaraṃ dhāretabbaṃ, taṃ <b>atikkāmayato</b> nissaggiyaṃ pācittiyaṃ.",,,,,,,,,
atireka 1,adj,surplus; excess; leftover; too much,MN3,dhammadāyādasuttaṃ,"idh'āhaṃ, bhikkhave, bhuttāvī assaṃ pavārito paripuṇṇo pariyosito suhito yāva'd'attho, siyā ca me piṇḍapāto <b>atireka</b>dhammo chaḍḍanīyadhammo",VIN PAT NP 1,kathinasikkhāpadaṃ,"niṭṭhitacīvarasmiṃ bhikkhunā ubbhatasmiṃ kathine das'āhaparamaṃ <b>atireka</b>cīvaraṃ dhāretabbaṃ, taṃ atikkāmayato nissaggiyaṃ pācittiyaṃ.",,,,,,
atirekacīvara,nt,surplus robe; excess robe-cloth,VIN PAT NP 1,kathinasikkhāpadaṃ,"niṭṭhitacīvarasmiṃ bhikkhunā ubbhatasmiṃ kathine das'āhaparamaṃ <b>atirekacīvaraṃ</b> dhāretabbaṃ, taṃ atikkāmayato nissaggiyaṃ pācittiyaṃ.",,,,,,,,,
attapaṭilābha,masc,acquisition of a self; personal existence,DN9.7,"poṭṭhapādasuttaṃ, tayo attapaṭilābhā","oḷārikassa'pi kho ahaṃ, poṭṭhapāda, <b>attapaṭilābhassa</b> pahānāya dhammaṃ desemi, yathāpaṭipannānaṃ vo saṃkilesikā dhammā pahīyissanti, vodāniyā dhammā abhivaḍḍhissanti",DN9.7,"poṭṭhapādasuttaṃ, tayo attapaṭilābhā","tayo kho me, poṭṭhapāda, <b>attapaṭilābhā</b>, oḷāriko <b>attapaṭilābho</b>, manomayo <b>attapaṭilābho</b>, arūpo <b>attapaṭilābho</b>. katamo ca, poṭṭhapāda, oḷāriko <b>attapaṭilābho</b>?",,,,,,
anabbhita,pp,not rehabilitated; not reintegrated; not re-admitted,VIN PAT SA,saṅghādisesuddeso,"ekena'pi ce ūno vīsatigaṇo bhikkhusaṅgho taṃ bhikkhuṃ abbheyya, so ca bhikkhu <b>anabbhito</b>, te ca bhikkhū gārayhā, ayaṃ tattha sāmīci.",,,,,,,,,
aniketasārī,adj,wandering homeless; roaming without an abode,SNP47,"māgaṇḍiyasuttaṃ
aṭṭhakavaggo 9","okaṃ pahāya <b>aniketasārī</b>,
gāme akubbaṃ muni santhavāni,
kāmehi ritto apurekkharāno,
kathaṃ na viggayha janena kayirā.",SN22.3,hāliddikānisuttaṃ,"kathañ'ca, gahapati, <b>aniketasārī</b> hoti? rūpanimittaniketavisāravinibandhā kho, gahapati, tathāgatassa pahīnā ucchinnamūlā tāl'āvatthukatā anabhāvaṃkatā",,,,,,
api 1.5,ind,but; however; yet,Thai,,sādhu no bhante bhagavā suciraparinibbuto'<b>pi</b> pacchimājanat'ānukampamānasā,AN3.81,cūḷanikāsuttaṃ,"<b>api</b> ca, udāyi, ānando diṭṭh'eva dhamme parinibbāyissatī'ti",DN9.7,"poṭṭhapādasuttaṃ, tayo attapaṭilābhā","oḷārikassa'<b>pi</b> kho ahaṃ, poṭṭhapāda, attapaṭilābhassa pahānāya dhammaṃ desemi, yathāpaṭipannānaṃ vo saṃkilesikā dhammā pahīyissanti, vodāniyā dhammā abhivaḍḍhissanti",,,
apurakkharāna,prp,not preferring; not choosing,SN22.3,hāliddikānisuttaṃ,"kathañ'ca, gahapati, <b>apurakkharāno</b> hoti? idha, gahapati, ekaccassa na evaṃ hoti, evaṃrūpo siyaṃ anāgatam'addhānaṃ",SN22.3,hāliddikānisuttaṃ,"okaṃ pahāya aniketasārī,
gāme akubbaṃ muni santhavāni,
kāmehi ritto <b>apurakkharāno</b>,
kathaṃ na viggayha janena kayirā'ti.",,,,,,
abbheti,pr,(vinaya) rehabilitates; reintegrates; readmits,VIN PAT SA,saṅghādisesuddeso,"ekena'pi ce ūno vīsatigaṇo bhikkhusaṅgho taṃ bhikkhuṃ <b>abbheyya</b>, so ca bhikkhu anabbhito, te ca bhikkhū gārayhā, ayaṃ tattha sāmīci.",VIN1.2.1,sukkavissaṭṭhisikkhāpadaṃ,"saṅghādiseso'ti saṅgho'va tassā āpattiyā parivāsaṃ deti, mūlāya paṭikassati, mānattaṃ deti, <b>abbheti</b>, na sambahulā, na ekapuggalo. tena vuccati, saṅghādiseso'ti.",,,,,,
abhaviṃsu,aor,they were,MN43,mahāvedallasuttaṃ,"te ca h'āvuso, āyusaṅkhārā <b>abhaviṃsu</b> te vedaniyā dhammā, na'y'idaṃ saññāvedayitanirodhaṃ samāpannassa bhikkhuno vuṭṭhānaṃ paññāyetha.",,,,,,,,,
