pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
accasarā,imperf,gave offence; transgressed; overstepped,SN11.24,accayasuttaṃ,"tena kho pana samayena dve bhikkhū sampayojesuṃ, tatr'eko bhikkhu <b>accasarā</b>, atha kho so bhikkhu tassa bhikkhuno santike accayaṃ accayato deseti, so bhikkhu nappaṭiggaṇhāti.",,,,,,,,,
ajjhagā,imperf,got; obtained; achieved; experienced; became,SNP13,"ratanasuttaṃ
cūḷavaggo 1","khayaṃ virāgaṃ amataṃ paṇītaṃ,
yad<b>ajjhagā</b> sakyamunī samāhito.
na tena dhammena sam'atthi kiñci",SNP37,"nālakasuttaṃ
mahāvaggo 11","yo ca jānaṃ saṃyat'atto,
jānaṃ na bahu bhāsati,
sa munī monam'arahati,
sa munī monam'<b>ajjhagā</b>'ti.",DHP154,jarāvaggo,"gahakāraka diṭṭho'si,
puna gehaṃ na kāhasi,
sabbā te phāsukā bhaggā,
gahakūṭaṃ visaṅkhataṃ,
visaṅkhāragataṃ cittaṃ,
taṇhānaṃ khayam'<b>ajjhagā</b>.",,,
aññāya 1,ger,knowing; understanding; comprehending,DHP275,maggavaggo,"etañ'hi tumhe paṭipannā,
dukkhass'antaṃ karissatha,
akkhāto vo mayā maggo,
<b>aññāya</b> sallakantanaṃ.",SNP63,"hemaka māṇava pucchā
pārāyanavaggo 8","etad<b>aññāya</b> ye satā,
diṭṭhadhamm'ābhinibbutā,
upasantā ca te sadā,
tiṇṇā loke visattikan'ti.",AN3.68,kathāvatthusuttaṃ,"sace c'assa kathākāmo, kālam'<b>aññāya</b> paṇḍito,
dhammaṭṭhapaṭisaṃyuttā, yā ariyacaritā kathā.",,,
aṭṭīyati,pr,is troubled (by); is perturbed (by),AN3.39,sukhumālasuttaṃ,ahañ'c'eva kho pana jarādhammo samāno jaraṃ anatīto paraṃ jiṇṇaṃ disvā <b>aṭṭīyeyyaṃ</b> harāyeyyaṃ jiguccheyyaṃ na m'etaṃ assa patirūpan'ti.,MN62,mahārāhulovādasuttaṃ,"seyyathā'pi, rāhula, pathaviyā sucim'pi nikkhipanti, asucim'pi nikkhipanti, gūthagatam'pi nikkhipanti, muttagatam'pi nikkhipanti, kheḷagatam'pi nikkhipanti, pubbagatam'pi nikkhipanti, lohitagatam'pi nikkhipanti, na ca tena pathavī <b>aṭṭīyati</b> vā harāyati vā jigucchati vā.",,,,,,
aṭṭīyati harāyati jigucchati,idiom,"is troubled by, ashamed of and disgusted with; is distressed, disturbed and disgusted",MN62,mahārāhulovādasuttaṃ,"seyyathā'pi, rāhula, pathaviyā sucim'pi nikkhipanti, asucim'pi nikkhipanti, gūthagatam'pi nikkhipanti, muttagatam'pi nikkhipanti, kheḷagatam'pi nikkhipanti, pubbagatam'pi nikkhipanti, lohitagatam'pi nikkhipanti, na ca tena pathavī <b>aṭṭīyati</b> vā <b>harāyati</b> vā <b>jigucchati</b> vā.",MN152,indriyabhāvanāsuttaṃ,"so tena uppannena manāpena uppannena amanāpena uppannena manāp'āmanāpena <b>aṭṭīyati harāyati jigucchati</b>. evaṃ kho, ānanda, sekho hoti pāṭipado.",,,,,,
atthi 2.1,masc,seeker; who wants; who needs; who desires,SNP58,"puṇṇaka māṇava pucchā
pārāyanavaggo 3","anejaṃ mūladassāviṃ,
<b>atthi</b> pañhena āgamaṃ,
kiṃ nissitā isayo manujā,
khattiyā brāhmaṇā devatānaṃ,
yaññam'akappayiṃsu puthū'dha loke,
pucchāmi taṃ bhagavā brūhi me taṃ.",SNP70,"mogharāja māṇava pucchā
pārāyanavaggo 15","evaṃ abhikkantadassāviṃ,
<b>atthi</b> pañhena āgamaṃ,
kathaṃ lokaṃ avekkhantaṃ,
maccurājā na passati.",,,,,,
adassana 4,nt,out of sight (of); disappearance (of); where one cannot be seen,UD50,cūḷapanthakasuttaṃ,"ṭhitena kāyena ṭhitena cetasā,
tiṭṭhaṃ nisinno uda vā sayāno,
etaṃ satiṃ bhikkhu adhiṭṭhahāno,
labhetha pubb'āpariyaṃ visesaṃ,
laddhāna pubb'āpariyaṃ visesaṃ,
<b>adassanaṃ</b> maccurājassa gacche'ti.",JA253,maṇikaṇṭha jātakaṃ,"na taṃ yāce yassa piyaṃ jigiṃse,
desso hoti atiyācanāya,
nāgo maṇiṃ yācito brāhmaṇena,
<b>adassanaṃ</b>'y'eva tadajjhagamā'ti.",DHP46,pupphavaggo,"pheṇ'ūpamaṃ kāyam'imaṃ viditvā, marīcidhammaṃ abhisambudhāno,
chetvāna mārassa papupphakāni, <b>adassanaṃ</b> maccurājassa gacche.",,,
addasā,imperf,saw,SN35.240,kummopamasuttaṃ,"<b>addasā</b> kho, bhikkhave, kummo kacchapo siṅgālaṃ dūrato'va gocarapasutaṃ. disvāna soṇḍipañcamāni aṅgāni sake kapāle samodahitvā app'ossukko tuṇhībhūto saṅkasāyati.",UD50,cūḷapanthakasuttaṃ,<b>addasā</b> kho bhagavā āyasmantaṃ cūḷapanthakaṃ avidūre nisinnaṃ pallaṅkaṃ ābhujitvā ujuṃ kāyaṃ paṇidhāya parimukhaṃ satiṃ upaṭṭhapetvā.,,,,,,
adhiṭṭhahāna,prp,concentrating (on); focusing (on); fixing one's attention (on),UD50,cūḷapanthakasuttaṃ,"ṭhitena kāyena ṭhitena cetasā,
tiṭṭhaṃ nisinno uda vā sayāno,
etaṃ satiṃ bhikkhu <b>adhiṭṭhahāno</b>,
labhetha pubb'āpariyaṃ visesaṃ,
laddhāna pubb'āpariyaṃ visesaṃ,
adassanaṃ maccurājassa gacche'ti.",,,,,,,,,
anariya 1,adj,ignoble; vulgar; coarse,SN56.11,dhammacakkappavattanasuttaṃ,yo c'āyaṃ kāmesu kāmasukh'allik'ānuyogo hīno gammo pothujjaniko <b>anariyo</b> anatthasañhito,MN139,araṇavibhaṅgasuttaṃ,"na kāmasukham'anuyuñjeyya hīnaṃ gammaṃ pothujjanikaṃ <b>anariyaṃ</b> anatthasaṃhitaṃ, na ca attakilamath'ānuyogam'anuyuñjeyya dukkhaṃ anariyaṃ anatthasaṃhitaṃ.",SNP41,"duṭṭhaṭṭhakasuttaṃ
aṭṭhakavaggo 3","yo attano sīlavatāni jantu, anānupuṭṭho'va paresa pāva,
<b>anariya</b>dhammaṃ kusalā tam'āhu, yo ātumānaṃ sayam'eva pāva.",,,
