id,pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
526,agāra 1,nt,dwelling; building; house; hut,MN27,cūḷahatthipadopamasuttaṃ,na'y'idaṃ sukaraṃ <b>agāraṃ</b> ajjhāvasatā ek'antaparipuṇṇaṃ ek'antaparisuddhaṃ saṅkhalikhitaṃ brahmacariyaṃ carituṃ.,AN10.48,pabbajitābhiṇhasuttaṃ,"kacci nu kho'haṃ suñña-<b>agāre</b> abhiramāmī'ti, pabbajitena abhiṇhaṃ paccavekkhitabbaṃ.",VIN1.1.4,catutthapārājikaṃ,uttarimanussadhammo nāma jhānaṃ vimokkho samādhi samāpatti ñāṇadassanaṃ maggabhāvanā phalasacchikiriyā kilesappahānaṃ vinīvaraṇatā cittassa suññ'<b>āgāre</b> abhirati.,DHP13,yamakavaggo,"yathā <b>agāraṃ</b> ducchannaṃ,
vuṭṭhī samativijjhati,
evaṃ abhāvitaṃ cittaṃ,
rāgo samativijjhati."
1359,ajjhāvasatar,masc,who lives in a home; who is domestically settled,MN27,cūḷahatthipadopamasutta,"sambādho ghar'āvāso rajāpatho, abbhokāso pabbajjā. na'y'idaṃ sukaraṃ agāraṃ <b>ajjhāvasatā</b> ek'antaparipuṇṇaṃ ek'antaparisuddhaṃ saṅkhalikhitaṃ brahmacariyaṃ carituṃ.",,,,,,,,,
1636,aññātuṃ,inf,to know; to understand,AN5.165,pañhapucchāsuttaṃ,"mandattā momūhattā paraṃ pañhaṃ pucchati, pāpiccho icchāpakato paraṃ pañhaṃ pucchati, paribhavaṃ paraṃ pañhaṃ pucchati, <b>aññātu</b>'kāmo paraṃ pañhaṃ pucchati",MN9,sammādiṭṭhisuttaṃ,"dūrato'pi kho mayaṃ, āvuso, āgaccheyyāma āyasmato sāriputtassa santike etassa bhāsitassa attham'<b>aññātuṃ</b>",,,,,,
1747,aṭṭhaṅgika,adj,with eight parts; eight-limbed; eightfold,SN45.8,vibhaṅgasuttaṃ,ariyo <b>aṭṭh'aṅgiko</b> maggo seyyath'īdaṃ sammādiṭṭhi sammāsaṅkappo sammāvācā sammākamm'anto sammāājīvo sammāvāyāmo sammāsati sammāsamādhi.,DN16.21,mahāparinibbānasuttaṃ,"seyyath'īdaṃ, cattāro satipaṭṭhānā cattāro sammappadhānā cattāro iddhipādā pañc'indriyāni pañca balāni satta bojjh'aṅgā ariyo <b>aṭṭh'aṅgiko</b> maggo.",DHP191,buddhavaggo,"dukkhaṃ dukkhasamuppādaṃ,
dukkhassa ca atikkamaṃ,
ariyaṃ c<b>'aṭṭh'aṅgikaṃ</b> maggaṃ,
dukkh'ūpasamagāminaṃ.",DHP273,maggavaggo,"maggāna-<b>aṭṭh'aṅgiko</b> seṭṭho,
saccānaṃ caturo padā,
virāgo seṭṭho dhammānaṃ,
dvipadānañ'ca cakkhumā."
2088,atikkāmeti 2,pr,exceeds; goes over; oversteps,VIN PAT PC 83,antepurasikkhāpadaṃ,"yo pana bhikkhu rañño khattiyassa muddh'ābhisittassa anikkhantarājake aniggataratanake pubbe appaṭisaṃvidito indakhīlaṃ <b>atikkāmeyya</b>, pācittiyaṃ.",VIN PAT SA 6,kuṭikārasikkhāpadaṃ,"sārambhe ce bhikkhu vatthusmiṃ aparikkamane saññācikāya kuṭiṃ kāreyya, bhikkhū vā anabhineyya vatthudesanāya, pamāṇaṃ vā <b>atikkāmeyya</b>, saṅghādiseso.",,,,,,
2211,atippago,ind,too early (to),MN13,mahā dukkhakkhandhasuttaṃ,"atha kho tesaṃ bhikkhūnaṃ etadahosi, <b>atippago</b> kho tāva sāvatthiyaṃ piṇḍāya carituṃ, yaṃ nūna mayaṃ yena aññatitthiyānaṃ paribbājakānaṃ ārāmo ten'upasaṅkameyyāmā'ti",,,,,,,,,
2404,atītamaddhānaṃ,ind,in the past; previously,SN22.79,khajjanīyasuttaṃ,"evaṃrūpo ahosiṃ <b>atītam'addhānan</b>'ti, iti vā hi, bhikkhave, anussaramāno rūpaṃ'y'eva anussarati",MN61,ambalaṭṭhika rāhulovādasuttaṃ,"ye hi keci, rāhula, <b>atītam'addhānaṃ</b> samaṇā vā brāhmaṇā vā kāyakammaṃ parisodhesuṃ, … sabbe te evam'evaṃ paccavekkhitvā paccavekkhitvā kāyakammaṃ parisodhesuṃ",MN38,mahātaṇhāsaṅkhayasuttaṃ,"api nu tumhe, bhikkhave, evaṃ jānantā evaṃ passantā pubb'antaṃ vā paṭidhāveyyātha, ahesumha nu kho mayaṃ <b>atītam'addhānaṃ</b>, nanu kho ahesumha atītam'addhānaṃ, kiṃ nu kho ahesumha atītam'addhānaṃ",MN2.2,sabbāsavasuttaṃ,ahosiṃ nu kho ahaṃ <b>atītam'addhānaṃ</b>? na nu kho ahosiṃ <b>atītam'addhānaṃ</b>? kiṃ nu kho ahosiṃ <b>atītam'addhānaṃ</b>?
2728,atthāya hitāya sukhāya,idiom,"good (for), beneficial (for) and comfortable (for)",DN16.21,mahāparinibbānasuttaṃ,bahujanahitāya bahujanasukhāya lok'ānukampāya <b>atthāya hitāya sukhāya</b> devamanussānaṃ,AN2.42,samacittavaggo,"ye te, bhikkhave, bhikkhū suggahitehi suttantehi (na) byañjanappatirūpakehi atthañ'ca dhammañ'ca anulomenti te, bhikkhave, bhikkhū bahujanahitāya paṭipannā bahujanasukhāya, bahuno janassa <b>atthāya hitāya sukhāya</b> devamanussānaṃ.",,,,,,
2730,atthāya 2,masc,fortunate (for); beneficial (for); useful (for),DN16.21,mahāparinibbānasuttaṃ,"bahujanahitāya bahujanasukhāya, lok'ānukampāya <b>atthāya</b> hitāya sukhāya devamanussānaṃ",,,,,,,,,
3179,adhicitta,nt,meditation; mental development; higher consciousness,DHP185,buddhavaggo,"anūpavādo anūpaghāto,
pātimokkhe ca saṃvaro,
mattaññutā ca bhattasmiṃ,
pantañ'ca sayan'āsanaṃ,
<b>adhicitte</b> ca āyogo,
etaṃ buddhāna sāsanaṃ.",MN20,vitakkasaṇṭhānasuttaṃ,"<b>adhicittam</b>'anuyuttena, bhikkhave, bhikkhunā pañca nimittāni kālena kālaṃ manasi kātabbāni. katamāni pañca?",VIN1.1.1,"paṭhamapārājikaṃ, santhatabhāṇavāro","sikkhā'ti tisso sikkhā, adhisīlasikkhā, <b>adhicitta</b>sikkhā, adhipaññāsikkhā. tatra y'āyaṃ adhisīlasikkhā, ayaṃ imasmiṃ atthe adhippetā sikkhā'ti.",,,
