id,pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
561,agga 1.3,nt,tip; top; peak,SN1.71,chetvāsuttaṃ,"kodhaṃ jhatvā sukhaṃ seti,
kodhaṃ jhatvā na socati,
kodhassa visamūlassa,
madhura-<b>aggassa</b> devate,
vadhaṃ ariyā pasaṃsanti,
tañ'hi jhatvā na socatī'ti.",SN22.54,bījasuttaṃ,"pañc'imāni, bhikkhave, bījajātāni. katamāni pañca? mūlabījaṃ, khandhabījaṃ, <b>agga</b>bījaṃ, phalubījaṃ, bījabījaññ'eva pañcamaṃ.",DHP407,brāhmaṇavaggo,"yassa rāgo ca doso ca, māno makkho ca pātito,
sāsapo'r'iva āra-<b>aggā</b>, tam'ahaṃ brūmi brāhmaṇaṃ.",SN22.95,pheṇapiṇḍūpamasuttaṃ,"tam'enaṃ mūle chindeyya, mūle chetvā <b>agge</b> chindeyya, <b>agge</b> chetvā pattavaṭṭiṃ vinibbhujeyya."
759,aṅga 1,nt,part of the body; limb,VIN PAT SA 2,kāyasaṃsaggasikkhāpadaṃ,"yo pana bhikkhu otiṇṇo vipariṇatena cittena mātugāmena saddhiṃ kāyasaṃsaggaṃ samāpajjeyya hatthaggāhaṃ vā veṇiggāhaṃ vā aññatarassa vā aññatarassa vā <b>aṅgassa</b> parāmasanaṃ, saṅghādiseso.",SN35.240,kummopamasuttaṃ,"kummo <b>aṅgāni</b> sake kapāle,
samodahaṃ bhikkhu manovitakke,
anissito aññam'aheṭhayāno,
parinibbuto n'ūpavadeyya kañcī'ti.",MN21,kakacūpamasuttaṃ,"ubhatodaṇḍakena ce'pi, bhikkhave, kakacena corā ocarakā <b>aṅgam</b>'aṅgāni okanteyyuṃ, tatr'āpi yo mano padūseyya, na me so tena sāsanakaro.",,,
781,aṅgamaṅgāni,nt,limb by limb; all the limbs,MN62,mahārāhulovādasuttaṃ,"yaṃ ajjhattaṃ paccattaṃ vāyo vāyogataṃ upādinnaṃ, seyyath'idaṃ, uddhaṅ'gamā vātā, adhogamā vātā, kucchisayā vātā, koṭṭh'āsayā vātā, <b>aṅgam'aṅga</b>-anusārino vātā, assāso passāso … ayaṃ vuccati, rāhula, ajjhattikā vāyodhātu.",MN21,kakacūpamasuttaṃ,"ubhatodaṇḍakena ce'pi, bhikkhave, kakacena corā ocarakā <b>aṅgam'aṅgāni</b> okanteyyuṃ, tatr'āpi yo mano padūseyya, na me so tena sāsanakaro.",,,,,,
2500,attano 1,masc,for self; for oneself; to oneself,SN37.34,vaḍḍhīsuttaṃ,"saddhāya sīlena ca yā'dha vaḍḍhati,
paññāya cāgena sutena c'ūbhayaṃ,
sā tādisī sīlavatī upāsikā,
ādīyati sāram'idh'eva <b>attano</b>'ti.",SNP53,"attadaṇḍasuttaṃ
aṭṭhakavaggo 15","samantam'asāro loko,
disā sabbā sameritā,
icchaṃ bhavanam'<b>attano</b>,
n'āddasāsiṃ anositaṃ.",DHP62,bālavaggo,"puttā m'atthi dhanam'm'atthi,
iti bālo vihaññati,
attā hi <b>attano</b> n'atthi,
kuto puttā kuto dhanaṃ.",VIN PAT NP 30,pariṇata sikkhāpada,"yo pana bhikkhu jānaṃ saṅghikaṃ lābhaṃ pariṇataṃ <b>attano</b> pariṇāmeyya, nissaggiyaṃ pācittiyaṃ."
2599,attha 1.3,masc,purpose; use; function; goal,SNP22,"uṭṭhānasuttaṃ
cūḷavaggo 10","uṭṭhahatha nisīdatha,
ko <b>attho</b> supitena vo,
āturānañ'hi kā niddā,
sallaviddhāna ruppataṃ.",MN61,ambalaṭṭhika rāhulovādasuttaṃ,"taṃ kiṃ maññasi, rāhula, kim'atthiyo ādāso'ti? paccavekkhaṇ'<b>attho</b>, bhante'ti.",SN47.10,bhikkhunupassayasuttaṃ,yassa khv'āhaṃ atthāya cittaṃ paṇidahiṃ so me <b>attho</b> abhinipphanno.,,,
2729,atthāya 1,masc,for the purpose (of); for the sake (of); for the benefit (of),PAT PK,dhammayuttikapubbakiccaṃ,"bhikkhugaṇanā nāma imasmiṃ uposath'agge uposatha-<b>atthāya</b> sannipatitā bhikkhū ettakā'ti, bhikkhūnaṃ gaṇanā.",TH203,nadīkassapattheragāthā,"<b>atthāya</b> vata me buddho,
nadiṃ nerañjaraṃ agā,
yass'āhaṃ dhammaṃ sutvāna,
micchādiṭṭhiṃ vivajjayiṃ.",SN47.10,bhikkhunupassayasuttaṃ,yassa khv'āhaṃ <b>atthāya</b> cittaṃ paṇidahiṃ so me attho abhinipphanno,,,
3543,anatīta,pp,not past; not free from; not exempt; unavoidable; subject to,AN5.57,abhiṇhapaccavekkhitabbaṭhānasuttaṃ,"jarādhammo'mhi, jaraṃ <b>anatīto</b>",DN22.7,mahāsatipaṭṭhānasuttaṃ,"so imam'eva kāyaṃ upasaṃharati, ayam'pi kho kāyo evaṃdhammo evaṃbhāvī evaṃ<b>anatīto</b>'ti",AN3.39,sukhumālasuttaṃ,"assutavā kho puthujjano attanā jarādhammo samāno jaraṃ <b>anatīto</b> paraṃ jiṇṇaṃ disvā aṭṭīyati harāyati jigucchati attānaṃ'y'eva atisitvā, aham'pi kho'mhi jarādhammo jaraṃ anatīto",,,
3734,anabhāva,masc,obliteration; annihilation; total destruction,MN140,dhātuvibhaṅgasuttaṃ,ass'eva kho pana pubbe aviddasuno abhijjhā hoti chando sārāgo. sv'āssa pahīno hoti ucchinnamūlo tāl'āvatthukato <b>anabhāvaṃ</b>kato āyatiṃ anuppādadhammo.,SN12.55,mahārukkhasuttaṃ,"so, bhikkhave, mahārukkho ucchinnamūlā tāl'āvatthukatā <b>anabhāvaṃ</b>katā āyatiṃ anuppādadhammo.",,,,,,
3739,anabhāvaṃkata,adj,utterly obliterated; totally annihilated,SN12.55,mahārukkhasuttaṃ,"so, bhikkhave, mahārukkho ucchinnamūlā tāl'āvatthukatā <b>anabhāvaṃkatā</b> āyatiṃ anuppādadhammo.",MN140,dhātuvibhaṅgasuttaṃ,tass'eva kho pana pubbe aviddasuno abhijjhā hoti chando sārāgo. sv'āssa pahīno hoti ucchinnamūlo tāl'āvatthukato <b>anabhāvaṃkato</b> āyatiṃ anuppādadhammo.,,,,,,
4411,anuggaha 2.1,masc,support; help; assistance,MN2.4,sabbāsavasuttaṃ,"paṭisaṅkhā yoniso piṇḍapātaṃ paṭisevāmi, n'eva davāya, na madāya na maṇḍanāya na vibhūsanāya, yāva'd'eva imassa kāyassa ṭhitiyā yāpanāya, vihiṃs'ūparatiyā brahmacariya-<b>anuggahāya</b>",MN9,sammādiṭṭhisuttaṃ,"cattāro'me, āvuso, āhārā bhūtānaṃ vā sattānaṃ ṭhitiyā sambhav'esīnaṃ vā <b>anuggahāya</b>",,,,,,
4673,anupaddava,adj,safe; free from danger; uninjured; unafflicted,DHP338,taṇhāvaggo,"yathā'pi mūle <b>anupaddave</b> daḷhe,
chinno'pi rukkho puna'r'eva rūhati,
evam'pi taṇh'ānusaye anūhate,
nibbattatī dukkham'idaṃ punappunaṃ.",,,,,,,,,
4708,anuparidhāvati,pr,runs around; circles around; rotates around,SN22.99,gaddulabaddhasuttaṃ,"seyyathā'pi, bhikkhave, sā gaddulabaddho daḷhe khīle vā thambhe vā upanibaddho tam'eva khīlaṃ vā thambhaṃ vā <b>anuparidhāvati</b> anuparivattati",MN117,mahācattārīsakasuttaṃ,"iti'ss'ime tayo dhammā sammādiṭṭhiṃ <b>anuparidhāvanti</b> anuparivattanti, seyyath'idaṃ, sammādiṭṭhi, sammāvāyāmo, sammāsati.",,,,,,
