pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
akārita 1,pp,not caused to be done (by); not made to do,MN65,bhaddālisuttaṃ,"tassa mukh'ādhāne kāraṇaṃ kāriyamānassa honti y'eva visūkāyitāni visevitāni vipphanditāni kānici kānici, yathā taṃ <b>akārita</b>pubbaṃ kāraṇaṃ kāriyamānassa.",,,,,,,,,
akāritapubba,adj,not previously done; formerly unperformed,MN65,bhaddālisuttaṃ,"tassa mukh'ādhāne kāraṇaṃ kāriyamānassa honti y'eva visūkāyitāni visevitāni vipphanditāni kānici kānici, yathā taṃ <b>akāritapubbaṃ</b> kāraṇaṃ kāriyamānassa.",,,,,,,,,
akuppamāna,prp,not being shaken (by); not being disturbed (by); not being agitated (by),MN140,dhātuvibhaṅgasuttaṃ,"tañ'hi'ssa, bhikkhu, n'atthi yena jāyetha, ajāyamāno kiṃ jīyissati, ajīyamāno kiṃ mīyissati, amīyamāno kiṃ kuppissati, <b>akuppamāno</b> kissa pihessati?",,,,,,,,,
ajāyamāna,prp,not being born; not coming into being; not arising,MN140,dhātuvibhaṅgasuttaṃ,"tañ'hi'ssa, bhikkhu, n'atthi yena jāyetha, <b>ajāyamāno</b> kiṃ jīyissati, ajīyamāno kiṃ mīyissati, amīyamāno kiṃ kuppissati, akuppamāno kissa pihessati?",,,,,,,,,
ajīyamāna,prp,not growing old; not getting old; not ageing,MN140,dhātuvibhaṅgasuttaṃ,"tañ'hi'ssa, bhikkhu, n'atthi yena jāyetha, ajāyamāno kiṃ jīyissati, <b>ajīyamāno</b> kiṃ mīyissati, amīyamāno kiṃ kuppissati, akuppamāno kissa pihessati?",,,,,,,,,
aññā 1,fem,gnosis; spiritual insight; awakening; final knowledge,VIBH5.1,indriyavibhaṅgo,"anaññātañ'ñassāmī't'indriyaṃ, <b>aññ</b>'indriyaṃ, aññātāv'indriyaṃ",SNP68,"udaya māṇava pucchā
pārāyanavaggo 13","jhāyiṃ virajam'āsīnaṃ,
katakiccaṃ anāsavaṃ,
pāraguṃ sabbadhammānaṃ,
atthi pañhena āgamaṃ,
<b>aññā</b>vimokkhaṃ pabrūhi,
avijjāya pabhedanaṃ.",SN46.3,sīlasuttaṃ,"katame satta phalā satt'ānisaṃsā? diṭṭh'eva dhamme paṭikacca <b>aññaṃ</b> ārādheti. no ce diṭṭh'eva dhamme paṭikacca <b>aññaṃ</b> ārādheti, atha maraṇakāle aññaṃ ārādheti.",AN9.36,jhānasuttaṃ,"iti kho, bhikkhave, yāvatā saññāsamāpatti tāvatā <b>aññā</b>paṭivedho"
aññātāvindriya,nt,faculty of one who is awakened,VIBH5.1,indriyavibhaṅgo,"saddh'indriyaṃ, viriy'indriyaṃ, sat'indriyaṃ, samādh'indriyaṃ, paññ'indriyaṃ, anaññātañ'ñassāmī't'indriyaṃ, aññ'indriyaṃ, <b>aññātāv'indriyaṃ</b>.",ITI62,indriyasuttaṃ,"tīṇ'imāni, bhikkhave, indriyāni. katamāni tīṇi? anaññātañ'ñassāmī't'indriyaṃ, aññ'indriyaṃ, <b>aññātāv'indriyaṃ</b>, imāni kho, bhikkhave, tīṇi indriyānī'ti. etam'atthaṃ bhagavā avoca. tatth'etaṃ iti vuccati.",,,,,,
aññātāvī 2.1,adj,who is awakened; who has final knowledge; who possesses perfect knowledge,VIBH5.1,indriyavibhaṅgo,"saddh'indriyaṃ, viriy'indriyaṃ, sat'indriyaṃ, samādh'indriyaṃ, paññ'indriyaṃ, anaññātañ'ñassāmī't'indriyaṃ, aññ'indriyaṃ, <b>aññātāv</b>'indriyaṃ.",ITI62,indriyasuttaṃ,"tīṇ'imāni, bhikkhave, indriyāni. katamāni tīṇi? anaññātañ'ñassāmī't'indriyaṃ, aññ'indriyaṃ, <b>aññātāv</b>'indriyaṃ, imāni kho, bhikkhave, tīṇi indriyānī'ti. etam'atthaṃ bhagavā avoca. tatth'etaṃ iti vuccati.",,,,,,
aññindriya,nt,faculty of awakening; power of final knowledge,VIBH5.1,indriyavibhaṅgo,"saddh'indriyaṃ, viriy'indriyaṃ, sat'indriyaṃ, samādh'indriyaṃ, paññ'indriyaṃ, anaññātañ'ñassāmī't'indriyaṃ, <b>aññ'indriyaṃ</b>, aññātāv'indriyaṃ.",ITI62,indriyasuttaṃ,"tīṇ'imāni, bhikkhave, indriyāni. katamāni tīṇi? anaññātañ'ñassāmī't'indriyaṃ, <b>aññ'indriyaṃ</b>, aññātāv'indriyaṃ, imāni kho, bhikkhave, tīṇi indriyānī'ti. etam'atthaṃ bhagavā avoca. tatth'etaṃ iti vuccati.",,,,,,
adiṭṭhapubba,adj,never seen before (by),SN35.245,kiṃsukopamasuttaṃ,"seyyathā'pi, bhikkhu, purisassa kiṃsuko <b>adiṭṭhapubbo</b> assa. so yen'aññataro puriso kiṃsukassa dassāvī ten'upasaṅkameyya.",SN35.95,mālukyaputtasuttaṃ,"taṃ kiṃ maññasi, māluṅkyaputta, ye te cakkhuviññeyyā rūpā adiṭṭhā <b>adiṭṭhapubbā</b>, na ca passasi, na ca te hoti passeyyan'ti, atthi te tattha chando vā rāgo vā pemaṃ vā'ti? no h'etaṃ, bhante.",,,,,,
adhimatta,adj,extreme; excessive; utmost; intense,AN8.74,dutiya maraṇassatisuttaṃ,"seyyathā'pi ādittacelo vā ādittasīso vā, tass'eva celassa vā sīsassa vā nibbāpanāya <b>adhimattaṃ</b> chandañ'ca vāyāmañ'ca ussāhañ'ca ussoḷhiñ'ca appaṭivāniñ'ca satiñ'ca sampajaññañ'ca kareyya.",,,,,,,,,
