pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
akata 1,pp,not done; not performed; not acted,SN2.8,tāyanasuttaṃ,"<b>akataṃ</b> dukkaṭaṃ seyyo,
pacchā tappati dukkaṭaṃ,
katañ'ca sukataṃ seyyo,
yaṃ katvā n'ānutappati.",AN5.140,sotasuttaṃ,"idha, bhikkhave, rañño nāgo yam'enaṃ hatthidammasārathi kāraṇaṃ kāreti, yadi vā katapubbaṃ yadi vā <b>akata</b>pubbaṃ, taṃ aṭṭhiṃ katvā manasi katvā sabbaṃ cetasā samannāharitvā ohitasoto suṇāti.",,,,,,
akatapubba,adj,not done before; not previously performed,AN5.140,sotasuttaṃ,"idha, bhikkhave, rañño nāgo yam'enaṃ hatthidammasārathi kāraṇaṃ kāreti, yadi vā katapubbaṃ yadi vā <b>akatapubbaṃ</b>, taṃ aṭṭhiṃ katvā manasi katvā sabbaṃ cetasā samannāharitvā ohitasoto suṇāti. evaṃ kho, bhikkhave, rañño nāgo sotā hoti.",,,,,,,,,
ajjhāruha,adj,which takes over; which overwhelms; which overgrows,AN5.51,āvaraṇasuttaṃ,"kāmacchando, bhikkhave, āvaraṇo nīvaraṇo cetaso <b>ajjhāruho</b> paññāya dubbalīkaraṇo. byāpādo, bhikkhave, āvaraṇo nīvaraṇo cetaso <b>ajjhāruho</b> paññāya dubbalīkaraṇo.",,,,,,,,,
aṭṭhi 2.1,masc,intention; goal; purpose,UD73,tatiya nibbāna paṭisaṃyuttasuttaṃ,"te'dha bhikkhū <b>aṭṭhiṃ</b> katvā, manasi katvā, sabbaṃ cetaso samannāharitvā, ohitasotā dhammaṃ suṇanti.",VIN PAT PC 73,mohanasikkhāpadaṃ,"tassa te, āvuso, alābhā, tassa te dulladdhaṃ, yaṃ tvaṃ pātimokkhe uddissamānena na sādhukaṃ <b>aṭṭhiṃ</b> katvā manasi karosī'ti, idaṃ tasmiṃ mohanake pācittiyaṃ.",,,,,,
aṭṭhiṃ katvā,idiom,having focused; having paid attention,UD73,tatiya nibbāna paṭisaṃyuttasuttaṃ,"te'dha bhikkhū <b>aṭṭhiṃ katvā</b>, manasi katvā, sabbaṃ cetaso samannāharitvā, ohitasotā dhammaṃ suṇanti.",VIN PAT PC 73,mohanasikkhāpadaṃ,"tassa te, āvuso, alābhā, tassa te dulladdhaṃ, yaṃ tvaṃ pātimokkhe uddissamānena na sādhukaṃ <b>aṭṭhiṃ katvā</b> manasi karosī'ti, idaṃ tasmiṃ mohanake pācittiyaṃ.",,,,,,
aḍḍha 1.1,adj,half,AN3.101,loṇakapallasuttaṃ,"idha, bhikkhave, ekacco <b>aḍḍha</b>kahāpaṇena'pi bandhanaṃ nigacchati, kahāpaṇena'pi bandhanaṃ nigacchati, kahāpaṇasatena'pi bandhanaṃ nigacchati.",SNP37,"nālakasuttaṃ
mahāvaggo 11","yadūnakaṃ taṃ saṇati,
yaṃ pūraṃ santam'eva taṃ,
<b>aḍḍha</b>kumbh'ūpamo bālo,
rahado pūro'va paṇḍito.",VIN PAT PC 57,nahāna sikkhāpada,"tatth'āyaṃ samayo, diy<b>aḍḍho</b> māso seso gimhānan'ti vassānassa paṭhamo māso, icc'ete <b>aḍḍha</b>teyyamāsā uṇhasamayo",AN8.73,paṭhama maraṇassatisuttaṃ,"aho vat'āhaṃ tadantaraṃ jīveyyaṃ yadantaraṃ up'<b>aḍḍha</b>piṇḍapātaṃ bhuñjāmi, bhagavato sāsanaṃ manasi kareyyaṃ, bahu vata me kataṃ assā'ti."
aḍḍhateyya,adj,two and a half,VIN PAT PC 91,vassikasāṭikasikkhāpadaṃ,"vassikasāṭikaṃ pana bhikkhunā kārayamānena pamāṇikā kāretabbā, tatr'idaṃ pamāṇaṃ, dīghaso cha vidatthiyo sugatavidatthiyā, tiriyaṃ <b>aḍḍhateyyā</b>. taṃ atikkāmayato chedanakaṃ pācittiyaṃ.",VIN PAT PC 57,nahānasikkhāpadaṃ,"tatth'āyaṃ samayo diyaḍḍho māso seso gimhānan'ti vassānassa paṭhamo māso icc'ete <b>aḍḍhateyya</b>māsā uṇhasamayo, pariḷāhasamayo, gilānasamayo, kammasamayo, addhānagamanasamayo, vātavuṭṭhisamayo",,,,,,
aḍḍhateyyamāsa,masc,two and a half months,VIN PAT PC 57,nahānasikkhāpadaṃ,"tatth'āyaṃ samayo diyaḍḍho māso seso gimhānan'ti vassānassa paṭhamo māso icc'ete <b>aḍḍhateyyamāsā</b> uṇhasamayo, pariḷāhasamayo, gilānasamayo, kammasamayo, addhānagamanasamayo, vātavuṭṭhisamayo",,,,,,,,,
atiyātuṃ,inf,to re-enter,AN2.40,samacittavaggo,"tasmiṃ, bhikkhave, samaye rañño na phāsu hoti <b>atiyātuṃ</b> vā niyyātuṃ vā paccantime vā janapade anusaññātuṃ.",,,,,,,,,
attato,ind,as oneself; as self,SN22.1,nakulapitusuttaṃ,"idha, gahapati, assutavā puthujjano ariyānaṃ adassāvī ariyadhammassa akovido ariyadhamme avinīto sappurisānaṃ adassāvī sappurisadhammassa akovido sappurisadhamme avinīto rūpaṃ <b>attato</b> samanupassati",SN12.61,assutavāsuttaṃ,varaṃ bhikkhave assutavā puthujjano imaṃ cātumahābhūtikaṃ kāyaṃ <b>attato</b> upagaccheyya na tv'eva cittaṃ,,,,,,
attanā 1,masc,with oneself; by oneself,MN51,kandarakasuttaṃ,"adinn'ādānaṃ pahāya adinn'ādānā paṭivirato hoti dinn'ādāyī dinnapāṭikaṅkhī, athenena sucibhūtena <b>attanā</b> vihāsiṃ",DHP160,attavaggo,"attā hi attano nātho,
ko hi nātho paro siyā,
<b>attanā</b> hi sudantena,
nāthaṃ labhati dullabhaṃ.",DHP66,bālavaggo,"caranti bālā dummedhā, amitten'eva <b>attanā</b>,
karontā pāpakaṃ kammaṃ, yaṃ hoti kaṭukapphalaṃ.",UD10,bāhiyasuttaṃ,"yadā ca <b>attanā</b> vedi,
muni monena brāhmaṇo,
atha rūpā arūpā ca,
sukhadukkhā pamuccatī'ti."
attani 1,masc,in oneself; for oneself,MN39,mahāassapurasuttaṃ,"bhikkhu yathā iṇaṃ yathā rogaṃ yathā bandhan'āgāraṃ yathā dāsabyaṃ yathā kantār'addhānamaggaṃ, ime pañca nīvaraṇe appahīne <b>attani</b> samanupassati",SN22.1,nakulapitusuttaṃ,"rūpaṃ attato samanupassati, rūpavantaṃ vā attānaṃ, <b>attani</b> vā rūpaṃ, rūpasmiṃ vā attānaṃ, ahaṃ rūpaṃ, mama rūpan'ti pariyuṭṭhaṭṭhāyī hoti.",VIN1.1.4,catutthapārājikaṃ,"anabhijānan'ti asantaṃ abhūtaṃ asaṃvijjamānaṃ ajānanto apassanto <b>attani</b> kusalaṃ dhammaṃ, atthi me kusalo dhammo'ti.",,,
attano 2,masc,of self; of oneself; one's own; my own,SNP22,"uṭṭhānasuttaṃ
cūḷavaggo 10","pamādo rajo pamādo, pamād'ānupatito rajo,
appamādena vijjāya, abbahe sallam'<b>attano</b>",DHP252,malavaggo,"sudassaṃ vajjam'aññesaṃ,
<b>attano</b> pana duddasaṃ,
paresaṃ hi so vajjāni,
opunāti yathā bhusaṃ,
attano pana chādeti,
kaliṃ'va kitavā saṭho.",DHP62,bālavaggo,"puttā m'atthi dhanam'm'atthi,
iti bālo vihaññati,
attā hi <b>attano</b> n'atthi,
kuto puttā kuto dhanaṃ.",DHP160,attavaggo,"attā hi <b>attano</b> nātho,
ko hi nātho paro siyā,
attanā hi sudantena,
nāthaṃ labhati dullabhaṃ."
adhamma 1,masc,misconduct; immoral behaviour; unjust means; cheating,DHP84,paṇḍitavaggo,"na attahetu na parassa hetu,
na puttam'icche na dhanaṃ na raṭṭhaṃ,
na iccheyya <b>adhammena</b> samiddhim'attano,
sa sīlavā paññavā dhammiko siyā.",DHP248,malavaggo,"evaṃ bho purisa jānāhi,
pāpadhammā asaññatā,
mā taṃ lobho <b>adhammo</b> ca,
ciraṃ dukkhāya randhayuṃ.",VIN2.7.7,pādukavaggo,"paribbaja mahābrahme,
pacant'aññe'pi pāṇino,
mā tvaṃ <b>adhammo</b> ācarito,
asmā kumbham'iv'ābhidā'ti.",,,
anattani,masc,in what is not oneself; within what is impersonal,AN4.49,vipallāsasuttaṃ,"<b>anattani</b>, bhikkhave, attā'ti saññāvipallāso cittavipallāso diṭṭhivipallāso.",AN4.49,vipallāsasuttaṃ,"aniccaṃ aniccato dakkhuṃ, dukkham'addakkhu dukkhato.
<b>anattani</b> anattā'ti, asubhaṃ asubhat'addasuṃ.
sammādiṭṭhisamādānā, sabbaṃ dukkhaṃ upaccagun'ti",,,,,,
anupekkhita,pp,carefully considered; re-examined; re-looked at,AN8.2,paññāsuttaṃ,tathārūpā'ssa dhammā bahussutā honti dhātā vacasā paricitā manasā-<b>anupekkhitā</b> diṭṭhiyā suppaṭividdhā.,,,,,,,,,
anusaññātuṃ,inf,to go around; to visit; to inspect,AN2.40,samacittavaggo,"tasmiṃ, bhikkhave, samaye rañño na phāsu hoti atiyātuṃ vā niyyātuṃ vā paccantime vā janapade <b>anusaññātuṃ</b>.",,,,,,,,,
appamāṇacetasa,adj,with immeasurable mind; with unrestricted mind,SN35.247,chappāṇakasuttaṃ,"idha, bhikkhave, bhikkhu cakkhunā rūpaṃ disvā piyarūpe rūpe n'ādhimuccati, appiyarūpe rūpe na byāpajjati, upaṭṭhitakāyassati ca viharati <b>appamāṇacetaso</b>",,,,,,,,,
appiya 1,adj,not dear (to); unloved (by); disliked (by),DHP77,paṇḍitavaggo,"ovadeyy'ānusāseyya,
asabbhā ca nivāraye,
satañ'hi so piyo hoti,
asataṃ hoti <b>appiyo</b>.",SN3.4,piyasuttaṃ,ye ca kho keci kāyena duccaritaṃ caranti vācāya duccaritaṃ caranti manasā duccaritaṃ caranti tesaṃ <b>appiyo</b> attā,SN35.247,chappāṇakopamasuttaṃ,"idha, bhikkhave, bhikkhu cakkhunā rūpaṃ disvā piyarūpe rūpe adhimuccati, <b>appiya</b>rūpe rūpe byāpajjati, anupaṭṭhitakāyassati ca viharati parittacetaso.",,,
appiyarūpa,adj,unpleasant; disliked; bad,MN38,mahātaṇhāsaṅkhayasuttaṃ,"so cakkhunā rūpaṃ disvā piyarūpe rūpe sārajjati, <b>appiyarūpe</b> rūpe byāpajjati, anupaṭṭhitakāyasati ca viharati parittacetaso.",SN35.247,chappāṇakasuttaṃ,"idha, bhikkhave, bhikkhu cakkhunā rūpaṃ disvā piyarūpe rūpe n'ādhimuccati, <b>appiyarūpe</b> rūpe na byāpajjati, upaṭṭhitakāyassati ca viharati appamāṇacetaso",,,,,,
appekadā,sandhi,but some days; sometimes; on some occasions,MN36,mahāsaccakasuttaṃ,"<b>app'ekadā</b>, bho gotama, uḷārāni uḷārāni khādanīyāni khādanti, uḷārāni uḷārāni bhojanāni bhuñjanti, uḷārāni uḷārāni sāyanīyāni sāyanti, uḷārāni uḷārāni pānāni pivanti.",AN10.83,puṇṇiyasuttaṃ,"ekam'antaṃ nisinno kho āyasmā puṇṇiyo bhagavantaṃ etadavoca, ko nu kho, bhante, hetu ko paccayo yena <b>app'ekadā</b> tathāgataṃ dhammadesanā paṭibhāti app'ekadā nappaṭibhātī'ti?",MN82,raṭṭhapālasuttaṃ,"<b>app'ekad'</b>āhaṃ, bho raṭṭhapāla, idha pādaṃ karissāmī'ti aññen'eva pādaṃ karomīti.",SN35.127,bhāradvājasuttaṃ,"<b>appekadā</b> mātumattīsu'pi lobhadhammā uppajjanti, bhaginimattīsu'pi lobhadhammā uppajjanti, dhītumattīsu'pi lobhadhammā uppajjanti."
abhidā,imperf,broke; split; shattered,VIN2.7.7,pādukavaggo,"paribbaja mahābrahme,
pacant'aññe'pi pāṇino,
mā tvaṃ adhammo ācarito,
asmā kumbham'iva-<b>abhidā</b>'ti.",,,,,,,,,
amuka,adj,that; such and such (person or place),AN3.71,uposathasuttaṃ,"gopālako sāyanhasamaye sāmikānaṃ gāvo niyyātetvā iti paṭisañcikkhati, ajja kho gāvo <b>amukasmiñ</b>'ca amukasmiñ'ca padese cariṃsu",MN107,gaṇakamoggallānasuttaṃ,"tena muhuttaṃ gaccha, tena muhuttaṃ gantvā dakkhissasi <b>amukaṃ</b> nāma gāmaṃ, tena muhuttaṃ gaccha, tena muhuttaṃ gantvā dakkhissasi <b>amukaṃ</b> nāma nigamaṃ",,,,,,
asma,masc,rock; stone,VIN2.7.7,pādukavaggo,"paribbaja mahābrahme,
pacant'aññe'pi pāṇino,
mā tvaṃ adhammo ācarito,
<b>asmā</b> kumbham'iv'ābhidā'ti.",DHP161,attavaggo,"attanā hi kataṃ pāpaṃ,
attajaṃ attasambhavaṃ,
abhimatthati dummedhaṃ,
vajiraṃ'va-<b>asma</b>mayaṃ maṇiṃ.",,,,,,
ācarita,pp,acted; behaved; performed; practised,VIN2.7.7,pādukavaggo,"paribbaja mahābrahme,
pacant'aññe'pi pāṇino,
mā tvaṃ adhammo <b>ācarito</b>,
asmā kumbham'iv'ābhidā'ti.",,,,,,,,,
āpodhātu 1,fem,liquids; liquid state; (comm) element of cohesion,MN62,mahārāhulovādasuttaṃ,"yaṃ ajjhattaṃ paccattaṃ āpo āpogataṃ upādinnaṃ … yaṃ vā pan'aññam'pi kiñci ajjhattaṃ paccattaṃ āpo āpogataṃ upādinnaṃ, ayaṃ vuccati, rāhula, ajjhattikā <b>āpodhātu</b>.",DN22.6,mahāsatipaṭṭhānasuttaṃ,"puna caparaṃ, bhikkhave, bhikkhu imam'eva kāyaṃ yathāṭhitaṃ yathāpaṇihitaṃ dhātuso paccavekkhati atthi imasmiṃ kāye pathavīdhātu <b>āpodhātu</b> tejodhātu vāyodhātū'ti",,,,,,
āvaraṇa 1,adj,obstructing; blocking; impeding,AN5.51,āvaraṇasuttaṃ,"uddhaccakukkuccaṃ, bhikkhave, <b>āvaraṇaṃ</b> nīvaraṇaṃ cetaso ajjhāruhaṃ paññāya dubbalīkaraṇaṃ.",AN4.65,rūpasuttaṃ,"ajjhattañ'ca na jānāti, bahiddhā ca na passati, samant'<b>āvaraṇo</b> bālo, sa ve ghosena vuyhati.",,,,,,
