pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
akampi,aor,shook; trembled; wavered; was disturbed,AN3.126,gotamakacetiyasuttaṃ,idam'avoca bhagavā. attamanā te bhikkhū bhagavato bhāsitaṃ abhinandun'ti. imasmiñ'ca pana veyyākaraṇasmiṃ bhaññamāne sahassī lokadhātu <b>akampitthā</b>'ti.,,,,,,,,,
akuppa 1,ptp,unshakeable; unwavering; unassailable,SN56.11,dhammacakkappavattanasuttaṃ,"ñāṇañ'ca pana me dassanaṃ udapādi, <b>akuppā</b> me vimutti, ayam'antimā jāti, n'atth'idāni punabbhavo'ti.",ITI62,indriyasuttaṃ,"tato aññā vimuttassa,
ñāṇaṃ ve hoti tādino,
<b>akuppā</b> me vimuttī'ti,
bhavasaṃyojanakkhayā.",MN29,mahāsāropamasuttaṃ,"yā ca kho ayaṃ, bhikkhave, <b>akuppā</b> cetovimutti, etadattham'idaṃ, bhikkhave, brahmacariyaṃ, etaṃ sāraṃ etaṃ pariyosānan'ti.",,,
atthaveda,masc,inspiration from the meaning; (comm) inspiration from the commentary,AN6.10,mahānāmasuttaṃ,"ujugatacitto kho pana, mahānāma, ariyasāvako labhati <b>atthavedaṃ</b>, labhati dhammavedaṃ, labhati dhamm'ūpasaṃhitaṃ pāmojjaṃ.",MN7,vatthasuttaṃ,"yathodhi kho pan'assa cattaṃ hoti vantaṃ muttaṃ pahīnaṃ paṭinissaṭṭhaṃ, so buddhe aveccappasādena samannāgatomhī'ti labhati <b>atthavedaṃ</b>, labhati dhammavedaṃ, labhati dhamm'ūpasaṃhitaṃ pāmojjaṃ.",,,,,,
anāsava 1,adj,free from the effluents; taint-less; undefiled; epithet of Nibbāna,AN5.23,upakkilesasuttaṃ,"so sace ākaṅkhati, āsavānaṃ khayā <b>anāsavaṃ</b> cetovimuttiṃ paññāvimuttiṃ diṭṭh'eva dhamme sayaṃ abhiññā sacchikatvā upasampajja vihareyyan'ti, tatra tatr'eva sakkhibhabbataṃ pāpuṇāti sati sati āyatane'ti.",SNP62,"nanda māṇava pucchā
pārāyanavaggo 7","n'āhaṃ sabbe samaṇabrāhmaṇāse,
jātijarāya nivutā'ti brūmi,
ye s'īdha diṭṭhaṃ'va sutaṃ mutaṃ vā,
sīlabbataṃ vā'pi pahāya sabbaṃ,
anekarūpam'pi pahāya sabbaṃ,
taṇhaṃ pariññāya <b>anāsavāse</b>,
te ve narā oghatiṇṇā'ti brūmi.",SN36.5,daṭṭhabbasuttaṃ,"sa ve samm'addaso bhikkhu, parijānāti vedanā.
so vedanā pariññāya, diṭṭhe dhamme <b>anāsavo</b>.
kāyassa bhedā dhammaṭṭho, saṅkhyaṃ n'opeti vedagū'ti.",SN43.14-43,"asaṅkhatasaṃyuttaṃ, anāsavādisuttaṃ","taṃ suṇātha. katamañ'ca, bhikkhave, <b>anāsavaṃ</b> … saccañ'ca vo, bhikkhave, desessāmi saccagāmiñ'ca maggaṃ. taṃ suṇātha."
antaradhāyati,pr,disappears; vanishes,MN49,brahmanimantanikasuttaṃ,"handa carahi te, mārisa, passa <b>antaradhāyāmī</b>'ti. handa carahi me tvaṃ, brahme, <b>antaradhāyassu</b>, sace visahasī'ti.",SN5.5,uppalavaṇṇāsuttaṃ,"esā <b>antaradhāyāmi</b>,
kucchiṃ vā pavisāmi te,
pakhum'antarikāyam'pi,
tiṭṭhantiṃ maṃ na dakkhasi.",AN6.62,purisindriyañāṇasuttaṃ,"seyyathā'pi vā panānanda, rattiyā paccūsasamayaṃ sūriye uggacchante, jāneyyāsi tvaṃ, ānanda, andhakāro <b>antaradhāyissati</b>, āloko pātubhavissatī'ti?",,,
andhakāra 1,masc,darkness; blackness; blindness,DHP146,jarāvaggo,"ko nu hāso kim'ānando,
niccaṃ pajjalite sati,
<b>andhakārena</b> onaddhā,
padīpaṃ na gavesatha.",SNP4,"kasibhāradvājasuttaṃ
uragavaggo 4","seyyathā'pi, bho gotama, nikkujjitaṃ vā ukkujjeyya, paṭicchannaṃ vā vivareyya, mūḷhassa vā maggaṃ ācikkheyya, <b>andhakāre</b> vā telapajjotaṃ dhāreyya, cakkhumanto rūpāni dakkhintī'ti.",AN6.62,purisindriyañāṇasuttaṃ,"seyyathā'pi vā panānanda, rattiyā paccūsasamayaṃ sūriye uggacchante, jāneyyāsi tvaṃ, ānanda, <b>andhakāro</b> antaradhāyissati, āloko pātubhavissatī'ti?",SN46.55,saṅgāravasuttaṃ,"seyyathā'pi, brāhmaṇa, udapatto āvilo luḷito kalalībhūto <b>andhakāre</b> nikkhitto. tattha cakkhumā puriso sakaṃ mukhanimittaṃ paccavekkhamāno yathābhūtaṃ na jāneyya na passeyya."
apakkanta,pp,departed (from); left; strayed (from); veered away (from),AN3.65,sarabhasuttaṃ,aññāya ca pan'āhaṃ samaṇānaṃ sakyaputtikānaṃ dhammaṃ ev'āhaṃ tasmā dhammavinayā <b>apakkanto</b>'ti.,MN70,kīṭāgirisuttaṃ,"kīva dūr'ev'ime, bhikkhave, moghapurisā <b>apakkantā</b> imamhā dhammavinayā.",,,,,,
appaccaya 1.2,masc,indignation; outrage; bitterness,MN5,anaṅgaṇasuttaṃ,"ṭhānaṃ kho pan'etaṃ, āvuso, vijjati yaṃ taṃ bhikkhuṃ bhikkhū jāneyyuṃ, āpattiṃ āpanno'ti. jānanti maṃ bhikkhū āpattiṃ āpanno'ti, iti so kupito hoti appatīto. yo c'eva kho, āvuso, kopo yo ca <b>appaccayo</b>, ubhayam'etaṃ aṅgaṇaṃ.",AN3.68,kathāvatthusuttaṃ,"sac'āyaṃ, bhikkhave, puggalo pañhaṃ puṭṭho samāno aññen'aññaṃ paṭicarati, bahiddhā kathaṃ apanāmeti, kopañ'ca dosañ'ca <b>appaccayañ</b>'ca pātukaroti, evaṃ sant'āyaṃ, bhikkhave, puggalo akaccho hoti.",,,,,,
appiccha,adj,with few wishes; wanting little; having few needs; modest,DHP404,brāhmaṇavaggo,"asaṃsaṭṭhaṃ gahaṭṭhehi,
anāgārehi c'ūbhayaṃ,
anokasārim'<b>app'icchaṃ</b>,
tam'ahaṃ brūmi brāhmaṇaṃ.",AN8.23,paṭhamahatthakasuttaṃ,"<b>app'iccho</b> so, bhikkhu, kulaputto. sante'y'eva attani kusaladhamme na icchati parehi ñāyamāne.",VIN1.1.2,dutiyapārājikaṃ,"ye te bhikkhū <b>app'icchā</b> santuṭṭhā lajjino kukkuccakā sikkhākāmā te ujjhāyanti khiyyanti vipācenti, kathañ'hi nāma āyasmā dhaniyo kumbhakāraputto rañño dārūni adinnaṃ ādiyissatī'ti!",AN8.30,anuruddha mahāvitakkasuttaṃ,"idha, bhikkhave, bhikkhu <b>app'iccho</b> samāno <b>app'iccho</b>'ti maṃ jāneyyun'ti na icchati, santuṭṭho samāno santuṭṭho'ti maṃ jāneyyun'ti na icchati"
abhisajjati 2.1,pr,loses one's temper; curses angrily; abuses; swears; (comm) sticks,AN3.27,jigucchitabbasuttaṃ,"idha, bhikkhave, ekacco puggalo kodhano hoti upāyāsabahulo, appam'pi vutto samāno <b>abhisajjati</b> kuppati byāpajjati patitthīyati, kopañ'ca dosañ'ca appaccayañ'ca pātukaroti.",,,,,,,,,
