pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
akuhaka,masc,who is honest; who is not deceitful; who is straight-forward; who is trustworthy,SNP48,"purābhedasuttaṃ
aṭṭhakavaggo 10","patilīno <b>akuhako</b>,
apihālu amaccharī,
appagabbho ajeguccho,
pesuṇeyye ca no yuto.",,,,,,,,,
akhārika,adj,mild; not alkaline,SN47.8,sūdasuttaṃ,"ambil'aggehi'pi, tittak'aggehi'pi, kaṭuk'aggehi'pi, madhur'aggehi'pi, khārikehi'pi, <b>akhārikehi</b>'pi, loṇikehi'pi, aloṇikehi'pi.",SN22.79,khajjanīyasuttaṃ,"ambilam'pi vijānāti, tittakam'pi vijānāti, kaṭukam'pi vijānāti, madhuram'pi vijānāti, khārikam'pi vijānāti, <b>akhārikam</b>'pi vijānāti, loṇikam'pi vijānāti, aloṇikam'pi vijānāti. vijānātī'ti kho, bhikkhave, tasmā viññāṇan'ti vuccati",,,,,,
agga 1.2,adj,most; very; extremely; superbly,SN47.8,sūdasuttaṃ,"ambil'<b>aggehi</b>'pi, tittak'<b>aggehi</b>'pi, kaṭuk'<b>aggehi</b>'pi, madhur'<b>aggehi</b>'pi, khārikehi'pi, akhārikehi'pi, loṇikehi'pi, aloṇikehi'pi.",,,,,,,,,
ajeguccha 1,adj,honourable; respectable; estimable; (comm) likeable,SNP48,"purābhedasuttaṃ
aṭṭhakavaggo 10","patilīno akuhako,
apihālu amaccharī,
appagabbho <b>ajeguccho</b>,
pesuṇeyye ca no yuto.",,,,,,,,,
ajjatana,adj,modern; related to today,DHP227,kodhavaggo,"porāṇam'etaṃ atula,
n'etaṃ <b>ajjatanām</b>'iva,
nindanti tuṇhim'āsīnaṃ,
nindanti bahubhāṇinaṃ,
mitabhāṇim'pi nindanti,
n'atthi loke anindito.",,,,,,,,,
ajjatanāṃ,adj,modern; related to today,DHP227,kodhavaggo,"porāṇam'etaṃ atula,
n'etaṃ <b>ajjatanām</b>'iva,
nindanti tuṇhim'āsīnaṃ,
nindanti bahubhāṇinaṃ,
mitabhāṇim'pi nindanti,
n'atthi loke anindito.",,,,,,,,,
aññātaka 1,adj,unrelated; not blood-related,VIN PAT NP 27,mahāpesakārasikkhāpadaṃ,"bhikkhuṃ pan'eva uddissa <b>aññātako</b> gahapati vā gahapatānī vā tantavāyehi cīvaraṃ vāyāpeyya, tatra ce so bhikkhu pubbe appavārito tantavāye upasaṅkamitvā cīvare vikappaṃ āpajjeyya",VIN PAT NP 4,purāṇacīvarasikkhāpadaṃ,"yo pana bhikkhu <b>aññātikāya</b> bhikkhuniyā purāṇacīvaraṃ dhovāpeyya vā rajāpeyya vā ākoṭāpeyya vā, nissaggiyaṃ pācittiyaṃ.",,,,,,
atula 1,masc,name of a man,VV30,ucchudāyikā vimānavatthu,"tuvañ'ca bhante anukampakaṃ viduṃ,
upecca vandiṃ kusalañ'ca pucchisaṃ,
tato te ucchussa adāsi khaṇḍikaṃ,
pasannacitā <b>atulāya</b> pītiyā'ti.",DHP227,kodhavaggo,"porāṇam'etaṃ <b>atula</b>,
n'etaṃ ajjatanām'iva,
nindanti tuṇhim'āsīnaṃ,
nindanti bahubhāṇinaṃ,
mitabhāṇim'pi nindanti,
n'atthi loke anindito.",,,,,,
attakilamatha,masc,self-mortification; self-torture,SN56.11,dhammacakkappavattanasuttaṃ,yo c'āyaṃ <b>attakilamatha</b>-anuyogo dukkho anariyo anatthasañhito.,MN139,araṇavibhaṅgasuttaṃ,"na kāmasukham'anuyuñjeyya hīnaṃ gammaṃ pothujjanikaṃ anariyaṃ anatthasaṃhitaṃ, na ca <b>attakilamatha</b>-anuyogam'anuyuñjeyya dukkhaṃ anariyaṃ anatthasaṃhitaṃ.",,,,,,
attakilamathānuyoga,masc,practice of self-mortification,SN56.11,dhammacakkappavattanasuttaṃ,yo c'āyaṃ <b>attakilamath'ānuyogo</b> dukkho anariyo anatthasañhito.,MN139,araṇavibhaṅgasuttaṃ,"na kāmasukham'anuyuñjeyya hīnaṃ gammaṃ pothujjanikaṃ anariyaṃ anatthasaṃhitaṃ, na ca <b>attakilamath'ānuyogam</b>'anuyuñjeyya dukkhaṃ anariyaṃ anatthasaṃhitaṃ.",,,,,,
adhimuccati 2,pr,is settled (on); has made up one's mind (about); has faith (in); inclines (towards),SN25.1,cakkhusuttaṃ,"yo, bhikkhave, ime dhamme evaṃ saddahati <b>adhimuccati</b>, ayaṃ vuccati saddh'ānusārī, okkanto sammattaniyāmaṃ, sappurisabhūmiṃ okkanto, vītivatto puthujjanabhūmiṃ.",MN28,mahāhatthipadopamasuttaṃ,"so phasso anicco'ti passati, vedanā aniccā'ti passati, saññā aniccā'ti passati, saṅkhārā aniccā'ti passati, viññāṇaṃ aniccan'ti passati. tassa dhāt'ārammaṇam'eva cittaṃ pakkhandati pasīdati santiṭṭhati <b>adhimuccati</b>.",,,,,,
anattha 1,masc,harm; misfortune; damage; injury; hurt,SN56.11,dhammacakkappavattanasuttaṃ,yo c'āyaṃ kāmesu kāmasukh'allik'ānuyogo hīno gammo pothujjaniko anariyo <b>anattha</b>sañhito,AN3.27,jigucchitabbasuttaṃ,"evarūpo, bhikkhave, puggalo ajjhupekkhitabbo na sevitabbo na bhajitabbo na payirupāsitabbo. taṃ kissa hetu? akkoseyya'pi maṃ paribhāseyya'pi maṃ <b>anattham</b>'pi maṃ kareyyā'ti.",DHP72,bālavaggo,"yāva'd'eva <b>anatthāya</b>,
ñattaṃ bālassa jāyati,
hanti bālassa sukk'aṃsaṃ,
muddham'assa vipātayaṃ.",DN22.15,mahāsatipaṭṭhānasuttaṃ,"idha yassa te honti aniṭṭhā akantā amanāpā rūpā saddā gandhā rasā phoṭṭhabbā dhammā, ye vā pan'assa te honti <b>anattha</b>kāmā ahitakāmā aphāsukakāmā ayogakkhemakāmā"
anatthasañhita,adj,unprofitable; meaningless; unbeneficial,SN56.11,dhammacakkappavattanasuttaṃ,yo c'āyaṃ attakilamath'ānuyogo dukkho anariyo <b>anatthasañhito</b>.,,,,,,,,,
anādariya,nt,disrespect (for); rudeness (towards); contemptuous (towards),VIN PAT PC 54,anādariyasikkhāpadaṃ,<b>anādariye</b> pācittiyaṃ.,VIN2.7.1,parimaṇḍalavaggo,"parimaṇḍalaṃ nivāsetabbaṃ nābhimaṇḍalaṃ jāṇumaṇḍalaṃ paṭicchādentena. yo <b>anādariyaṃ</b> paṭicca purato vā pacchato vā olambento nivāseti, āpatti dukkaṭassa.",AN10.76,tayodhammasuttaṃ,"hirīmā'yaṃ, bhikkhave, ottāpī appamatto hoti. so appamatto samāno bhabbo <b>anādariyaṃ</b> pahātuṃ dovacassataṃ pahātuṃ pāpamittataṃ pahātuṃ.",,,
anindita 2,pp,not blamed; not criticized,DHP227,kodhavaggo,"porāṇam'etaṃ atula,
n'etaṃ ajjatanām'iva,
nindanti tuṇhim'āsīnaṃ,
nindanti bahubhāṇinaṃ,
mitabhāṇim'pi nindanti,
n'atthi loke <b>anindito</b>.",,,,,,,,,
anusārī 1.2,adj,following; motivated by; acting according to,TH262,tālapuṭattheragāthā,"paññāya chetvā vipatha-<b>anusārinaṃ</b>,
yogena niggayha pathe nivesiya,
disvā samudayaṃ vibhavañ'ca sambhavaṃ,
dāy'ādako hehisi aggavādino.",SN25.1,cakkhusuttaṃ,"yo, bhikkhave, ime dhamme evaṃ saddahati adhimuccati, ayaṃ vuccati saddhā-<b>anusārī</b>, okkanto sammattaniyāmaṃ, sappurisabhūmiṃ okkanto, vītivatto puthujjanabhūmiṃ.",MN70,kīṭāgirisuttaṃ,"ayaṃ vuccati, bhikkhave, puggalo dhamma-<b>anusārī</b>.",,,
apihālu,adj,not covetous; not envious; not jealous,SNP48,"purābhedasuttaṃ
aṭṭhakavaggo 10","patilīno akuhako,
<b>apihālu</b> amaccharī,
appagabbho ajeguccho,
pesuṇeyye ca no yuto.",,,,,,,,,
appapurisa,adj,with few men,SN20.3,kulasuttaṃ,"seyyathā'pi, bhikkhave, yāni kānici kulāni bahu'tthikāni <b>appapurisāni</b> tāni suppadhaṃsiyāni honti corehi kumbhatthenakehi.",,,,,,,,,
abhabbatā,fem,impossibility (for); something incapable of happening (for),SNP13,"ratanasuttaṃ
cūḷavaggo 1","kiñ'cā'pi so kamma karoti pāpakaṃ,
kāyena vācā uda cetasā vā,
abhabba so tassa paṭicchadāya,
<b>abhabbatā</b> diṭṭhapadassa vuttā,
idam'pi saṅghe ratanaṃ paṇītaṃ,
etena saccena suvatthi hotu.",AN3.89,tatiyasikkhāsuttaṃ,"na hi m'ettha, bhikkhave, <b>abhabbatā</b> vuttā.",,,,,,
abhikkantatara,adj,more brilliant (than); more excellent (than); more wonderful (than),DN2.20,sāmaññaphalasuttaṃ,"idam'pi kho, mahārāja, sandiṭṭhikaṃ sāmaññaphalaṃ purimehi sandiṭṭhikehi sāmaññaphalehi <b>abhikkantatarañ</b>'ca paṇītatarañ'ca.",AN4.100,potaliyasuttaṃ,"imesaṃ kho, potaliya, catunnaṃ puggalānaṃ katamo te puggalo khamati <b>abhikkantataro</b> ca paṇītataro cā'ti?",,,,,,
amaccharī 1,adj,free from avarice; not selfish; not stingy; not covetous,SNP48,"purābhedasuttaṃ
aṭṭhakavaggo 10","patilīno akuhako,
apihālu <b>amaccharī</b>,
appagabbho ajeguccho,
pesuṇeyye ca no yuto.",MN7,vatthasuttaṃ,"sace musā na bhaṇasi,
sace pāṇaṃ na hiṃsasi,
sace adinnaṃ n'ādiyasi,
saddahāno <b>amaccharī</b>,
kiṃ kāhasi gayaṃ gantvā,
udapāno'pi te gayā'ti.",,,,,,
ambila 1,adj,sour,SN47.8,sūdasuttaṃ,"<b>ambila</b>-aggehi'pi, tittak'aggehi'pi, kaṭuk'aggehi'pi, madhur'aggehi'pi, khārikehi'pi, akhārikehi'pi, loṇikehi'pi, aloṇikehi'pi.",,,,,,,,,
ambilagga,adj,predominantly sour,SN47.8,sūdasuttaṃ,"<b>ambil'aggehi</b>'pi, tittak'aggehi'pi, kaṭuk'aggehi'pi, madhur'aggehi'pi, khārikehi'pi, akhārikehi'pi, loṇikehi'pi, aloṇikehi'pi.",,,,,,,,,
