pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
akiñcana,adj,with nothing; is nothing; having no; possession-less; epithet of an arahant,DHP88,paṇḍitavaggo,"tatr'ābhiratim'iccheyya, hitvā kāme <b>akiñcano</b>",SNP59,"mettagū māṇava pucchā
pārāyanavaggo 4","yaṃ brāhmaṇaṃ vedagum'ābhijaññā,
<b>akiñcanaṃ</b> kāmabhave asattaṃ,
addhā hi so ogham'imaṃ atāri,
tiṇṇo ca pāraṃ akhilo akaṅkho.",DHP396,brāhmaṇavaggo,"na c'āhaṃ brāhmaṇaṃ brūmi,
yonijaṃ mattisambhavaṃ,
bhovādi nāma so hoti,
sace hoti sakiñcano,
<b>akiñcanaṃ</b> anādānaṃ,
tam'ahaṃ brūmi brāhmaṇaṃ.",,,
akusala 3,adj,unhealthy; unwholesome; unskilful; unbeneficial; kammically unprofitable,SN12.22,dutiyadasabalasuttaṃ,"dukkhaṃ, bhikkhave, kusīto viharati vokiṇṇo pāpakehi <b>akusalehi</b> dhammehi, mahantañ'ca sadatthaṃ parihāpeti.",SN45.8,vibhaṅgasuttaṃ,vivicc'eva kāmehi vivicca <b>akusalehi</b> dhammehi savitakkaṃ savicāraṃ vivekajaṃ pītisukhaṃ paṭhamaṃ jhānaṃ upasampajja viharati.,MN107,gaṇakamoggallānasuttaṃ,yatv'ādhikaraṇam'enaṃ cakkhu'ndriyaṃ asaṃvutaṃ viharantaṃ abhijjhādomanassā pāpakā <b>akusalā</b> dhammā anvāssaveyyuṃ,,,
agāra 2,nt,household life; domestic living,MN27,cūḷahatthipadopamasuttaṃ,yan'nūn'āhaṃ kesamassuṃ ohāretvā kāsāyāni vatthāni acchādetvā <b>agārasmā</b> anagāriyaṃ pabbajeyyan'ti.,SN1.28,mahaddhanasuttaṃ,"hitvā <b>agāraṃ</b> pabbajitā,
hitvā puttaṃ pasuṃ viyaṃ,
hitvā rāgañ'ca dosañ'ca,
avijjañ'ca virājiya,
khīṇ'āsavā arahanto,
te lokasmiṃ anussukā'ti.",,,,,,
agārasmā anagāriyaṃ pabbajati,idiom,goes forth from home to homelessness; leaves home to become a monk,MN51,kandarakasuttaṃ,yan'nūn'āhaṃ kesamassuṃ ohāretvā kāsāyāni vatthāni acchādetvā <b>agārasmā anagāriyaṃ pabbajeyyan”ti.</b>,AN4.122,ūmibhayasuttaṃ,"evam'evaṃ kho, bhikkhave, cattāri bhayāni idh'ekaccassa kulaputtassa imasmiṃ dhammavinaye <b>agārasmā anagāriyaṃ pabbajitassa</b> pāṭikaṅkhitabbāni.",MN7,vatthasuttaṃ,yass'atthāya kulaputtā samma'd'eva <b>agārasmā anagāriyaṃ pabbajanti</b>,MN107,gaṇakamoggallānasuttaṃ,"ye'me, bho gotama, puggalā assaddhā jīvik'atthā na saddhā <b>agārasmā anagāriyaṃ pabbajitā</b> saṭhā māyāvino ketabino uddhatā unnaḷā capalā ... na tehi bhavaṃ gotamo saddhiṃ saṃvasati."
accādhāya,ger,overlapping; placing one on top of another,MN107,gaṇakamoggallānasuttaṃ,rattiyā majjhimaṃ yāmaṃ dakkhiṇena passena sīhaseyyaṃ kappessāma pāde pādaṃ <b>accādhāya</b> sato sampajāno uṭṭhānasaññaṃ manasi karitvā,,,,,,,,,
acchādetvā,abs,having dressed (in); having clothed oneself (in); having put on,MN51,kandarakasuttaṃ,yan'nūn'āhaṃ kesamassuṃ ohāretvā kāsāyāni vatthāni <b>acchādetvā</b> agārasmā anagāriyaṃ pabbajeyyan”ti.,JAa48,vedabba jātakavaṇṇanā,"sace vo, dhanena attho, khippaṃ maṃ bandhanā mocetvā sīsaṃ nhāpetvā ahatavatthāni <b>acchādetvā</b> gandhehi vilimpāpetvā pupphāni pilandhāpetvā ṭhapethā'ti.",,,,,,
añjali 1,masc,palms placed together (as a token of respect),SN12.41,pañcaverabhayasuttaṃ,"yadidaṃ cattāri purisayugāni aṭṭha purisapuggalā esa bhagavato sāvakasaṅgho, āhuneyyo pāhuneyyo dakkhiṇeyyo <b>añjali</b>karaṇīyo anuttaraṃ puññakkhettaṃ lokassa",DHPa1.1.1,cakkhupālattheravatthu,"tassa heṭṭhābhāgaṃ sodhāpetvā pākāraparikkhepaṃ kārāpetvā vālukaṃ okirāpetvā dhajapaṭākaṃ ussāpetvā vanappatiṃ alaṅ'karitvā <b>añjaliṃ</b> karitvā, sace puttaṃ vā dhītaraṃ vā labheyyaṃ, tumhākaṃ mahāsakkāraṃ karissāmī'ti patthanaṃ katvā pakkāmi.",VIN1.2.6,kuṭikārasikkhāpadaṃ,tena kuṭikārakena bhikkhunā kuṭivatthuṃ sodhetvā saṅghaṃ upasaṅkamitvā ek'aṃsaṃ uttarāsaṅgaṃ karitvā vuḍḍhānaṃ bhikkhūnaṃ pāde vanditvā ukkuṭikaṃ nisīditvā <b>añjaliṃ</b> paggahetvā evam'assa vacanīyo,UD45,uposathasuttaṃ,"atha kho āyasmā ānando abhikkantāya rattiyā, nikkhante paṭhame yāme, uṭṭhāy'āsanā ek'aṃsaṃ uttar'āsaṅgaṃ karitvā yena bhagavā tena-<b>añjaliṃ</b> paṇāmetvā bhagavantaṃ etadavoca"
añña 1.1,pron,another; other; different; someone else; not oneself,SN22.22,bhārasuttaṃ,"nikkhipitvā garuṃ bhāraṃ, <b>aññaṃ</b> bhāraṃ anādiya. samūlaṃ taṇhaṃ abbuyha, nicchāto parinibbuto'ti.",SN35.240,kummopamasuttaṃ,"kummo aṅgāni sake kapāle,
samodahaṃ bhikkhu manovitakke,
anissito <b>aññam</b>'aheṭhayāno,
parinibbuto n'ūpavadeyya kañcī'ti.",AN8.13,assājānīyasuttaṃ,"sorato hoti sukhasaṃvāso, na <b>aññe</b> bhikkhū ubbejetā.",SN12.61,assutavāsuttaṃ,"seyyathā'pi, bhikkhave, makkaṭo araññe pavane caramāno sākhaṃ gaṇhati, taṃ muñcitvā <b>aññaṃ</b> gaṇhati, taṃ muñcitvā <b>aññaṃ</b> gaṇhati"
aññatara 1,pron,a certain; a,SNP16,"maṅgalasuttaṃ
cūḷavaggo 4",atha kho <b>aññatarā</b> devatā abhikkantāya rattiyā abhikkantavaṇṇā kevalakappaṃ jetavanaṃ obhāsetvā yena bhagavā ten'upasaṅkami,AN6.61,majjhesuttaṃ,"evaṃ vutte <b>aññataro</b> bhikkhu there bhikkhū etadavoca, phasso kho, āvuso, eko anto, phassasamudayo dutiyo anto, phassanirodho majjhe, taṇhā sibbinī.",SN17.3,kummasuttaṃ,"bhūtapubbaṃ, bhikkhave, <b>aññatarasmiṃ</b> udakarahade mahākummakulaṃ ciranivāsī ahosi.",AN2.16,adhikaraṇavaggo,"atha kho <b>aññataro</b> brāhmaṇo yena bhagavā ten'upasaṅkami, upasaṅkamitvā bhagavatā saddhiṃ sammodi."
aṇumatta,adj,tiniest; smallest,MN107,gaṇakamoggallānasuttaṃ,"pātimokkhasaṃvarasaṃvuto viharāhi ācāragocarasampanno <b>aṇumattesu</b> vajjesu bhayadassāvī, samādāya sikkhassu sikkhāpadesū'ti.",DHP284,maggavaggo,"yāva hi vanatho na chijjati,
<b>aṇumatto</b>'pi narassa nārisu,
paṭibaddhamano'va tāva so,
vaccho khīrapako'va mātari.",,,,,,
