id,pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
468,agacchi,aor,went; travelled (to),TH183,gotamattheragāthā,"saṃsaraṃ hi nirayaṃ <b>agacchissaṃ</b>,
petalokam'agamaṃ punappunaṃ,
dukkhamamhi'pi tiracchānayoniyaṃ,
n'ekadhā hi vusitaṃ ciraṃ mayā.",MN39,mahāassapurasuttaṃ,ahaṃ kho sakamhā gāmā amuṃ gāmaṃ <b>agacchiṃ</b>,,,,,,
648,aggi,masc,fire,SN35.28,ādittasuttaṃ,"kena ādittaṃ? ādittaṃ rāga-<b>agginā</b>, dosa-<b>agginā</b>, moha-<b>agginā</b> ādittaṃ, jātiyā jarāya maraṇena sokehi paridevehi dukkhehi domanassehi upāyāsehi ādittan'ti vadāmi",SN46.53,aggisuttaṃ,"seyyathā'pi, bhikkhave, puriso parittaṃ <b>aggiṃ</b> ujjāletukāmo assa. so tattha allāni c'eva tiṇāni pakkhipeyya, allāni ca gomayāni pakkhipeyya, allāni ca kaṭṭhāni pakkhipeyya",DHP31,appamādavaggo,"appamādarato bhikkhu,
pamāde bhayadassi vā,
saṃyojanaṃ aṇuṃ thūlaṃ,
ḍahaṃ <b>aggī</b>'va gacchati.",DHP136,daṇḍavaggo,"atha pāpāni kammāni, karaṃ bālo na bujjhati.
sehi kammehi dummedho, <b>aggi</b>daḍḍho'va tappati."
840,aṅgulimāla,masc,name of an arahant monk,MN86,aṅgulimālasuttaṃ,"coro ahaṃ pure āsiṃ, <b>aṅgulimālo</b>'ti vissuto.
vuyhamāno mah'oghena, buddhaṃ saraṇam'āgamaṃ.",,,,,,,,,
1849,aṭṭhāsi 1,aor,stood; stayed; remained,SNP16,"maṅgalasuttaṃ
cūḷavaggo 4",upasaṅkamitvā bhagavantaṃ abhivādetvā ekam'antaṃ <b>aṭṭhāsi</b>. ekam'antaṃ ṭhitā kho sā devatā bhagavantaṃ gāthāya ajjhabhāsi,SN5.5,uppalavaṇṇāsuttaṃ,sāvatthiyaṃ piṇḍāya caritvā pacchābhattaṃ piṇḍapātapaṭikkantā yena andhavanaṃ ten'upasaṅkami divāvihārāya. andhavanaṃ ajjhogāhetvā aññatarasmiṃ supupphitasālarukkhamūle <b>aṭṭhāsi</b>.,MN39,mahāassapurasuttaṃ,tatra'pi evaṃ <b>aṭṭhāsiṃ</b> evaṃ nisīdiṃ evaṃ abhāsiṃ evaṃ tuṇhī ahosiṃ,,,
2736,atthi 1.1,pr,there is; there exists,SNP13,"ratanasuttaṃ
cūḷavaggo 1","yaṅ'kiñci vittaṃ idha vā huraṃ vā,
saggesu vā yaṃ ratanaṃ paṇītaṃ.
na no samaṃ <b>atthi</b> tathāgatena",TH179,sāṭimattiyattheragāthā,"paccati munino bhattaṃ,
thokaṃ thokaṃ kule kule,
piṇḍikāya carissāmi,
<b>atthi</b> jaṅghābalaṃ mamā'ti.",UD73,tatiya nibbāna paṭisaṃyuttasuttaṃ,"<b>atthi</b>, bhikkhave, ajātaṃ abhūtaṃ akataṃ asaṅkhataṃ",MN10,mahāsatipaṭṭhānasuttaṃ,<b>atthi</b> kāyo'ti vā pan'assa sati paccupaṭṭhitā hoti.
2788,atha kho 1,idiom,then; and then; after that,SNP16,"maṅgalasuttaṃ
cūḷavaggo 4",<b>atha kho</b> aññatarā devatā abhikkantāya rattiyā abhikkantavaṇṇā kevalakappaṃ jetavanaṃ obhāsetvā yena bhagavā ten'upasaṅkami,SN35.247,chappāṇakasuttaṃ,"daḷhāya rajjuyā bandhitvā majjhe gaṇṭhiṃ karitvā ossajjeyya. <b>atha kho</b>, te, bhikkhave, chappāṇakā nānāvisayā nānāgocarā sakaṃ sakaṃ gocaravisayaṃ āviñcheyyuṃ",DN16.36,mahāparinibbānasuttaṃ,"<b>atha kho</b> bhagavā bhikkhū āmantesi, handa dāni, bhikkhave, āmantayāmi vo, vayadhammā saṅkhārā appamādena sampādethā'ti. ayaṃ tathāgatassa pacchimā vācā.",MN152,indriyabhāvanāsuttaṃ,"dandho, ānanda, udakaphusitānaṃ nipāto, <b>atha kho</b> naṃ khippam'eva parikkhayaṃ pariyādānaṃ gaccheyya."
5083,anuyuñjati 2,pr,indulges (in); is addicted (to),DHP26,appamādavaggo,"pamādam'<b>anuyuñjanti</b>, bālā dummedhino janā,
appamādañ'ca medhāvī, dhanaṃ seṭṭhaṃ'va rakkhati.",DHP247,malavaggo,"surāmerayapānañ'ca,
yo naro <b>anuyuñjati</b>,
idh'eva'm'eso lokasmiṃ,
mūlaṃ khaṇati attano.",,,,,,
6692,apucchi,aor,asked; enquired (somebody about something),AN11.7,saññāsuttaṃ,"idān'āhaṃ, āvuso, bhagavantaṃ upasaṅkamitvā etam'atthaṃ <b>apucchiṃ</b>. bhagavā'pi me etehi akkharehi etehi padehi etehi byañjanehi etam'atthaṃ byākāsi, seyyathā'pi āyasmā sāriputto.",MN43,mahāvedallasuttaṃ,sādh'āvuso'ti kho āyasmā mahākoṭṭhiko āyasmato sāriputtassa bhāsitaṃ abhinanditvā anumoditvā āyasmantaṃ sāriputtaṃ uttariṃ pañhaṃ <b>apucchi</b>.,MN95,caṅkīsuttaṃ,"sacc'ānurakkhaṇaṃ mayaṃ bhavantaṃ gotamaṃ <b>apucchimha</b>, sacc'ānurakkhaṇaṃ bhavaṃ gotamo byākāsi",,,
7510,abhāsi 1,aor,spoke; said,MN39,mahāassapurasuttaṃ,tatra'pi evaṃ aṭṭhāsiṃ evaṃ nisīdiṃ evaṃ <b>abhāsiṃ</b> evaṃ tuṇhī ahosiṃ,SN1.40,dutiyapajjunnadhītusuttaṃ,"idh'āgamā vijjupabhāsavaṇṇā,
kokanadā pajjunnassa dhītā,
buddhañ'ca dhammañ'ca namassamānā,
gāthā'c'imā atthavatī <b>abhāsi</b>.",,,,,,
7791,abhinandi 1,aor,delighted (in); was pleased (with); approved (of); was happy (with); relished,SN22.59,anattalakkhaṇasuttaṃ,idam'avoca bhagavā. attamanā pañcavaggiyā bhikkhū bhagavato bhāsitaṃ <b>abhinanduṃ</b>.,SN46.53,aggisuttaṃ,"atha kho te bhikkhū tesaṃ aññatitthiyānaṃ paribbājakānaṃ bhāsitaṃ n'eva <b>abhinandiṃsu</b> nappaṭikkosiṃsu, anabhinanditvā appaṭikkositvā uṭṭhāy'āsanā pakkamiṃsu, bhagavato santike etassa bhāsitassa atthaṃ ājānissāmā'ti.",SN35.121,paṭhamanatumhākaṃsuttaṃ,attamano āyasmā rāhulo bhagavato bhāsitaṃ <b>abhinandi</b>,,,
