pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
ajjhupagata 1,pp,arrived (at); reached; come to; entered; become,AN10.48,pabbajitābhiṇhasuttaṃ,vevaṇṇiy'amhi <b>ajjhupagato</b>'ti pabbajitena abhiṇhaṃ paccavekkhitabbaṃ,,,,,,,,,
anīgha 1,adj,untroubled; undisturbed; calm,Thai,,ahaṃ sukhito homi niddukkho homi avero homi abyāpajjho homi <b>anīgho</b> homi sukhī attānaṃ pariharāmi,SNP58,"puṇṇaka māṇava pucchā
pārāyanavaggo 3","saṅkhāya lokasmi paroparāni,
yass'iñjitaṃ n'atthi kuhiñci loke,
santo vidhūmo <b>anīgho</b> nirāso,
atāri so jātijaran'ti brūmī'ti.",AN10.176,cundasuttaṃ,abyāpannacitto hoti appaduṭṭhamanasaṅkappo ime sattā averā hontu abyāpajjā <b>anīghā</b> sukhī attānaṃ pariharantū'ti,DHP295,pakiṇṇakavaggo,"mātaraṃ pitaraṃ hantvā,
rājāno dve ca sotthiye,
veyagghapañcamaṃ hantvā,
<b>anīgho</b> yāti brāhmaṇo."
anuyoga 1,masc,praxis (of); practice (of); devotion (to); pursuit (of); doing (of),MN51,kandarakasuttaṃ,"dūteyyapahiṇagamana-<b>anuyogā</b> paṭivirato hoti, kayavikkayā paṭivirato hoti, tulākūṭakaṃsakūṭamānakūṭā paṭivirato hoti",DN1.6,brahmajālasuttaṃ,"idha, bhikkhave, ekacco samaṇo vā brāhmaṇo vā ātappam'anvāya padhānam'anvāya <b>anuyogam</b>'anvāya appamādam'anvāya sammāmanasikāram'anvāya tathārūpaṃ cetosamādhiṃ phusati yathāsamāhite citte anekavihitaṃ pubbenivāsaṃ anussarati",AN6.17,soppasuttaṃ,"indriyesu guttadvārā bhavissāma, bhojane mattaññuno, jāgariyaṃ anuyuttā, vipassakā kusalānaṃ dhammānaṃ, pubbaratt'āpararattaṃ bodhipakkhiyānaṃ dhammānaṃ, bhāvanā-<b>anuyogam</b>'anuyuttā viharissāmā'ti.",,,
anussāvesi,aor,announced (to); proclaimed (to),SN56.11,dhammacakkappavattanasuttaṃ,tāvatiṃsānaṃ devānaṃ saddaṃ sutvā yāmā devā saddam'<b>anussāvesuṃ</b>,MN31,cūḷagosiṅgasuttaṃ,"dīghassa parajanassa yakkhassa saddaṃ sutvā bhummā devā saddam'<b>anussāvesuṃ</b>, lābhā vata bho vajjīnaṃ",,,,,,
appaccuddhāraṇaṃ,ind,(vinaya) not withdrawing (the assignment),VIN PAT PC 59,vikappanasikkhāpadaṃ,"yo pana bhikkhu bhikkhussa vā bhikkhuniyā vā sikkhamānāya vā sāmaṇerassa vā sāmaṇeriyā vā sāmaṃ cīvaraṃ vikappetvā <b>appaccuddhāraṇaṃ</b> paribhuñjeyya, pācittiyaṃ.",,,,,,,,,
avecca 1,ind,perfectly; absolutely; (comm) having gone deeply with wisdom,SNP13,"ratanasuttaṃ
cūḷavaggo 1","yath'indakhīlo pathaviṃ sito siyā,
catubbhi vātehi asampakampiyo,
tath'ūpamaṃ sappurisaṃ vadāmi,
yo ariyasaccāni <b>avecca</b> passati,
idam'pi saṅghe ratanaṃ paṇītaṃ,
etena saccena suvatthi hotu.",DN16.11,mahāparinibbānasuttaṃ,dhamme <b>avecca</b>ppasādena samannāgato hoti svākkhāto bhagavatā dhammo sandiṭṭhiko akāliko ehipassiko opaneyyiko paccattaṃ veditabbo viññūhī'ti,,,,,,
aveccappasāda,masc,perfect clarity; absolute faith; epithet of stream entry,DN16.11,mahāparinibbānasuttaṃ,dhamme <b>aveccappasādena</b> samannāgato hoti svākkhāto bhagavatā dhammo sandiṭṭhiko akāliko ehipassiko opaneyyiko paccattaṃ veditabbo viññūhī'ti,,,,,,,,,
aho vata re,idiom,(expressing contempt) oh aren't you a!; you're a fine example of!,DN3.13,ambaṭṭhasuttaṃ,"<b>aho vata re</b> amhākaṃ paṇḍitakā, <b>aho vata re</b> amhākaṃ bahussutakā, <b>aho vata re</b> amhākaṃ tevijjakā",,,,,,,,,
aho 2.1,ind,"(expressing pleasure, surprise or disbelief) oh!; wow!",DHPa2.24.11,aputtakaseṭṭhi vatthu,"rājā satthu vacanaṃ sutvā, <b>aho</b>, bhante, bhāriyaṃ kammaṃ, ettake nāma bhoge vijjamāne n'eva attanā paribhuñji, na tumhādise buddhe dhuravihāre viharante puññakammaṃ akāsī'ti āha.",DN3.13,ambaṭṭhasuttaṃ,"<b>aho</b> vata re amhākaṃ paṇḍitaka, aho vata re amhākaṃ bahussutaka, aho vata re amhākaṃ tevijjaka",MN10.16,mahāsatipaṭṭhānasuttaṃ,"maraṇadhammānaṃ sattānaṃ evaṃ icchā uppajjati <b>aho</b> vata mayaṃ na maraṇadhammā assāma, na ca vata no maraṇaṃ āgaccheyyā'ti. na kho pan'etaṃ icchāya pattabbaṃ, idam'pi yam'p'icchaṃ na labhati tam'pi dukkhaṃ",,,
āmisadāyāda,masc,material heir; inheritor of worldly things,ITI100,brāhmaṇadhammayāgasuttaṃ,"tassa me tumhe puttā orasā mukhato jātā dhammajā dhammanimmitā dhammadāy'ādā, no <b>āmisadāy'ādā</b>.",MN3,dhammadāyādasuttaṃ,"bhagavā etadavoca, dhammadāy'ādā me, bhikkhave, bhavatha, mā <b>āmisadāy'ādā</b>",MN3,dhammadāyādasuttaṃ,"tumhe'pi tena ādissā bhaveyyātha, <b>āmisadāy'ādā</b> satthusāvakā viharanti, no dhammadāy'ādā'ti",,,
