pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
akāsi 2,aor,made,MN25,nivāpasuttaṃ,"idha, bhikkhave, bhikkhu vivicc'eva kāmehi vivicca akusalehi dhammehi savitakkaṃ savicāraṃ vivekajaṃ pītisukhaṃ paṭhamaṃ jhānaṃ upasampajja viharati. ayaṃ vuccati, bhikkhave, bhikkhu andham'<b>akāsi</b> māraṃ, apadaṃ vadhitvā māracakkhuṃ adassanaṃ gato pāpimato.",JAa100,asātarūpa jātakavaṇṇanā,tasmiṃ samaye kosalamahārājā mahantena balen'āgantvā bārāṇasiṃ gahetvā rājānaṃ māretvā tass'eva aggamahesiṃ attano aggamahesiṃ <b>akāsi</b>.,VIN PAT SA 12,dubbacasikkhāpadaṃ,"m'āyasmā attānaṃ avacanīyaṃ <b>akāsi</b>, vacanīyam'ev'āyasmā attānaṃ karotu, āyasmā'pi bhikkhū vadatu sahadhammena, bhikkhū'pi āyasmantaṃ vakkhanti sahadhammena",,,
acchejji,aor,completely cut out; utterly severed; totally destroyed,MN2.8,sabbāsavasuttaṃ,"ayaṃ vuccati, bhikkhave, bhikkhu sabb'āsavasaṃvarasaṃvuto viharati, <b>acchejji</b> taṇhaṃ, vivattayi saṃyojanaṃ, sammā mān'ābhisamayā antam'akāsi dukkhassā'ti",,,,,,,,,
ajjhositabba,ptp,should be fixated on; should be clung to; should be tied to,MN18,madhupiṇḍikasuttaṃ,"yatonidānaṃ, bhikkhu, purisaṃ papañcasaññāsaṅkhā samudācaranti. ettha ce n'atthi abhinanditabbaṃ abhivaditabbaṃ <b>ajjhositabbaṃ</b>.",,,,,,,,,
attuddesa,adj,intended for oneself; designated for oneself,VIN PAT SA 7,vihārakārasikkhāpadaṃ,"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena sassāmikaṃ <b>att'uddesaṃ</b> bhikkhū abhinetabbā vatthudesanāya, tehi bhikkhūhi vatthu desetabbaṃ anārambhaṃ saparikkamanaṃ.",VIN PAT SA 6,kuṭikārasikkhāpadaṃ,"saññācikāya pana bhikkhunā kuṭiṃ kārayamānena assāmikaṃ <b>att'uddesaṃ</b> pamāṇikā kāretabbā, tatr'idaṃ pamāṇaṃ, dīghaso dvādasa vidatthiyo sugatavidatthiyā, tiriyaṃ satt'antarā",,,,,,
addasa 2,aor,you saw; you have seen,AN3.36,devadūtasuttaṃ,ambho purisa na tvaṃ <b>addasa</b> manussesu tatiyaṃ devadūtaṃ pātubhūtan'ti? so evam'āha nāddasaṃ bhante'ti,AN3.36,devadūtasuttaṃ,"ambho purisa, na tvaṃ <b>addasa</b> manussesu itthiṃ vā purisaṃ vā ābādhikaṃ dukkhitaṃ bāḷhagilānaṃ, sake muttakarīse palipannaṃ semānaṃ, aññehi vuṭṭhāpiyamānaṃ, aññehi saṃvesiyamānan'ti?",,,,,,
adhicittamanuyutta,adj,engaged in meditation; devoted to mental development; cultivating the higher mind,MN20,vitakkasaṇṭhānasuttaṃ,"<b>adhicittam'anuyuttena</b>, bhikkhave, bhikkhunā pañca nimittāni kālena kālaṃ manasi kātabbāni. katamāni pañca?",AN3.102,paṃsudhovakasuttaṃ,"evam'evaṃ kho, bhikkhave, santi <b>adhicittam'anuyuttassa</b> bhikkhuno oḷārikā upakkilesā kāyaduccaritaṃ vacīduccaritaṃ manoduccaritaṃ",,,,,,
ananuyutta,pp,not devoted (to); not applying oneself (to); not practising,MN107,gaṇakamoggallānasuttaṃ,"ye'me, bho gotama, puggalā ... indriyesu aguttadvārā bhojane amattaññuno jāgariyaṃ <b>ananuyuttā</b> sāmaññe anapekkhavanto ... na tehi bhavaṃ gotamo saddhiṃ saṃvasati.",SN22.101,vāsijaṭasuttaṃ,"bhāvan'ānuyogaṃ <b>ananuyuttassa</b>, bhikkhave, bhikkhuno viharato kiñ'cā'pi evaṃ icchā uppajjeyya, aho vata me anupādāya āsavehi cittaṃ vimucceyyā'ti, atha khv'assa n'eva anupādāya āsavehi cittaṃ vimuccati. taṃ kissa hetu?",MN105,sunakkhattasuttaṃ,tassa vāt'ātape cārittaṃ <b>ananuyuttassa</b> rajosūkaṃ vaṇamukhaṃ n'ānuddhaṃseyya.,,,
anabhinanditvā,abs,having not approved (of); having not applauded,AN4.180,mahāpadesasuttaṃ,"tassa, bhikkhave, bhikkhuno bhāsitaṃ n'eva abhinanditabbaṃ nappaṭikkositabbaṃ. <b>anabhinanditvā</b> appaṭikkositvā padabyañjanāni sādhukaṃ uggahetvā sutte otāretabbāni, vinaye sandassetabbāni.",SN46.53,aggisuttaṃ,"atha kho te bhikkhū tesaṃ aññatitthiyānaṃ paribbājakānaṃ bhāsitaṃ n'eva abhinandiṃsu nappaṭikkosiṃsu, <b>anabhinanditvā</b> appaṭikkositvā uṭṭhāy'āsanā pakkamiṃsu, bhagavato santike etassa bhāsitassa atthaṃ ājānissāmā'ti.",,,,,,
anuparivattiyamāna,prp,being revolved around; being rotated; being done routinely; being done regularly,AN4.147,dutiyakālasuttaṃ,"cattāro'me, bhikkhave, kālā sammā bhāviyamānā sammā <b>anuparivattiyamānā</b> anupubbena āsavānaṃ khayaṃ pāpenti",,,,,,,,,
anupubbena,ind,gradually; step-by-step; successively; stage-by-stage,DHP239,malavaggo,"<b>anupubbena</b> medhāvī,
thokaṃ thokaṃ khaṇe khaṇe,
kammāro rajatass'eva,
niddhame malam'attano.",VIN4.1.41,rāhula vatthu,atha kho bhagavā kapilavatthusmiṃ yath'ābhirantaṃ viharitvā yena sāvatthi tena cārikaṃ pakkāmi. <b>anupubbena</b> cārikaṃ caramāno yena sāvatthi tadavasari.,AN4.147,dutiyakālasuttaṃ,"kālena dhammassavanaṃ, kālena dhammasākacchā, kālena sammasanā, kālena vipassanā, ime kho, bhikkhave, cattāro kālā sammā bhāviyamānā sammā anuparivattiyamānā <b>anupubbena</b> āsavānaṃ khayaṃ pāpenti.",,,
