id,pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
33,akata 2,pp,not made; not created,UD73,tatiya nibbāna paṭisaṃyuttasuttaṃ,"atthi, bhikkhave, ajātaṃ abhūtaṃ <b>akataṃ</b> asaṅkhataṃ",,,,,,,,,
109,akammāsa,adj,unblemished; spotless; pure,MN48,kosambiyasuttaṃ,bhikkhu yāni tāni sīlāni akhaṇḍāni acchiddāni asabalāni <b>akammāsāni</b> bhujissāni viññuppasatthāni aparāmaṭṭhāni samādhisaṃvattanikāni.,,,,,,,,,
176,akālika 1,adj,immediate; (comm) giving immediate fruit,SN12.41,pañcaverabhayasuttaṃ,svākkhāto bhagavatā dhammo sandiṭṭhiko <b>akāliko</b> ehipassiko opaneyyiko paccattaṃ veditabbo viññūhi,SN42.11,bhadrakasuttaṃ,iminā tvaṃ dhammena diṭṭhena viditena <b>akālikena</b> pattena pariyogāḷhena atīt'ānāgate nayaṃ nehi,,,,,,
177,akālika 2,adj,timeless; not limited to a particular time,SN12.41,pañcaverabhayasuttaṃ,svākkhāto bhagavatā dhammo sandiṭṭhiko <b>akāliko</b> ehipassiko opaneyyiko paccattaṃ veditabbo viññūhi,AN4.195,vappasuttaṃ,"so navañ'ca kammaṃ na karoti, purāṇañ'ca kammaṃ phussa phussa byantīkaroti, sandiṭṭhikā nijjarā <b>akālikā</b> ehipassikā opaneyyikā paccattaṃ veditabbā viññūhi.",,,,,,
293,akovida,adj,unskilled (in); not expert (in); not proficient (in); not a master (of),SN22.1,nakulapitusuttaṃ,"idha, gahapati, assutavā puthujjano ariyānaṃ adassāvī ariyadhammassa <b>akovido</b> ariyadhamme avinīto sappurisānaṃ adassāvī sappurisadhammassa <b>akovido</b> sappurisadhamme avinīto rūpaṃ attato samanupassati",SNP38,dvayatānupassanāsuttaṃ,"satañ'ca vivaṭaṃ hoti,
āloko passatām'iva,
santike na vijānanti,
magā dhammassa-<b>akovidā</b>.",,,,,,
399,akkhāta,pp,said; told; declared; announced (by),DHP86,paṇḍitavaggo,"ye ca kho sammad<b>akkhāte</b>, dhamme dhamm'ānuvattino,
te janā pāram'essanti, maccudheyyaṃ suduttaraṃ.",SN56.31,sīsapāvanasuttaṃ,"kiñ'ca, bhikkhave, mayā <b>akkhātaṃ</b>? idaṃ dukkhan'ti, bhikkhave, mayā akkhātaṃ",DHP275,maggavaggo,"etañ'hi tumhe paṭipannā,
dukkhass'antaṃ karissatha,
<b>akkhāto</b> vo mayā maggo,
aññāya sallakantanaṃ.",SN22.95,pheṇapiṇḍūpamasuttaṃ,"etādis'āyaṃ santāno, māy'āyaṃ bālalāpinī,
vadhako esa <b>akkhāto</b>, sāro ettha na vijjati."
441,akhaṇḍa,adj,unbroken; unfragmented; whole,MN48,kosambiyasuttaṃ,bhikkhu yāni tāni sīlāni <b>akhaṇḍāni</b> acchiddāni asabalāni akammāsāni bhujissāni viññuppasatthāni aparāmaṭṭhāni samādhisaṃvattanikāni.,SN22.54,bījasuttaṃ,"imāni c'assu, bhikkhave, pañca bījajātāni <b>akhaṇḍāni</b> apūtikāni avāt'ātapahatāni sār'ādāni sukhasayitāni, pathavī ca n'āssa, āpo ca n'āssa, api nu'māni, bhikkhave, pañca bījajātāni vuddhiṃ virūḷhiṃ vepullaṃ āpajjeyyun'ti?",,,,,,
734,aghato,ind,as trouble; as pain; as bad,MN64,mahāmālukyasuttaṃ,so yadeva tattha hoti rūpagataṃ vedanāgataṃ saññāgataṃ saṅkhāragataṃ viññāṇagataṃ te dhamme aniccato dukkhato rogato gaṇḍato sallato <b>aghato</b> ābādhato parato palokato suññato anattato samanupassati,,,,,,,,,
888,acira,adj,(of time) not long; soon; recent,SN35.241,paṭhamadārukkhandhopamasuttaṃ,<b>acira</b>-upasampanno ca pan'āyasmā nando eko vūpakaṭṭho appamatto ātāpī pahit'atto viharanto nacirass'eva yass'atthāya kulaputtā samma'd'eva agārasmā anagāriyaṃ pabbajanti,SN1.20,samiddhisuttaṃ,"ahaṃ kho, āvuso, navo <b>acira</b>pabbajito adhun'āgato imaṃ dhammavinayaṃ. na t'āhaṃ sakkomi vitthārena ācikkhituṃ.",UD10,bāhiyasuttaṃ,atha kho <b>acira</b>pakkantassa bhagavato bāhiyaṃ dārucīriyaṃ gāvī taruṇavacchā adhipatitvā jīvitā voropesi.,,,
893,acirapabbajita,adj,recently ordained,SN1.20,samiddhisuttaṃ,"ahaṃ kho, āvuso, navo <b>acirapabbajito</b> adhun'āgato imaṃ dhammavinayaṃ. na t'āhaṃ sakkomi vitthārena ācikkhituṃ.",,,,,,,,,
