pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
attha 2.1,masc,need (for); want (for),DHP331,nāgavaggo,"<b>atthamhi</b> jātamhi sukhā sahāyā,
tuṭṭhī sukhā yā itarītarena,
puññaṃ sukhaṃ jīvitasaṅkhayamhi,
sabbassa dukkhassa sukhaṃ pahānaṃ.",VIN PAT NP 10,rājasikkhāpadaṃ,"cīvar'atthikena, bhikkhave, bhikkhunā veyyāvaccakaro upasaṅkamitvā dvattikkhattuṃ codetabbo sāretabbo, <b>attho</b> me, āvuso, cīvarenā'ti",,,,,,
anālaya 1,masc,non-clinging; non-attachment; non-reliance; unstuck; epithet of Nibbāna,SN56.11,dhammacakkappavattanasuttaṃ,yo tassā'y'eva taṇhāya asesavirāganirodho cāgo paṭinissaggo mutti <b>anālayo</b>,,,,,,,,,
anuttara,adj,highest (of); unsurpassed (by); incomparable (to); superior (to),SN11.3,dhajaggasuttaṃ,iti'pi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū <b>anuttaro</b> purisadammasārathi satthā devamanussānaṃ buddho bhagavā'ti,SNP13,"ratanasuttaṃ
cūḷavaggo 1","varo vara'ññū vara'do var'āharo,
<b>anuttaro</b> dhammavaraṃ adesayi.",DHP55,pupphavaggo,"candanaṃ tagaraṃ vā'pi,
uppalaṃ atha vassikī,
etesaṃ gandhajātānaṃ,
sīlagandho <b>anuttaro</b>.",MN10.10,mahāsatipaṭṭhānasuttaṃ,"sauttaraṃ vā cittaṃ sauttaraṃ cittan'ti pajānāti, <b>anuttaraṃ</b> vā cittaṃ anuttaraṃ cittan'ti pajānāti,"
apara 1,adj,another; after; further; next,MN39,mahāassapurasuttaṃ,"vimuttasmiṃ vimuttam'iti ñāṇaṃ hoti, khīṇā jāti, vusitaṃ brahmacariyaṃ, kataṃ karaṇīyaṃ, na-<b>aparaṃ</b> itthattāyā'ti pajānāti",SNP42,"suddhaṭṭhakasuttaṃ
aṭṭhakavaggo 4","purimaṃ pahāya <b>aparaṃ</b> sitāse,
ej'ānugā te na taranti saṅgaṃ,
te uggahāyanti nirassajanti,
kapī'va sākhaṃ pamuñcaṃ gahāyaṃ.",AN6.63,nibbedhikasuttaṃ,"katamo ca, bhikkhave, kammānaṃ vipāko? tividh'āhaṃ, bhikkhave, kammānaṃ vipākaṃ vadāmi, diṭṭh'eva dhamme, upapajje vā, <b>apare</b> vā pariyāye. ayaṃ vuccati, bhikkhave, kammānaṃ vipāko.",VIN1.2.6,kuṭikārasikkhāpadaṃ,"sārambhaṃ nāma ... taracchānaṃ vā āsayo hoti, yesaṃ kesañci tiracchānagatānaṃ pāṇānaṃ āsayo hoti, pubb'aṇṇanissitaṃ vā hoti, <b>apar</b>'aṇṇanissitaṃ vā hoti"
aparena samayena 1,idiom,at another time; later,MN27,cūḷahatthipadopamasuttaṃ,so <b>aparena samayena</b> appaṃ vā bhogakkhandhaṃ pahāya mahantaṃ vā bhogakkhandhaṃ pahāya appaṃ vā ñātiparivaṭṭaṃ pahāya mahantaṃ vā ñātiparivaṭṭaṃ pahāya,MN39,mahāassapurasuttaṃ,so <b>aparena samayena</b> tamhā ābādhā mucceyya,VIN PAT PA 4,uttarimanussadhammasikkhāpadaṃ,"tato <b>aparena samayena</b> samanuggāhīyamāno vā asamanuggāhīyamāno vā āpanno visuddh'āpekkho evaṃ vadeyya ajānam'evaṃ āvuso avacaṃ jānāmi, apassaṃ passāmi",,,
arahaṃ,masc,awakened being; fourth stage of the path,SN55.7,veḷudvāreyyasuttaṃ,<b>arahaṃ</b> sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā,MN39,mahāassapurasuttaṃ,"ayaṃ vuccati, bhikkhave, bhikkhu samaṇo iti'pi brāhmaṇo iti'pi nahātako iti'pi vedagū iti'pi sottiyo iti'pi ariyo iti'pi <b>arahaṃ</b> iti'pi",SN22.58,sammāsambuddhasuttaṃ,"tathāgato, bhikkhave, <b>arahaṃ</b> sammāsambuddho rūpassa nibbidā virāgā nirodhā anupādā vimutto sammāsambuddho'ti vuccati.",,,
alamariya,adj,suitable for a noble person; worthy of an awakened being,AN10.48,pabbajitābhiṇhasuttaṃ,"atthi nu kho me uttarimanussadhammā <b>alam'ariya</b>ñāṇadassanaviseso adhigato, so'haṃ pacchime kāle sabrahmacārīhi puṭṭho na maṅku bhavissāmī'ti",VIN PAT PA 4,uttarimanussadhammasikkhāpadaṃ,"yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'upanāyikaṃ <b>alam'ariya</b>ñāṇadassanaṃ samudācareyya iti jānāmi, iti passāmī'ti",,,,,,
alamariyañāṇadassanavisesa,masc,distinction in knowledge and vision suitable for a noble person; attainment of understanding and insight proper for a noble one,AN10.48,pabbajitābhiṇhasuttaṃ,"atthi nu kho me uttarimanussadhammā <b>alam'ariyañāṇadassanaviseso</b> adhigato, so'haṃ pacchime kāle sabrahmacārīhi puṭṭho na maṅku bhavissāmī'ti",MN36,mahāsaccakasuttaṃ,na kho pan'āhaṃ imāya kaṭukāya dukkarakārikāya adhigacchāmi uttari manussadhammā <b>alam'ariyañāṇadassanavisesaṃ</b>. siyā nu kho añño maggo bodhāyā'ti?,,,,,,
asesa,adj,complete; without remainder,SN12.1,paṭiccasamuppādasuttaṃ,"avijjāya tv'eva <b>asesa</b>virāganirodhā saṅkhāranirodho, saṅkhāranirodhā viññāṇanirodho",SN56.11,dhammacakkappavattanasuttaṃ,"idaṃ kho pana, bhikkhave, dukkhanirodho ariyasaccaṃ, yo tassā'y'eva taṇhāya <b>asesa</b>virāganirodho cāgo paṭinissaggo mutti anālayo.",SNP1,"uragasuttaṃ
uragavaggo 1","yassa vitakkā vidhūpitā,
ajjhattaṃ suvikappitā <b>asesā</b>,
so bhikkhu jahāti orapāraṃ,
urago jiṇṇam'iva tacaṃ purāṇaṃ.",,,
avijjā,fem,ignorance; illusion; not knowing; not understanding,SN12.1,paṭiccasamuppādasuttaṃ,"<b>avijjāya</b> tv'eva asesavirāganirodhā, saṅkhāranirodho, saṅkhāranirodhā, viññāṇanirodho, viññāṇanirodhā, nāmarūpanirodho, nāmarūpanirodhā",VIBH6.1,paṭiccasamuppādavibhaṅgo,"<b>avijjā</b>paccayā saṅkhārā, saṅkhārapaccayā viññāṇaṃ, viññāṇapaccayā nāmarūpaṃ, nāmarūpapaccayā saḷ'āyatanaṃ, saḷ'āyatanapaccayā phasso, phassapaccayā vedanā",AN10.13,saṃyojanasuttaṃ,"rūparāgo, arūparāgo, māno, uddhaccaṃ, <b>avijjā</b>, imāni pañc'uddham'bhāgiyāni saṃyojanāni.",AN10.61,avijjāsuttaṃ,"<b>avijjam</b>'p'āhaṃ sāhāraṃ vadāmi, no anāhāraṃ. ko c'āhāro <b>avijjāya</b>? pañca nīvaraṇā'ti'ssa vacanīyaṃ."
ākāsa 1.2,masc,sky; air,DNa16.4,mahāparinibbānasuttavaṇṇanā,sā pattaṃ gahetvā <b>ākāse</b> khipi. patto <b>ākāse</b> aṭṭhāsi,SN22.78,sīhasuttaṃ,"ye hi keci, bhikkhave, tiracchānagatā pāṇā sīhassa migarañño nadato saddaṃ suṇanti, yebhuyyena bhayaṃ saṃvegaṃ santāsaṃ āpajjanti, bilaṃ bilāsayā pavisanti, dakaṃ dakāsayā pavisanti, vanaṃ vanāsayā pavisanti, <b>ākāsaṃ</b> pakkhino bhajanti.",DHP93,arahantavaggo,"yass'āsavā parikkhīṇā, āhāre ca anissito,
suññato animitto ca, vimokkho yassa gocaro,
<b>ākāse</b> va sakuntānaṃ, padaṃ tassa durannayaṃ.",VIN1.1.2,dutiyapārājikaṃ,bhūmaṭṭhaṃ thalaṭṭhaṃ <b>ākāsa</b>ṭṭhaṃ vehāsaṭṭhaṃ udakaṭṭhaṃ nāvaṭṭhaṃ yānaṭṭhaṃ bhāraṭṭhaṃ ārāmaṭṭhaṃ vihāraṭṭhaṃ khettaṭṭhaṃ vatthuṭṭhaṃ gāmaṭṭhaṃ araññaṭṭhaṃ
