pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
ajjhabhāsi,aor,addressed; spoke (to someone with),SNP16,"maṅgalasuttaṃ
cūḷavaggo 4",upasaṅkamitvā bhagavantaṃ abhivādetvā ekam'antaṃ aṭṭhāsi. ekam'antaṃ ṭhitā kho sā devatā bhagavantaṃ gāthāya <b>ajjhabhāsi</b>,DN14.4,mahāpadānasuttaṃ,"atha kho, bhikkhave, vipassī bhagavā arahaṃ sammāsambuddho taṃ mahābrahmānaṃ gāthāya <b>ajjhabhāsi</b>",,,,,,
aṇu 2,adj,subtle; fine,MN104,sāmagāmasuttaṃ,"passatha no tumhe taṃ vacanapathaṃ, <b>aṇuṃ</b> vā thūlaṃ vā, yaṃ tumhe n'ādhivāseyyāthā'ti?",TH4,puṇṇattheragāthā,"sabbhi'r'eva samāsetha,
paṇḍiteh'atthadassibhi,
atthaṃ mahantaṃ gambhīraṃ,
duddasaṃ nipuṇaṃ <b>aṇuṃ</b>,
dhīrā samadhigacchanti,
appamattā vicakkhaṇā'ti.",DHP31,appamādavaggo,"appamādarato bhikkhu,
pamāde bhayadassi vā,
saṃyojanaṃ <b>aṇuṃ</b> thūlaṃ,
ḍahaṃ aggī'va gacchati.",,,
atīta 2,pp,past; gone past; bygone,MN131,bhaddekarattasuttaṃ,"<b>atītaṃ</b> n'ānvāgameyya,
nappaṭikaṅkhe anāgataṃ,
yada-<b>atītam</b>'pahīnan'taṃ,
appattañ'ca anāgataṃ.",AN4.21,paṭhamauruvelasuttaṃ,"ye ca <b>atītā</b> sambuddhā, ye ca buddhā anāgatā.
yo c'eta'r'ahi sambuddho, bahunnaṃ sokanāsano.",SN21.10,theranāmakasuttaṃ,"kathañ'ca, thera, ekavihāro vitthārena paripuṇṇo hoti. idha, thera, yaṃ <b>atītaṃ</b> taṃ pahīnaṃ, yaṃ anāgataṃ taṃ paṭinissaṭṭhaṃ, paccuppannesu ca attabhāvapaṭilābhesu chandarāgo suppaṭivinīto.",MN137,saḷāyatanavibhaṅgasuttaṃ,pubbe vā paṭiladdhapubbaṃ <b>atītaṃ</b> niruddhaṃ vipariṇataṃ samanussarato uppajjati somanassaṃ. yaṃ evarūpaṃ somanassaṃ idaṃ vuccati gehasitaṃ somanassaṃ.
attamana,adj,pleased; happy; delighted; elated,SN22.59,anattalakkhaṇasuttaṃ,idam'avoca bhagavā. <b>attamanā</b> pañcavaggiyā bhikkhū bhagavato bhāsitaṃ abhinanduṃ.,MN56,upālisuttaṃ,"purimen'ev'āhaṃ, bhante, opammena bhagavato <b>attamano</b> abhiraddho. api c'āhaṃ imāni bhagavato vicitrāni pañhapaṭibhānāni sotu'kāmo, ev'āhaṃ bhagavantaṃ paccanīkaṃ kātabbaṃ amaññissaṃ",DHP328,nāgavaggo,"sace labhetha nipakaṃ sahāyaṃ,
saddhiṃcaraṃ sādhuvihāridhīraṃ,
abhibhuyya sabbāni parissayāni,
careyya tena-<b>attamano</b> satīmā.",DN10.2,subhasuttaṃ,"te tāvataken'eva <b>attamanā</b> assu, alam'ettāvatā, katam'ettāvatā, anuppatto no sāmaññ'attho, n'atthi no kiñci uttarikaraṇīyan'ti."
anattamana,adj,irritated; annoyed; displeased,VIN PAT NP 25,cīvaraacchindanasikkhāpadaṃ,"yo pana bhikkhu bhikkhussa sāmaṃ cīvaraṃ datvā kupito <b>anattamano</b> acchindeyya vā acchindāpeyya vā, nissaggiyaṃ pācittiyaṃ.",AN4.122,ūmibhayasuttaṃ,"so kupito <b>anattamano</b> sikkhaṃ paccakkhāya hīnāy'āvattati. ayaṃ vuccati, bhikkhave, bhikkhu ūmibhayassa bhīto sikkhaṃ paccakkhāya hīnāy'āvatto.",DN1.1,brahmajālasuttaṃ,"tatra ce tumhe assatha kupitā vā <b>anattamanā</b> vā, tumhaṃ yev'assa tena antarāyo.",MN137,saḷāyatanavibhaṅgasuttaṃ,"tatra, bhikkhave, tathāgato na c'eva <b>anattamano</b> hoti, na ca anattamanataṃ paṭisaṃvedeti, anavassuto ca viharati sato sampajāno."
anāgata 1,pp,not come; not arrived; not present,AN7.23,paṭhamasattakasuttaṃ,kin'ti <b>anāgatā</b> ca pesalā sabrahmacārī āgaccheyyuṃ āgatā ca pesalā sabrahmacārī phāsuṃ vihareyyun'ti,AN2.99,bālavaggo,"dve'me, bhikkhave, bālā. katame dve? yo ca <b>anāgataṃ</b> bhāraṃ vahati, yo ca āgataṃ bhāraṃ na vahati. ime kho, bhikkhave, dve bālā'ti.",,,,,,
anāgata 2,pp,future,MN131,bhaddekarattasuttaṃ,"atītaṃ n'ānvāgameyya, nappaṭikaṅkhe <b>anāgataṃ</b>. yadatītam'pahīnan'taṃ, appattañ'ca <b>anāgataṃ</b>.",AN4.21,paṭhamauruvelasuttaṃ,"ye ca atītā sambuddhā, ye ca buddhā <b>anāgatā</b>.
yo c'eta'r'ahi sambuddho, bahunnaṃ sokanāsano.",SN21.10,theranāmakasuttaṃ,"kathañ'ca, thera, ekavihāro vitthārena paripuṇṇo hoti. idha, thera, yaṃ atītaṃ taṃ pahīnaṃ, yaṃ <b>anāgataṃ</b> taṃ paṭinissaṭṭhaṃ, paccuppannesu ca attabhāvapaṭilābhesu chandarāgo suppaṭivinīto.",SN22.79,khajjanīyasuttaṃ,"ahañ'c'eva kho pana <b>anāgataṃ</b> rūpaṃ abhinandeyyaṃ, <b>anāgatam</b>'p'āhaṃ addhānaṃ evam'eva rūpena khajjeyyaṃ, seyyathā'pi eta'r'ahi paccuppannena rūpena khajjāmī'ti"
anāgatamaddhānaṃ,ind,in the future,MN2.2,sabbāsavasuttaṃ,bhavissāmi nu kho ahaṃ <b>anāgatam'addhānaṃ</b>? na nu kho bhavissāmi anāgatam'addhānaṃ? kiṃ nu kho bhavissāmi <b>anāgatam'addhānaṃ</b>? kathaṃ nu kho bhavissāmi <b>anāgatam'addhānaṃ</b>? kiṃ hutvā kiṃ bhavissāmi nu kho ahaṃ <b>anāgatam'addhānan'ti</b>?,MN61,ambalaṭṭhika rāhulovādasuttaṃ,"ye'pi hi keci, rāhula, <b>anāgatam'addhānaṃ</b> samaṇā vā brāhmaṇā vā kāyakammaṃ parisodhessanti … sabbe te evam'evaṃ paccavekkhitvā paccavekkhitvā kāyakammaṃ parisodhessanti",SN22.3,hāliddikānisuttaṃ,"kathañ'ca, gahapati, purakkharāno hoti? idha, gahapati, ekaccassa evaṃ hoti, evaṃrūpo siyaṃ <b>anāgatam'addhānaṃ</b>, evaṃvedano siyaṃ anāgatam'addhānaṃ",SN12.66,sammasasuttaṃ,"ye'pi hi keci, bhikkhave, <b>anāgatam'addhānaṃ</b> samaṇā vā brāhmaṇā vā yaṃ loke piyarūpaṃ sātarūpaṃ taṃ aniccato dakkhissanti dukkhato dakkhissanti anattato dakkhissanti rogato dakkhissanti bhayato dakkhissanti, te taṇhaṃ pajahissanti."
anuviloketi,pr,looks around; surveys,SN22.78,sīhasuttaṃ,"sīho, bhikkhave, migarājā sāy'anhasamayaṃ āsayā nikkhamati, āsayā nikkhamitvā vijambhati, vijambhitvā samantā catuddisā <b>anuviloketi</b>, samantā catuddisā anuviloketvā tikkhattuṃ sīhanādaṃ nadati, tikkhattuṃ sīhanādaṃ naditvā gocarāya pakkamati.",AN7.61,pacalāyamānasuttaṃ,"no ce te evaṃ viharato taṃ middhaṃ pahīyetha tato tvaṃ, moggallāna, uṭṭhāy'āsanā udakena akkhīni anumajjitvā disā <b>anuvilokeyyāsi</b> nakkhattāni tārakarūpāni ullokeyyāsi",,,,,,
antarāya,masc,obstacle (for); danger (for),Trad,,"sabb'ītiyo vivajjantu, sabbarogo vinassatu, mā te bhavatv'<b>antarāyo</b>, sukhī dīgh'āyuko bhava.",DN16.8,mahāparinibbānasuttaṃ,"pāṭaliputtassa kho, ānanda, tayo <b>antarāyā</b> bhavissanti, aggito vā udakato vā mithubhedā vā'ti.",DHP286,maggavaggo,"idha vassaṃ vasissāmi,
idha hem'antagimhisu,
iti bālo vicinteti,
<b>antarāyaṃ</b> na bujjhati.",DN1.1,brahmajālasuttaṃ,"tatra ce tumhe assatha kupitā vā anattamanā vā, tumhaṃ yev'assa tena <b>antarāyo</b>."
