pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
attha 1.1,masc,meaning; sense; significance,AN10.58,mūlakasuttaṃ,"bhagavaṃmūlakā no, bhante, dhammā bhagavaṃnettikā bhagavaṃpaṭisaraṇā. sādhu vata, bhante, bhagavantaṃ'y'eva paṭibhātu etassa bhāsitassa <b>attho</b>. bhagavato sutvā bhikkhū dhāressantī'ti.",AN6.61,majjhesuttaṃ,"āyām'āvuso, yena bhagavā ten'upasaṅkamissāma. upasaṅkamitvā bhagavato etam'<b>atthaṃ</b> ārocessāma. yathā no bhagavā byākarissati tathā naṃ dhāressāmā'ti.",SN22.1,nakulapitusuttaṃ,sādhu vat'āyasmantaṃ'y'eva sāriputtaṃ paṭibhātu etassa bhāsitassa <b>attho</b>'ti.,SN22.4,dutiyahāliddikānisuttaṃ,"imassa nu kho, bhante, bhagavatā saṃkhittena bhāsitassa kathaṃ vitthārena <b>attho</b> daṭṭhabbo'ti?"
anussarati 1.1,pr,remembers; recollects; bears in mind,SN46.3,sīlasuttaṃ,so tathā vūpakaṭṭho viharanto taṃ dhammaṃ <b>anussarati</b> anuvitakketi,SN11.3,dhajaggasuttaṃ,"araññe rukkhamūle vā,
suññ'āgāre'va bhikkhavo,
<b>anussaretha</b> sambuddhaṃ,
bhayaṃ tumhāka no siyā.",AN10.71,ākaṅkhasuttaṃ,ye me petā ñātī sālohitā kālaṅ'katā pasannacittā <b>anussaranti</b> tesaṃ taṃ mahapphalaṃ assa mah'ānisaṃsan'ti,MN4,bhayabheravasuttaṃ,"so anekavihitaṃ pubbenivāsaṃ <b>anussarāmi</b>, seyyath'idaṃ, ekam'pi jātiṃ dve'pi jātiyo tisso'pi jātiyo catasso'pi jātiyo pañca'pi jātiyo dasa'pi jātiyo vīsam'pi jātiyo tiṃsam'pi jātiyo"
abhivaḍḍhati,pr,increases more and more; surpasses; outgrows,DN9.7,"poṭṭhapādasuttaṃ, tayo attapaṭilābhā","oḷārikassa'pi kho ahaṃ, poṭṭhapāda, attapaṭilābhassa pahānāya dhammaṃ desemi, yathāpaṭipannānaṃ vo saṃkilesikā dhammā pahīyissanti, vodāniyā dhammā <b>abhivaḍḍhissanti</b>",AN4.183,sutasuttaṃ,"yañ'hi, brāhmaṇa, diṭṭhaṃ bhāsato akusalā dhammā <b>abhivaḍḍhanti</b>, kusalā dhammā parihāyanti, evarūpaṃ diṭṭhaṃ na bhāsitabban'ti vadāmi.",AN3.79,sīlabbatasuttaṃ,"yañ'ca khv'āssa, bhante, sīlabbataṃ jīvitaṃ brahmacariyaṃ upaṭṭhānasāraṃ sevato akusalā dhammā parihāyanti, kusalā dhammā <b>abhivaḍḍhanti</b>",DHP24,appamādavaggo,"uṭṭhānavato satīmato, sucikammassa nisammakārino,
saññatassa dhammajīvino, appamattassa yaso-<b>abhivaḍḍhati</b>."
ājānāti 1,pr,knows; understands,SN22.35,aññatarabhikkhusuttaṃ,yathākathaṃ pana tvaṃ bhikkhu mayā saṃkhittena bhāsitassa vitthārena atthaṃ <b>ājānāsī</b>'ti,MN22,alagaddūpamasuttaṃ,tath'āhaṃ bhagavatā dhammaṃ desitaṃ <b>ājānāmi</b> yathā ye'me antarāyikā dhammā vuttā bhagavatā te paṭisevato n'ālaṃ antarāyāyā'ti.,MN43,mahāvedallasuttaṃ,"idān'eva pana mayaṃ, āvuso, āyasmato sāriputtassa bhāsitaṃ evaṃ <b>ājānāma</b>, usmā āyuṃ paṭicca tiṭṭhatī'ti. yathā kathaṃ pan'āvuso, imassa bhāsitassa attho daṭṭhabbo'ti?",,,
ānanda 2,masc,"name of an arahant monk; attendant of the Buddha; great disciple of the Buddha; foremost disciple in great learning, remembrance, conduct, resoluteness and service",AN9.37,ānandasuttaṃ,"yāyaṃ, bhante <b>ānanda</b>, samādhi na c'ābhinato na c'āpanato na ca sasaṅkhāraniggayhavāritagato, vimuttattā ṭhito, ṭhitattā santusito, santusitattā no paritassati. ayaṃ, bhante <b>ānanda</b>, samādhi kiṃphalo vutto bhagavatā'ti?",AN4.159,bhikkhunīsuttaṃ,"evañ'ca vadehi, sādhu kira, bhante, ayyo <b>ānando</b> yena bhikkhun'upassayo yena sā bhikkhunī ten'upasaṅkamatu anukampaṃ upādāyā'ti.",MN104,sāmagāmasuttaṃ,"passatha no tumhe, <b>ānanda</b>, taṃ vacanapathaṃ aṇuṃ vā thūlaṃ vā yaṃ tumhe n'ādhivāseyyāthā'ti?",AN10.60,girimānandasuttaṃ,"etaṃ santaṃ etaṃ paṇītaṃ yadidaṃ sabbasaṅkhārasamatho sabb'ūpadhippaṭinissaggo taṇhākkhayo nirodho nibbānan'ti. ayaṃ vuccata-<b>ananda</b>, nirodhasaññā."
āpatti 2,fem,(vinaya) offence; wrongdoing; transgression,VIN5.4.7,tiṇavatthārakaṃ,"sace mayaṃ imāhi <b>āpattīhi</b> aññam'aññaṃ kāressāma, siyā'pi taṃ adhikaraṇaṃ kakkhaḷattāya vāḷattāya bhedāya saṃvatteyya.",MN105,sunakkhattasuttaṃ,"maraṇañ'h'etaṃ, sunakkhatta, ariyassa vinaye yo sikkhaṃ paccakkhāya hīnāy'āvattati, maraṇamattañ'h'etaṃ, sunakkhatta, dukkhaṃ yaṃ aññataraṃ saṃkiliṭṭhaṃ <b>āpattiṃ</b> āpajjati.",VIN4.1.66,āpattiyā adassane ukkhittakavatthūni,"osāretvā vattabbo, passasi taṃ <b>āpattin</b>'ti? sace passati, iccetaṃ kusalaṃ.",VIN PAT NID,nidānuddeso,"yassa siyā <b>āpatti</b> so āvikareyya, asantiyā <b>āpattiyā</b> tuṇhī bhavitabbaṃ. tuṇhībhāvena kho pan'āyasmante parisuddhā'ti vedissāmi."
āmantayati 1,pr,tells; informs; advises,DN16.36,mahāparinibbānasuttaṃ,"handa dāni, bhikkhave, <b>āmantayāmi</b> vo, vayadhammā saṅkhārā appamādena sampādethā'ti. ayaṃ tathāgatassa pacchimā vācā.",DN19.7,mahāgovindasuttaṃ,rājā disampati bhavantaṃ jotipālaṃ māṇavaṃ <b>āmantayati</b>,,,,,,
uddesa 1,masc,proposition; synopsis; statement in brief; summary; introduction,MN138,uddesavibhaṅgasuttaṃ,"yaṃ kho no, āvuso, bhagavā saṃkhittena <b>uddesaṃ</b> uddisitvā vitthārena atthaṃ avibhajitvā uṭṭhāy'āsanā vihāraṃ paviṭṭho",MN139,araṇavibhaṅgasuttaṃ,"ataramāno'va bhāseyya, no taramāno. janapadaniruttiṃ n'ābhiniveseyya, samaññaṃ n'ātidhāveyyā'ti, ayam'<b>uddeso</b> araṇavibhaṅgassa.",MN133,mahākaccānabhaddekarattasuttaṃ,"dhārehi tvaṃ, bhikkhu, bhadd'ekarattassa <b>uddesañ</b>'ca vibhaṅgañ'ca.",,,
upasama 1,masc,calmness (of); tranquillisation (of); stillness (of); peace (of),SN56.11,dhammacakkappavattanasuttaṃ,"ete te, bhikkhave, ubho ante anupagamma majjhimā paṭipadā tathāgatena abhisambuddhā, cakkhukaraṇī ñāṇakaraṇī <b>upasamāya</b> abhiññāya sambodhāya nibbānāya saṃvattati.",MN140,dhātuvibhaṅgasuttaṃ,"tasmā evaṃ samannāgato bhikkhu iminā paramena upasam'ādhiṭṭhānena samannāgato hoti. eso hi, bhikkhu, paramo ariyo <b>upasamo</b> yadidaṃ, rāgadosamohānaṃ <b>upasamo</b>.",ITI87,andhakaraṇasuttaṃ,"sa ve vitakkāni vicāritāni, sameti vuṭṭhī'va rajaṃ samūhataṃ,
sa ve vitakk'<b>ūpasamena</b> cetasā, idh'eva so santipadaṃ samajjhagā'ti.",,,
uppajjati 1,pr,appears; arises; occurs; takes place (for),SN46.3,sīlasuttaṃ,āraddhavīriyassa <b>uppajjati</b> pīti nirāmisā,SN12.61,assutavāsuttaṃ,"imasmiṃ sati idaṃ hoti, imass'uppādā idaṃ <b>uppajjati</b>. imasmiṃ asati idaṃ na hoti, imassa nirodhā idaṃ nirujjhati",SN22.95,pheṇapiṇḍūpamasuttaṃ,"seyyathā'pi, bhikkhave, saradasamaye thullaphusitake deve vassante udake udakabubbuḷaṃ <b>uppajjati</b> c'eva nirujjhati ca.",SN41.3,dutiyaisidattasuttaṃ,"evañ'hi tvaṃ, gahapati, pucchasi, yā imā, bhante thera, anekavihitā diṭṭhiyo loke <b>uppajjanti</b>, sassato loko'ti"
karohi,imp,do!; make!,TH262,tālapuṭattheragāthā,"dukkhan'ti khandhe paṭipassa yoniso,
yato ca dukkhaṃ samudeti taṃ jaha,
idh'eva dukkhassa <b>karohi</b> antaṃ,
itissu maṃ citta pure niyuñjasi.",DHP236,malavaggo,"so <b>karohi</b> dīpam'attano,
khippaṃ vāyama paṇḍito bhava,
niddhantamalo anaṅgaṇo,
dibbaṃ ariyabhūmiṃ upehisi.",MN54.1,potaliyasuttaṃ,"tena hi, gahapati, suṇāhi, sādhukaṃ manasi <b>karohi</b>, bhāsissāmī'ti. evaṃ, bhante'ti",SN35.238,āsīvisopamasuttaṃ,"yaṃ te, ambho purisa, karaṇīyaṃ taṃ <b>karohī</b>'ti."
kosalā,masc,name of the people of Kosala; Kosalans,SN2.25,jantusuttaṃ,"evaṃ me sutaṃ, ekaṃ samayaṃ sambahulā bhikkhū, <b>kosalesu</b> viharanti himavantapasse araññakuṭikāya uddhatā unnaḷā capalā mukharā vikiṇṇavācā muṭṭhassatino asampajānā asamāhitā vibbhantacittā pākat'indriyā.",AN5.30,nāgitasuttaṃ,"evaṃ me sutaṃ, ekaṃ samayaṃ bhagavā <b>kosalesu</b> cārikaṃ caramāno mahatā bhikkhusaṅghena saddhiṃ yena icchānaṅgalaṃ nāma kosalānaṃ brāhmaṇagāmo tadavasari.",SN55.6,thapatisuttaṃ,"yadā pana mayaṃ, bhante, bhagavantaṃ suṇāma, <b>kosalehi</b> mallesu cārikaṃ pakkamissatī'ti, hoti no tasmiṃ samaye anattamanatā hoti domanassaṃ, dūre no bhagavā bhavissatī'ti.",,,
khādati,pr,chews; devours; eats,DHP240,malavaggo,"ayasā'va malaṃ samuṭṭhitaṃ,
tat'uṭṭhāya tam'eva <b>khādati</b>,
evaṃ atidhonacārinaṃ,
sāni kammāni nayanti duggatiṃ.",SN20.10,biḷārasuttaṃ,"bhūtapubbaṃ, bhikkhave, biḷāro sandhisamalasaṅkaṭīre ṭhito ahosi mudumūsiṃ maggayamāno, yadā'yaṃ mudumūsi gocarāya pakkamissati, tatth'eva naṃ gahetvā <b>khādissāmī</b>'ti.",VIN PAT PC 36,dutiyapavāraṇāsikkhāpadaṃ,"handa bhikkhu <b>khāda</b> vā bhuñja vā'ti jānaṃ āsādan'āpekkho, bhuttasmiṃ pācittiyaṃ.",SN12.63,puttamaṃsūpamasuttaṃ,"seyyathā'pi yaṃ yadeva hi sā gāvī niccammā nissāya tiṭṭheyya, ye tan'nissitā pāṇā te naṃ <b>khādeyyuṃ</b>. evam'eva khv'āhaṃ, bhikkhave, phass'āhāro daṭṭhabbo'ti"
gahapati,masc,householder; landowner,MN27,cūḷahatthipadopamasuttaṃ,taṃ dhammaṃ suṇāti <b>gahapati</b> vā <b>gahapati</b>putto vā aññatarasmiṃ vā kule paccājāto.,SN41.3,dutiyaisidattasuttaṃ,"evañ'hi tvaṃ, <b>gahapati</b>, pucchasi, yā imā, bhante thera, anekavihitā diṭṭhiyo loke uppajjanti, sassato loko'ti",SN12.41,pañcaverabhayasuttaṃ,tha kho anāthapiṇḍiko <b>gahapati</b> yena bhagavā ten'upasaṅkami. upasaṅkamitvā bhagavantaṃ abhivādetvā ekam'antaṃ nisīdi.,VIN PAT NP 27,mahāpesakārasikkhāpadaṃ,"bhikkhuṃ pan'eva uddissa aññātako <b>gahapati</b> vā gahapatānī vā tantavāyehi cīvaraṃ vāyāpeyya, tatra ce so bhikkhu pubbe appavārito tantavāye upasaṅkamitvā cīvare vikappaṃ āpajjeyya"
cīvaracetāpanna,nt,robe-fund; account for robe-cloth,VIN PAT NP 8,paṭhamaupakkhaṭasikkhāpadaṃ,"bhikkhuṃ pan'eva uddissa aññātakassa gahapatissa vā gahapatāniyā vā <b>cīvaracetāpannaṃ</b> upakkhaṭaṃ hoti, iminā <b>cīvaracetāpannena</b> cīvaraṃ cetāpetvā itthan'nāmaṃ bhikkhuṃ cīvarena acchādessāmī'ti",,,,,,,,,
ceteti 2,pr,intends; wills (to),AN4.186,ummaggasuttaṃ,"idha, bhikkhu, paṇḍito mahāpañño n'ev'attabyābādhāya <b>ceteti</b> na parabyābādhāya <b>ceteti</b> na ubhayabyābādhāya <b>ceteti</b> attahitaparahitaubhayahitasabbalokahitam'eva cintayamāno cinteti",MN56,upālisuttaṃ,"asañcetanikaṃ, bhante, nigaṇṭho nāṭaputto no mahāsāvajjaṃ paññapetī'ti. sace pana, gahapati, <b>cetetī</b>'ti? mahāsāvajjaṃ, bhante, hotī'ti.",SN35.248,yavakalāpisuttaṃ,"sace so assutavā puthujjano āyatiṃ punabbhavāya <b>ceteti</b>, evañ'hi so moghapuriso suhatataro hoti, seyyathā'pi sā yavakalāpī sattamāya byābhaṅgiyā haññamānā.",AN3.66,kesamuttisuttaṃ,"sace kho pana karoto karīyati pāpaṃ, na kho pan'āhaṃ kassaci pāpaṃ <b>cetemi</b>. akarontaṃ kho pana maṃ pāpakammaṃ kuto dukkhaṃ phusissatī'ti"
jināti 2,pr,surpasses; beats; wins (over),DHP354,taṇhāvaggo,"sabbadānaṃ dhammadānaṃ <b>jināti</b>,
sabbarasaṃ dhammaraso <b>jināti</b>,
sabbaratiṃ dhammarati <b>jināti</b>,
taṇhakkhayo sabbadukkhaṃ jināti.",,,,,,,,,
jotipāla 1,masc,name of a Brahman royal advisor,DN19.7,mahāgovindasuttaṃ,rājā disampati bhavantaṃ <b>jotipālaṃ</b> māṇavaṃ āmantayati,,,,,,,,,
ṭhita 3,pp,remained; stayed; was,PAT PK,dhammayuttikapubbakiccaṃ,te ca kho hatthapāsaṃ avijahitvā ekasīmāyaṃ <b>ṭhitā</b>.,SN22.79,khajjanīyasuttaṃ,kiñ'ca n'eva pajahati na upādiyati pajahitvā <b>ṭhito</b>? rūpaṃ ... vedanaṃ ... saññaṃ ... saṃkhare ... viññāṇaṃ n'eva pajahati na upādiyati pajahitvā ṭhito,MN64,mahāmālukyasuttaṃ,so tattha <b>ṭhito</b> āsavānaṃ khayaṃ pāpuṇāti,SN1.15,saṇamānasuttaṃ,"<b>ṭhite</b> majjhanhike kāle,
sannisīvesu pakkhisu,
saṇat'eva brah'āraññaṃ,
taṃ bhayaṃ paṭibhāti man'ti."
