pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
acchādeti 1.1,pr,dresses; clothes; give clothes (to),VIN PAT NP 8,paṭhamaupakkhaṭasikkhāpadaṃ,"bhikkhuṃ pan'eva uddissa aññātakassa gahapatissa vā gahapatāniyā vā cīvaracetāpannaṃ upakkhaṭaṃ hoti, iminā cīvaracetāpannena cīvaraṃ cetāpetvā itthan'nāmaṃ bhikkhuṃ cīvarena <b>acchādessāmī</b>'ti",VIN PAT NP 8,paṭhamaupakkhaṭasikkhāpadaṃ,"sādhu vata maṃ āyasmā iminā cīvaracetāpannena evarūpaṃ vā evarūpaṃ vā cīvaraṃ cetāpetvā <b>acchādehī</b>'ti kalyāṇakamyataṃ upādāya, nissaggiyaṃ pācittiyaṃ.",VIN PAT NP 10,rāja sikkhāpada,"yaṃ kho, bhante, āyasmā veyyāvaccakaraṃ niddisi, saññatto so mayā, upasaṅkamat'āyasmā kālena, cīvarena taṃ <b>acchādessatī'</b>ti.",,,
ajja,ind,today; now,MN131,bhaddekarattasuttaṃ,"<b>ajj</b>'eva kiccam'ātappaṃ, ko jaññā maraṇaṃ suve. na hi no saṅgaran'tena, mahāsenena maccunā.",MN107,gaṇakamoggallānasuttaṃ,"seyyathā'pi, bho gotama ... ye keci pupphagandhā, vassikaṃ tesaṃ aggam'akkhāyati, evam'eva bhoto gotamassa ovādo param'<b>ajja</b>dhammesu.",SN47.8,sūdasuttaṃ,"sa kho so, bhikkhave, bālo abyatto akusalo sūdo sakassa bhattu nimittaṃ na uggaṇhāti, idaṃ vā me <b>ajja</b> bhattu sūpeyyaṃ ruccati, imassa vā abhiharati, imassa vā bahuṃ gaṇhāti, imassa vā vaṇṇaṃ bhāsati.",TH263,mahāmoggallānattheragāthā,"so'haṃ <b>ajja</b> kathaṃ vajjaṃ, ahaṃ nicco'mhi sassato."
aññatra 2,ind,apart (from); aside (from); other (than); except (for); without,VIN PAT PA 4,uttarimanussadhammasikkhāpadaṃ,"ajānam'evaṃ āvuso avacaṃ jānāmi, apassaṃ passāmi, tucchaṃ musā vilapin'ti, <b>aññatra</b> adhimānā, ayam'pi pārājiko hoti asaṃvāso.",SNP50,"cūḷabyūhasuttaṃ
aṭṭhakavaggo 12","na h'eva saccāni bahūni nānā,
<b>aññatra</b> saññāya niccāni loke,
takkañ'ca diṭṭhīsu pakappayitvā,
saccaṃ musā'ti dvayadhammam'āhu.",VIN PAT PC 7,dhammadesanā sikkhāpada,"yo pana bhikkhu mātugāmassa uttarichappañcavācāhi dhammaṃ deseyya, <b>aññatra</b> viññunā purisaviggahena, pācittiyaṃ.",VIN PAT SA 1,sukkavissaṭṭhi sikkhāpada,sañcetanikā sukkavissaṭṭhi <b>aññatra</b> supin'antā saṅghādiseso'ti.
atthi 1.2,pr,there are; they are,SNP8,mettasuttaṃ,"ye keci pāṇabhūt'<b>atthi</b>,
tasā vā thāvarā vā anavasesā,
dīghā vā y'eva mahantā vā,
majjhimā rassakā aṇukathūlā.",SNP46,"pasūrasuttaṃ
aṭṭhakavaggo 8","ye diṭṭhim'uggayha vivādayanti,
idam'eva saccan'ti ca vādayanti,
te tvaṃ vadassū na hi te'dha <b>atthi</b>,
vādamhi jāte paṭisenikattā.",,,,,,
atha 1,ind,then; also; and so; after that,DHP277,maggavaggo,"sabbe saṅkhārā aniccā'ti,
yadā paññāya passati,
<b>atha</b> nibbindati dukkhe,
esa maggo visuddhiyā.",SNP16,"maṅgalasuttaṃ
cūḷavaggo 4",<b>atha</b> kho aññatarā devatā abhikkantāya rattiyā abhikkantavaṇṇā kevalakappaṃ jetavanaṃ obhāsetvā yena bhagavā ten'upasaṅkami,SN35.240,kummopamasuttaṃ,"yadā kho, bhikkhave, kummo kacchapo soṇḍipañcamānaṃ aṅgānaṃ aññataraṃ vā aññataraṃ vā aṅgaṃ na abhininnāmi, <b>atha</b> siṅgālo kummamhā nibbijja pakkāmi, otāraṃ alabhamāno.",MN107,gaṇakamoggallānasuttaṃ,seyyathā'pi brāhmaṇa dakkho assadammako bhaddaṃ ass'ājānīyaṃ labhitvā paṭhamen'eva mukh'ādhāne kāraṇaṃ kāreti <b>atha</b> uttariṃ kāraṇaṃ kāreti
atho,ind,and then; or; after that; because of,SNP13,"ratanasuttaṃ
cūḷavaggo 1","yān'īdha bhūtāni samāgatāni, bhummāni vā yāni va antalikkhe.
sabb'eva bhūtā sumanā bhavantu, <b>atho</b>'pi sakkacca suṇantu bhāsitaṃ.",TH262,tālapuṭattheragāthā,"kadā nu'haṃ dubbacanena vutto,
tatonimittaṃ vimano na hessaṃ,
<b>atho</b> pasattho'pi tatonimittaṃ,
tuṭṭho na hessaṃ tadidaṃ kadā me.",MN91,brahmāyusuttaṃ,"pubbenivāsaṃ yo vedi,
sagg'āpāyañ'ca passati,
<b>atho</b> jātikkhayaṃ patto,
abhiññā vosito muni.",AN5.57,abhiṇhapaccavekkhitabbaṭhānasuttaṃ,"byādhidhammā jarādhammā, <b>atho</b> maraṇadhammino.
yathā dhammā tathā sattā, jigucchanti puthujjanā."
adhigacchati 1,pr,gets to; attains; finds; acquires; obtains,AN5.37,bhojanasuttaṃ,"āyudo balado dhīro, vaṇṇado paṭibhānado. sukhassa dātā medhāvī, sukhaṃ so <b>adhigacchati</b>. āyuṃ datvā balaṃ vaṇṇaṃ, sukhañ'ca paṭibhānakaṃ, dīgh'āyu yasavā hoti, yattha yatth'ūpapajjati.",AN4.62,ānaṇyasuttaṃ,"so, bhogā me atthi uṭṭhānavīriy'ādhigatā bāhābalaparicitā sed'āvakkhittā dhammikā dhammaladdhā'ti <b>adhigacchati</b> sukhaṃ, <b>adhigacchati</b> somanassaṃ.",DHP12,yamakavaggo,"sārañ'ca sārato ñatvā,
asārañ'ca asārato,
te sāraṃ <b>adhigacchanti</b>,
sammāsaṅkappagocarā.",MN129,bālapaṇḍitasuttaṃ,"appamattako so, bhikkhave, kaṭaggaho yaṃ so akkhadhutto paṭhamen'eva kaṭaggahena mahantaṃ bhogakkhandhaṃ <b>adhigaccheyya</b>."
anatta 1,adj,impersonal; not oneself; non-subjective; not suitable to identify with; coreless; essenceless,DHP279,maggavaggo,"sabbe dhammā <b>anattā</b>'ti, yadā paññāya passati.
atha nibbindati dukkhe, esa maggo visuddhiyā.",AN4.49,vipallāsasuttaṃ,"<b>anattani</b>, bhikkhave, attā'ti saññāvipallāso cittavipallāso diṭṭhivipallāso. asubhe, bhikkhave, subhan'ti saññāvipallāso cittavipallāso diṭṭhivipallāso.",,,,,,
anavasesa 1,adj,all; without exception,SNP8,mettasuttaṃ,"ye keci pāṇabhūt'atthi,
tasā vā thāvarā vā <b>anavasesā</b>,
dīghā vā y'eva mahantā vā,
majjhimā rassakā aṇukathūlā.",,,,,,,,,
anicca 1,adj,impermanent; inconstant; not lasting; discontinuous; disordered; unstable; unreliable; irregular,SN22.59,anattalakkhaṇasuttaṃ,"taṃ kiṃ maññatha, bhikkhave, rūpaṃ niccaṃ vā <b>aniccaṃ</b> vā'ti? <b>aniccaṃ</b>, bhante.",DHP277,maggavaggo,"sabbe saṅkhārā <b>aniccā</b>'ti,
yadā paññāya passati,
atha nibbindati dukkhe,
esa maggo visuddhiyā.",SN22.57,sattaṭṭhānasuttaṃ,"yaṃ rūpaṃ paṭicca uppajjati sukhaṃ somanassaṃ, ayaṃ rūpassa assādo. yaṃ rūpaṃ <b>aniccaṃ</b> dukkhaṃ vipariṇāmadhammaṃ, ayaṃ rūpassa ādīnavo.",,,
