pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
attatā,fem,selfhood; beingness; state of being,DN13.8,tevijjasuttaṃ,iti uddham'adho tiriyaṃ sabbadhi sabb'<b>attatāya</b> sabbāvantaṃ lokaṃ mettāsahagatena cetasā vipulena mahaggatena appamāṇena averena abyāpajjena pharitvā viharati.,,,,,,,,,
adhimutta 1,pp,set (on); intent (on); focused (on); fixed (on); fixated (on); resolved (on),MN105,sunakkhattasuttaṃ,"ṭhānaṃ kho pan'etaṃ, sunakkhatta, vijjati yaṃ idh'ekacco purisapuggalo ākiñcaññ'āyatana-<b>adhimutto</b> assa.",DHP226,kodhavaggo,"sadā jāgaramānānaṃ,
ahoratt'ānusikkhinaṃ,
nibbānaṃ <b>adhimuttānaṃ</b>,
atthaṃ gacchanti āsavā.",MN137,saḷāyatanavibhaṅgasuttaṃ,"subhan'tv'eva <b>adhimutto</b> hoti, ayaṃ tatiyā disā",,,
anubyañjana 1,nt,secondary characteristic; detail; feature,MN107,gaṇakamoggallānasuttaṃ,cakkhunā rūpaṃ disvā mā nimittaggāhī mā-<b>anubyañjana</b>-ggāhī,,,,,,,,,
anubyañjanaggāhī,adj,enticed by the details; focussing on the secondary characteristics,MN107,gaṇakamoggallānasuttaṃ,cakkhunā rūpaṃ disvā mā nimittaggāhī mā-<b>anubyañjanaggāhī</b>,,,,,,,,,
anuvicāreti,pr,re-looks at; re-examines; reflects (on); meditates (on),AN7.61,pacalāyamānasuttaṃ,"no ce te evaṃ viharato taṃ middhaṃ pahīyetha tato tvaṃ, moggallāna, yathāsutaṃ yathāpariyattaṃ dhammaṃ cetasā anuvitakkeyyāsi <b>anuvicāreyyāsi</b> manasā anupekkheyyāsi",MN105,sunakkhattasuttaṃ,"lok'āmis'ādhimuttassa kho, sunakkhatta, purisapuggalassa tappatirūpī c'eva kathā saṇṭhāti, tadanudhammañ'ca anuvitakketi, <b>anuvicāreti</b>, tañ'ca purisaṃ bhajati, tena ca vittiṃ āpajjati",MN19,dvedhāvitakkasuttaṃ,"yaññad'eva, bhikkhave, bhikkhu bahulam'anuvitakketi <b>anuvicāreti</b>, tathā tathā nati hoti cetaso.",,,
anūpaghāta,masc,not harming; not hurting; non-violence,DHP185,buddhavaggo,"anūpavādo <b>anūpaghāto</b>,
pātimokkhe ca saṃvaro,
mattaññutā ca bhattasmiṃ,
pantañ'ca sayan'āsanaṃ,
adhicitte ca āyogo,
etaṃ buddhāna sāsanaṃ.",,,,,,,,,
anūpavāda,masc,not blaming; without insulting; not abusing,DHP185,buddhavaggo,"<b>anūpavādo</b> anūpaghāto,
pātimokkhe ca saṃvaro,
mattaññutā ca bhattasmiṃ,
pantañ'ca sayan'āsanaṃ,
adhicitte ca āyogo,
etaṃ buddhāna sāsanaṃ.",,,,,,,,,
appamatta 1.1,pp,diligent (in); vigilant (about); careful (about); attentive (to),AN8.53,saṃkhittasuttaṃ,"sādhu me, bhante, bhagavā saṃkhittena dhammaṃ desetu, yam'ahaṃ bhagavato dhammaṃ sutvā ekā vūpakaṭṭhā <b>appamattā</b> ātāpinī pahit'attā vihareyyan'ti",SNP13,"ratanasuttaṃ
cūḷavaggo 1","tasmā hi bhūtā nisāmetha sabbe, mettaṃ karotha mānusiyā pajāya.
divā ca ratto ca haranti ye baliṃ, tasmā hi ne rakkhatha <b>appamattā</b>.",SN6.14,aruṇavatīsuttaṃ,"yo imasmiṃ dhammavinaye,
<b>appamatto</b> vihassati,
pahāya jātisaṃsāraṃ,
dukkhass'antaṃ karissatī'ti.",DHP21,appamādavaggo,"appamādo amatapadaṃ,
pamādo maccuno padaṃ,
<b>appamattā</b> na mīyanti,
ye pamattā yathā matā."
appamāṇa 1,adj,immeasurable; unlimited; limitless; boundless,AN4.67,ahirājasuttaṃ,"<b>appamāṇo</b> buddho, appamāṇo dhammo.
appamāṇo saṅgho, pamāṇavantāni siriṃsapāni
ahivicchikā satapadī, uṇṇanābhī sarabū mūsikā.",DN13.8,tevijjasuttaṃ,iti uddham'adho tiriyaṃ sabbadhi sabb'attatāya sabbāvantaṃ lokaṃ mettāsahagatena cetasā vipulena mahaggatena <b>appamāṇena</b> averena abyāpajjena pharitvā viharati.,AN3.91,dutiya sikkhattayasuttaṃ,"yathā divā tathā rattiṃ,
yathā rattiṃ tathā divā,
abhibhuyya disā sabbā,
<b>appamāṇa</b>samādhinā.",AN10.29,paṭhamakosalasuttaṃ,"dasa'y'imāni, bhikkhave, kasiṇ'āyatanāni. katamāni dasa? pathavīkasiṇam'eko sañjānāti uddhaṃ adho tiriyaṃ advayaṃ <b>appamāṇaṃ</b>."
abyāpajjha 2.2,adj,free from ill will; not malicious; kind-hearted,DN13.8,tevijjasuttaṃ,iti uddham'adho tiriyaṃ sabbadhi sabb'attatāya sabbāvantaṃ lokaṃ mettāsahagatena cetasā vipulena mahaggatena appamāṇena averena <b>abyāpajjhena</b> pharitvā viharati,AN3.66,kesamuttisuttaṃ,sa kho so ariyasāvako evaṃ avera-citto evaṃ <b>abyāpajjha</b>citto evaṃ asaṃkiliṭṭhacitto evaṃ visuddhacitto. tassa diṭṭh'eva dhamme cattāro assāsā adhigatā honti.,,,,,,
abhisaṅkharoti 1,pr,creates; constructs; generates; forms; fabricates,SN12.25,bhūmijasuttaṃ,"sāmaṃ vā taṃ, ānanda, kāyasaṅkhāraṃ <b>abhisaṅkharoti</b>, yaṃpaccay'āssa taṃ uppajjati ajjhattaṃ sukhadukkhaṃ. pare vā taṃ, ānanda, kāyasaṅkhāraṃ <b>abhisaṅkharonti</b>, yaṃpaccay'āssa taṃ uppajjati ajjhattaṃ sukhadukkhaṃ.",MN27,cūḷahatthipadopamasuttaṃ,"te suṇanti, samaṇo khalu, bho, gotamo amukaṃ nāma gāmaṃ vā nigamaṃ vā osarissatī'ti. te pañhaṃ <b>abhisaṅkharonti</b>, imaṃ mayaṃ pañhaṃ samaṇaṃ gotamaṃ upasaṅkamitvā pucchissāma.",SN22.79,khajjanīyasuttaṃ,"rūpaṃ rūpattāya saṅkhatam'<b>abhisaṅkharonti</b>, vedanaṃ vedanattāya saṅkhatam'<b>abhisaṅkharonti</b>, saññaṃ saññattāya saṅkhatam'<b>abhisaṅkharonti</b>",SN56.42,papātasuttaṃ,"saṅkhāresu abhiratā jātisaṃvattanike'pi saṅkhāre <b>abhisaṅkharonti</b>, jarāsaṃvattanike'pi saṅkhāre <b>abhisaṅkharonti</b>, maraṇasaṃvattanike'pi saṅkhāre <b>abhisaṅkharonti</b>, soka-parideva-dukkha-domanass'upāyāsasaṃvattanike'pi saṅkhāre <b>abhisaṅkharonti</b>."
ayampi,sandhi,one too; this too,VIN PAT PA 2,adinnādānasikkhāpadaṃ,"coro'si bālo'si mūḷho'si theno'sī'ti, tathārūpaṃ bhikkhu adinnaṃ ādiyamāno <b>ayam'pi</b> pārājiko hoti asaṃvāso.",AN8.2,paññāsuttaṃ,addhā ayam'āyasmā jānaṃ jānāti passaṃ passatī'ti. <b>ayam'pi</b> dhammo piyattāya garuttāya bhāvanāya sāmaññāya ekībhāvāya saṃvattati.,DN13.8,tevijjasuttaṃ,"evam'eva kho evaṃ bhāvitāya mettāya cetovimuttiyā yaṃ pamāṇakataṃ kammaṃ na taṃ tatr'āvasissati, na taṃ tatr'āvatiṭṭhati. <b>ayam'pi</b> kho brahmānaṃ sahabyatāya maggo.",,,
aluddha,masc,who is not greedy,AN3.67,sāḷhasuttaṃ,"taṃ kiṃ maññatha, sāḷhā, atthi alobho'ti? evaṃ, bhante. anabhijjhāti kho ahaṃ, sāḷhā, etamatthaṃ vadāmi. <b>aluddho</b> kho ayaṃ, sāḷhā, anabhijjhālu n'eva pāṇaṃ hanati, na adinnaṃ ādiyati, na paradāraṃ gacchati, na musā bhaṇati, param'pi na tathattāya samādapeti",AN3.70,akusalamūlasuttaṃ,"yadapi, bhikkhave, alobho tadapi kusalamūlaṃ. yadapi <b>aluddho</b> abhisaṅkharoti kāyena vācāya manasā tadapi kusalaṃ.",,,,,,
alobha,masc,non-greed; absence of desire; moderation,AN3.112,paṭhamanidānasuttaṃ,"<b>alobho</b> nidānaṃ kammānaṃ samudayāya, adoso nidānaṃ kammānaṃ samudayāya, amoho nidānaṃ kammānaṃ samudayāya.",AN10.47,mahālisuttaṃ,"ko pana, bhante, hetu ko paccayo kalyāṇassa kammassa kiriyāya kalyāṇassa kammassa pavattiyā'ti? <b>alobho</b> kho, mahāli, hetu, <b>alobho</b> paccayo kalyāṇassa kammassa kiriyāya kalyāṇassa kammassa pavattiyā.",AN3.70,akusalamūlasuttaṃ,"yadapi, bhikkhave, <b>alobho</b> tadapi kusalamūlaṃ. yadapi aluddho abhisaṅkharoti kāyena vācāya manasā tadapi kusalaṃ.",,,
ahaññeveko,sandhi,only I alone; just me,AN5.57,abhiṇhapaccavekkhitabbaṭhānasuttaṃ,"sa kho so, bhikkhave, ariyasāvako iti paṭisañcikkhati, na kho <b>ahaññ'ev'eko</b> jarādhammo jaraṃ anatīto, atha kho yāvatā sattānaṃ āgati gati cuti upapatti sabbe sattā jarādhammā jaraṃ anatītā'ti.",,,,,,,,,
ādisa,adj,of character; of quality; of kind; referring to,SNP16,"maṅgalasuttaṃ
cūḷavaggo 4","et<b>'ādisāni</b> katvāna, sabbattha'm'aparājitā.
sabbattha sotthiṃ gacchanti, tan'tesaṃ maṅgalam'uttaman'ti.",SNP34,"sallasuttaṃ
mahāvaggo 8","yena yena hi maññanti,
tato taṃ hoti aññathā,
et'<b>ādiso</b> vinābhāvo,
passa lokassa pariyāyaṃ.",,,,,,
āmisa 3,nt,worldly thing; physical item; material stuff,VIN2.5.7.9,ukkhittasambhogasikkhāpadaṃ,"<b>āmisa</b>sambhogo nāma <b>āmisaṃ</b> deti vā paṭiggaṇhāti vā, āpatti pācittiyassa.",ITI100,brāhmaṇadhammayāgasuttaṃ,"dve'me, bhikkhave, saṃvibhāgā <b>āmisa</b>saṃvibhāgo ca dhammasaṃvibhāgo ca. etadaggaṃ, bhikkhave, imesaṃ dvinnaṃ saṃvibhāgānaṃ yadidaṃ dhammasaṃvibhāgo.",MN105,sunakkhattasuttaṃ,"evam'eva kho, sunakkhatta, ṭhānam'etaṃ vijjati yaṃ idh'ekacco purisapuggalo loka-<b>āmis'</b>ādhimutto assa.",,,
iccevaṃ,sandhi,thus like this,Thai,,<b>icc'evam</b>'ek'ant'abhipūjaneyyakaṃ vatthuttayaṃ vandayat'ābhisaṅkhataṃ,VV52,revatīvimānavatthu,"<b>icc'evaṃ</b> vippalapantiṃ, phandamānaṃ tato tato.
khipiṃsu niraye ghore, uddhapādaṃ avaṃsiraṃ",,,,,,
iccha,adj,wishing (for); desiring; wanting,SN56.11,dhammacakkappavattanasuttaṃ,"appiyehi sampayogo dukkho, piyehi vippayogo dukkho, yam'pi-<b>icchaṃ</b> na labhati tam'pi dukkhaṃ",SNP46,"pasūrasuttaṃ
aṭṭhakavaggo 8","sūro yathā rājakhādāya puṭṭho,
abhigajjam'eti paṭisūram'<b>icchaṃ</b>,
yen'eva so tena palehi sūra,
pubb'eva n'atthi yadidaṃ yudhāya.",DHP334,taṇhāvaggo,"manujassa pamattacārino,
taṇhā vaḍḍhati māluvā viya,
so plavatī hurā huraṃ,
phalam'<b>icchaṃ</b>'va vanasmi vānaro.",,,
ida,ind,in this case; here,DN9.3,poṭṭhapādasuttaṃ,"saññā kho, poṭṭhapāda, paṭhamaṃ uppajjati, pacchā ñāṇaṃ, saññ'uppādā ca pana ñāṇ'uppādo hoti. so evaṃ pajānāti, <b>ida</b>ppaccayā",AN10.61,avijjāsuttaṃ,"purimā, bhikkhave, koṭi na paññāyati avijjāya, ito pubbe avijjā n'āhosi, atha pacchā samabhavī'ti. evañ'c'etaṃ, bhikkhave, vuccati, atha ca pana paññāyati, <b>ida</b>ppaccayā avijjā'ti",,,,,,
idappaccayā,ind,due to this; on account of this; because of this,AN10.61,avijjāsuttaṃ,"purimā, bhikkhave, koṭi na paññāyati avijjāya, ito pubbe avijjā n'āhosi, atha pacchā samabhavī'ti. evañ'c'etaṃ, bhikkhave, vuccati, atha ca pana paññāyati, <b>idappaccayā</b> avijjā'ti",DN9.3,"poṭṭhapādasuttaṃ, sahetukasaññuppādanirodhakathā","saññā kho, poṭṭhapāda, paṭhamaṃ uppajjati, pacchā ñāṇaṃ, saññ'uppādā ca pana ñāṇ'uppādo hoti. so evaṃ pajānāti, <b>idappaccayā</b>",,,,,,
iddhimant,masc,who has psychic powers; possessing supernormal ability,AN4.45,rohitassasuttaṃ,"bhūtapubb'āhaṃ, bhante, rohitasso nāma isi ahosiṃ bhojaputto <b>iddhimā</b> vehāsaṅ'gamo.",AN3.40,ādhipateyyasuttaṃ,"mahantasmiṃ kho pana lokasannivāse santi samaṇabrāhmaṇā <b>iddhimanto</b> dibbacakkhukā paracittaviduno. te dūrato'pi passanti, āsannā'pi na dissanti, cetasā'pi cittaṃ pajānanti.",,,,,,
idhekacca,pron,here one; here a certain; in this case some; some people here,SN36.21,sīvakasuttaṃ,"pittasamuṭṭhānāni'pi ... semhasamuṭṭhānāni'pi ... vātasamuṭṭhānāni'pi … sannipātikāni'pi … utupariṇāmajāni'pi … visamaparihārajāni'pi … opakkamikāni'pi … kammavipākajāni'pi kho, sīvaka, <b>idh'ekaccāni</b> vedayitāni uppajjanti.",MN12,mahāsīhanādasuttaṃ,"evam'eva kho ahaṃ, sāriputta, <b>idh'ekaccaṃ</b> puggalaṃ evaṃ cetasā ceto paricca pajānāmi, tath'āyaṃ puggalo paṭipanno tathā ca iriyati tañ'ca maggaṃ samārūḷho yathā kāyassa bhedā paraṃ maraṇā apāyaṃ duggatiṃ vinipātaṃ nirayaṃ upapajjissatī'ti.",MN105,sunakkhattasuttaṃ,"evam'eva kho, sunakkhatta, ṭhānam'etaṃ vijjati yaṃ <b>idh'ekacco</b> purisapuggalo lok'āmis'ādhimutto assa.",AN4.73,sappurisasuttaṃ,evam'evaṃ kho <b>idh'ekacco</b> bhikkhu yaññad'eva rattiṃ vā divaṃ vā agārasmā anagāriyaṃ pabbajito hoti
imasmiṃyeva,sandhi,in this very; in this exact,DHPa2.11.9,mahādhana seṭṭhiputta vatthu,"sace hi ayaṃ paṭhamavaye bhoge akhepetvā kamm'ante payojayissa, <b>imasmiṃ'y'eva</b> nagare aggaseṭṭhi abhavissa. sace pana nikkhamitvā pabbajissa, arahattaṃ pāpuṇissa, bhariyāpissa anāgāmiphale patiṭṭhahissa.",AN4.45,rohitassasuttaṃ,"api c'āhaṃ, āvuso, <b>imasmiṃ'y'eva</b> byāmamatte kaḷevare sasaññimhi samanake lokañ'ca paññāpemi lokasamudayañ'ca lokanirodhañ'ca lokanirodhagāminiñ'ca paṭipadan'ti.",,,,,,
imāhaṃ,sandhi,this I,MN22,alagaddūpamasuttaṃ,"tassa purisassa uttiṇṇassa pāraṅ'gatassa evam'assa, bahukāro kho me ayaṃ kullo, <b>im'āhaṃ</b> kullaṃ nissāya hatthehi ca pādehi ca vāyamamāno sotthinā pāraṃ uttiṇṇo.",MN105,sunakkhattasuttaṃ,"taṃ kiṃ maññasi, sunakkhatta, api nu so puriso amuṃ āpānīyakaṃsaṃ piveyya yaṃ jaññā, <b>im'āhaṃ</b> pivitvā maraṇaṃ vā nigacchāmi maraṇamattaṃ vā dukkhan'ti? no h'etaṃ, bhante.",,,,,,
ukkaṭṭhā,fem,name of town,MN49,brahmanimantanikasuttaṃ,"ekam'id'āhaṃ, bhikkhave, samayaṃ <b>ukkaṭṭhāyaṃ</b> viharāmi subhagavane sālarājamūle.",,,,,,,,,
