pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
acchariya 1,adj,wonderful; marvellous; epithet of Nibbāna,UD45,uposathasuttaṃ,"ayaṃ, bhikkhave, imasmiṃ dhammavinaye chaṭṭho <b>acchariyo</b> abbhuto dhammo, yaṃ disvā disvā bhikkhū imasmiṃ dhammavinaye abhiramanti.",SN43.14-43,"asaṅkhatasaṃyuttaṃ, anāsavādisuttaṃ","taṃ suṇātha. katamañ'ca, bhikkhave, <b>acchariyaṃ</b> … abbhutañ'ca vo, bhikkhave, desessāmi abbhutagāmiñ'ca maggaṃ. taṃ suṇātha.",,,,,,
aṭṭha 1.1,card,eight (8),SN45.8,vibhaṅgasuttaṃ,ariyo <b>aṭṭh</b>'aṅgiko maggo seyyath'īdaṃ sammādiṭṭhi sammāsaṅkappo sammāvācā sammākamm'anto sammāājīvo sammāvāyāmo sammāsati sammāsamādhi.,SN12.41,pañcaverabhayasuttaṃ,"yadidaṃ cattāri purisayugāni <b>aṭṭha</b> purisapuggalā esa bhagavato sāvakasaṅgho, āhuneyyo pāhuneyyo dakkhiṇeyyo añjalikaraṇīyo anuttaraṃ puññakkhettaṃ lokassa",UD45,uposathasuttaṃ,"evam'eva kho, bhikkhave, imasmiṃ dhammavinaye <b>aṭṭha</b> acchariyā abbhutā dhammā, ye disvā disvā bhikkhū imasmiṃ dhammavinaye abhiramanti. katame aṭṭha?",AN8.2,paññāsuttaṃ,"ime kho, bhikkhave, <b>aṭṭha</b> hetū <b>aṭṭha</b> paccayā ādibrahmacariyikāya paññāya appaṭiladdhāya paṭilābhāya, paṭiladdhāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā saṃvattantī'ti."
aṭṭhakavaggika,adj,belonging to the Aṭṭhakavagga; from the fourth chapter of the Sutta Nipāta,UD46,soṇasuttaṃ,"evaṃ, bhante'ti kho āyasmā soṇo bhagavato paṭissutvā soḷasa <b>aṭṭhakavaggikāni</b> sabbān'eva sarena abhaṇi.",,,,,,,,,
aṭṭhama 1,ordin,eighth (8th),SNP13,"ratanasuttaṃ
cūḷavaggo 1","ye ariyasaccāni vibhāvayanti,
gambhīrapaññena sudesitāni,
kiñ'cā'pi te honti bhusappamattā,
na te bhavaṃ <b>aṭṭhamam</b>'ādiyanti,
idam'pi saṅghe ratanaṃ paṇītaṃ,
etena saccena suvatthi hotu.",AN8.2,paññāsuttaṃ,"ayaṃ, bhikkhave, <b>aṭṭhamo</b> hetu <b>aṭṭhamo</b> paccayo ādibrahmacariyikāya paññāya appaṭiladdhāya paṭilābhāya, paṭiladdhāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā saṃvattati.",VIN PAT PC,suddhapācittiyā,sahadhammikavaggo <b>aṭṭhamo</b>.,,,
aṭṭhasata,card,one hundred and eight (108),AN4.199,taṇhāsuttaṃ,"iti evarūpāni atītāni chattiṃsa taṇhāvicaritāni, anāgatāni chattiṃsa taṇhāvicaritāni, paccuppannāni chattiṃsa taṇhāvicaritāni. evaṃ <b>aṭṭhasataṃ</b> taṇhāvicaritaṃ honti.",MNa36,mahāsaccakasutavaṇṇanā,tasmiṃ pana divase ekena ūnaṃ <b>aṭṭhasataṃ</b> yojenti.,SN36.22,aṭṭhasatasuttaṃ,"aṭṭhārasā'pi mayā vedanā vuttā pariyāyena, chattiṃsā'pi mayā vedanā vuttā pariyāyena, <b>aṭṭhasatam</b>'pi mayā vedanā vuttā pariyāyena.",SN36.22,aṭṭhasatasuttaṃ,"katamañ'ca, bhikkhave, <b>aṭṭhasataṃ</b> vedanā? atītā chattiṃsa vedanā, anāgatā chattiṃsa vedanā, paccuppannā chattiṃsa vedanā, imā vuccanti, bhikkhave, <b>aṭṭhasataṃ</b> vedanā."
aṭṭhārasa 1,card,eighteen (18),MN115,bahudhātukasuttaṃ,"<b>aṭṭhārasa</b> dhātuyo, cakkhudhātu rūpadhātu cakkhuviññāṇadhātu, sotadhātu saddadhātu sotaviññāṇadhātu,",SN36.22,aṭṭhasatasuttaṃ,"<b>aṭṭhārasā</b>'pi mayā vedanā vuttā pariyāyena, chattiṃsā'pi mayā vedanā vuttā pariyāyena, aṭṭhasatam'pi mayā vedanā vuttā pariyāyena.",MN137,saḷāyatanavibhaṅgasuttaṃ,"cha ajjhattikāni āyatanāni veditabbāni, cha bāhirāni āyatanāni veditabbāni, cha viññāṇakāyā veditabbā, cha phassakāyā veditabbā, <b>aṭṭhārasa</b> mano'pavicārā veditabbā, chattiṃsa sattapadā veditabbā",,,
aṇḍa 1,nt,egg,MN16,cetokhilasuttaṃ,"seyyathā'pi, bhikkhave, kukkuṭiyā <b>aṇḍāni</b> aṭṭha vā dasa vā dvādasa vā. tān'assu kukkuṭiyā sammā adhisayitāni sammā pariseditāni sammā paribhāvitāni.",APA18,rāhula therāpadānaṃ,"kikī'va <b>aṇḍaṃ</b> rakkheyya,
cāmarī viya vāladhiṃ,
nipako sīlasampanno,
mamaṃ rakkhi mahāmuni.",,,,,,
adesayi,aor,taught; explained,SNP13,"ratanasuttaṃ
cūḷavaggo 1","vanappagumbe yatha phussit'agge,
gimhānamāse paṭhamasmiṃ gimhe,
tath'ūpamaṃ dhammavaraṃ <b>adesayi</b>,
nibbānagāmiṃ paramaṃ hitāya,
idam'pi buddhe ratanaṃ paṇītaṃ,
etena saccena suvatthi hotu.",AN8.30,anuruddha mahāvitakkasuttaṃ,"yathā me ahu saṅkappo,
tato uttari desayi,
nippapañcarato buddho,
nippapañcaṃ <b>adesayi</b>.",,,,,,
anāhāra,adj,without fuel; without nutriment,SN46.2,"bojjhaṅgasaṃyuttaṃ, kāyasuttaṃ","seyyathā'pi, bhikkhave, ayaṃ kāyo āhāraṭṭhitiko, āhāraṃ paṭicca tiṭṭhati, anāhāro no tiṭṭhati, evam'eva kho, bhikkhave, ime pañca nīvaraṇā āhāraṭṭhitikā, āhāraṃ paṭicca tiṭṭhanti, <b>anāhārā</b> no tiṭṭhanti.",AN10.61,avijjāsuttaṃ,"avijjam'p'āhaṃ, bhikkhave, s'āhāraṃ vadāmi, no <b>anāhāraṃ</b>. ko c'āhāro avijjāya?",MN28,mahāhatthipadopamasuttaṃ,"sā harit'antaṃ vā panth'antaṃ vā sel'antaṃ vā udak'antaṃ vā ramaṇīyaṃ vā bhūmibhāgaṃ āgamma <b>anāhārā</b> nibbāyati. hoti kho so, āvuso, samayo yaṃ kukkuṭapattena'pi nhārudaddulena'pi aggiṃ gavesanti.",,,
anuppanna,pp,unborn; unarisen; not existing; nonexistent,SN45.8,vibhaṅgasuttaṃ,bhikkhu <b>anuppannānaṃ</b> pāpakānaṃ akusalānaṃ dhammānaṃ anuppādāya chandaṃ janeti vāyamati vīriyaṃ ārabhati cittaṃ paggaṇhāti padahati,SN2.17,subrahmasuttaṃ,"niccaṃ utrastam'idaṃ cittaṃ,
niccaṃ ubbiggam'idaṃ mano,
<b>anuppannesu</b> kicchesu,
atho uppatitesu ca,
sace atthi anutrastaṃ,
taṃ me akkhāhi pucchito'ti.",DN31.11,siṅgālasuttaṃ,"tassa evaṃ kicc'āpadesabahulassa viharato <b>anuppannā</b> c'eva bhogā n'uppajjanti, uppannā ca bhogā parikkhayaṃ gacchanti.",AN1.12,nīvaraṇappahāna vaggo,n'āhaṃ aññaṃ ekadhammam'pi samanupassāmi yena <b>anuppanno</b> vā byāpādo uppajjati uppanno vā byāpādo bhiyyobhāvāya vepullāya saṃvattati yatha'y'idaṃ paṭighanimittaṃ.
