pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
akubbanta,prp,not doing; not making,DHP124,pāpavaggo,"pāṇimhi ce vaṇo n'āssa,
hareyya pāṇinā visaṃ,
n'ābbaṇaṃ visam'anveti,
n'atthi pāpaṃ <b>akubbato</b>.",SNP51,"mahābyūhasuttaṃ
aṭṭhakavaggo 13","pubb'āsave hitvā nave <b>akubbaṃ</b>,
na chandagū no'pi nivissavādī,
sa vippamutto diṭṭhigatehi dhīro,
na lippati loke anattagarahī.",SNP47,"māgaṇḍiyasuttaṃ
aṭṭhakavaggo 9","okaṃ pahāya aniketasārī, gāme <b>akubbaṃ</b> muni santhavāni,
kāmehi ritto apurekkharāno, kathaṃ na viggayha janena kayirā.",,,
agiddha,pp,without greed; without desire,TH257,pārāpariyattheragāthā,"paṇītaṃ yadi vā lūkhaṃ, appaṃ vā yadi vā bahuṃ.
yāpan'atthaṃ abhuñjiṃsu, <b>agiddhā</b> n'ādhimucchitā.",SNP47,"māgaṇḍiyasuttaṃ
aṭṭhakavaggo 9","yehi vivitto vicareyya loke,
na tāni uggayha vadeyya nāgo,
jalambujaṃ kaṇḍakaṃ vārijaṃ yathā,
jalena paṅkena c'anūpalittaṃ,
evaṃ munī santivādo <b>agiddho</b>,
kāme ca loke ca anūpalitto.",,,,,,
aggahesi 2,aor,seized; caught; grabbed hold (of),SN47.6,sakuṇagghisuttaṃ,"bhūtapubbaṃ, bhikkhave, sakuṇagghi lāpaṃ sakuṇaṃ sahasā ajjhappattā <b>aggahesi</b>.",SNP47,"māgaṇḍiyasuttaṃ
aṭṭhakavaggo 9","saññāvirattassa na santi ganthā,
paññāvimuttassa na santi mohā,
saññañ'ca diṭṭhiñ'ca ye <b>aggahesuṃ</b>,
te ghaṭṭayantā vicaranti loke'ti.",,,,,,
ajjhatta,adj,inner; internal; personal; in oneself,SNP47,"māgaṇḍiyasuttaṃ
aṭṭhakavaggo 9","idaṃ vadāmī'ti na tassa hoti,
dhammesu niccheyya samuggahītaṃ,
passañ'ca diṭṭhīsu anuggahāya,
<b>ajjhatta</b>santiṃ pacinaṃ adassaṃ.",VIN1.2.1,sukkavissaṭṭhisikkhāpadaṃ,"<b>ajjhatta</b>rūpe moceti, bahiddhārūpe moceti, <b>ajjhatta</b>bahiddhārūpe moceti, ākāse kaṭiṃ kampento moceti, rāg'ūpatthambhe moceti, vacc'ūpatthambhe moceti, passāv'ūpatthambhe moceti, vāt'ūpatthambhe moceti, uccāliṅgapāṇakadaṭṭh'ūpatthambhe moceti",,,,,,
añāṇa,nt,without knowing; without understanding; without insight,SNP47,"māgaṇḍiyasuttaṃ
aṭṭhakavaggo 9","na diṭṭhiyā na sutiyā na ñāṇena,
sīlabbaten'āpi na suddhim'āha,
adiṭṭhiyā assutiyā <b>añāṇā</b>,
asīlatā abbatā no'pi tena,
ete ca nissajja anuggahāya,
santo anissāya bhavaṃ na jappe.",,,,,,,,,
attha 1.4,masc,matter; affair; legal case; lawsuit,DHP256,dhammaṭṭhavaggo,"na tena hoti dhammaṭṭho,
yena-<b>atthaṃ</b> sāhasā naye,
yo ca atthaṃ anatthañ'ca,
ubho niccheyya paṇḍito.",AN3.51,mahācorasuttaṃ,"tassa evaṃ hoti, sace maṃ koci kiñci vakkhati, ime me rājāno vā rājamahāmattā vā pariyodhāya <b>atthaṃ</b> bhaṇissantī'ti.",MN60,apaṇṇakasuttaṃ,evaṃ imassa bhoto purisapuggalassa ubhaya-<b>attha</b> kaliggaho,SNP47,"māgaṇḍiyasuttaṃ
aṭṭhakavaggo 9","vinicchayā yāni pakappitāni,
te ve munī brūsi anuggahāya,
ajjhattasantī'ti yam'etam'<b>atthaṃ</b>,
kathaṃ nu dhīrehi paveditaṃ taṃ."
adassi,aor,saw; has seen,SNP47,"māgaṇḍiyasuttaṃ
aṭṭhakavaggo 9","idaṃ vadāmī'ti na tassa hoti,
dhammesu niccheyya samuggahītaṃ,
passañ'ca diṭṭhīsu anuggahāya,
ajjhattasantiṃ pacinaṃ <b>adassaṃ</b>.",,,,,,,,,
adiṭṭhi,fem,without view; no belief,SNP47,"māgaṇḍiyasuttaṃ
aṭṭhakavaggo 9","na diṭṭhiyā na sutiyā na ñāṇena,
sīlabbaten'āpi na suddhim'āha,
<b>adiṭṭhiyā</b> assutiyā añāṇā,
asīlatā abbatā no'pi tena,
ete ca nissajja anuggahāya,
santo anissāya bhavaṃ na jappe.",,,,,,,,,
anissāya,ger,not leaning (on); not depending (on); being independent (of),SNP47,"māgaṇḍiyasuttaṃ
aṭṭhakavaggo 9","na diṭṭhiyā na sutiyā na ñāṇena,
sīlabbaten'āpi na suddhim'āha,
adiṭṭhiyā assutiyā añāṇā,
asīlatā abbatā no'pi tena,
ete ca nissajja anuggahāya,
santo <b>anissāya</b> bhavaṃ na jappe.",,,,,,,,,
anuggahāya,ger,not grasping; not embracing; not taking up,SNP51,"mahābyūhasuttaṃ
aṭṭhakavaggo 13","sīlabbataṃ vā'pi pahāya sabbaṃ,
kammañ'ca sāvajj'anavajjam'etaṃ,
suddhiṃ asuddhin'ti apatthayāno,
virato care santim'<b>anuggahāya</b>.",SNP47,"māgaṇḍiyasuttaṃ
aṭṭhakavaggo 9","idaṃ vadāmī'ti na tassa hoti,
dhammesu niccheyya samuggahītaṃ,
passañ'ca diṭṭhīsu <b>anuggahāya</b>,
ajjhattasantiṃ pacinaṃ adassaṃ.",,,,,,
