pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
accagamā 1,imperf,overcame; surmounted; conquered; transcended,SNP1,"uragasuttaṃ
uragavaggo 1","yo n'āccasārī na paccasārī,
sabbaṃ <b>accagamā</b> imaṃ papañcaṃ,
so bhikkhu jahāti orapāraṃ,
urago jiṇṇam'iva tacaṃ purāṇaṃ.",AN9.11,sīhanādasuttaṃ,"taggha taṃ, bhikkhu, accayo <b>accagamā</b> yathābālaṃ yathāmūḷhaṃ yathāakusalaṃ, yo tvaṃ sāriputtaṃ asatā tucchā musā abhūtena abbhācikkhi.",,,,,,
aññathā 1,ind,differently; otherwise,TH257,pārāpariyattheragāthā,"<b>aññathā</b> lokanāthamhi, tiṭṭhante puris'uttame.
iriyaṃ āsi bhikkhūnaṃ, aññathā dāni dissati.",SNP34,"sallasuttaṃ
mahāvaggo 8","yena yena hi maññanti,
tato taṃ hoti <b>aññathā</b>,
etādiso vinābhāvo,
passa lokassa pariyāyaṃ.",AN10.176,cundasuttaṃ,"<b>aññathā</b> kho, cunda, brāhmaṇā pacchābhūmakā kamaṇḍalukā sevālamālikā aggiparicārikā udak'orohakā soceyyāni paññapenti, <b>aññathā</b> ca pana ariyassa vinaye soceyyaṃ hotī'ti",,,
aṇu 1,adj,small; tiny; minute; minuscule,MN104,sāmagāmasuttaṃ,"passatha no tumhe taṃ vacanapathaṃ, <b>aṇuṃ</b> vā thūlaṃ vā, yaṃ tumhe n'ādhivāseyyāthā'ti?",MN107,gaṇakamoggallānasuttaṃ,"ehi tvaṃ, bhikkhu, sīlavā hohi, pātimokkhasaṃvarasaṃvuto viharāhi ācāragocarasampanno <b>aṇu</b>mattesu vajjesu bhayadassāvī, samādāya sikkhassu sikkhāpadesū'ti",SNP43,"paramaṭṭhakasuttaṃ
aṭṭhakavaggo 5","tass'īdha diṭṭhe va sute mute vā,
pakappitā n'atthi <b>aṇū</b>'pi saññā,
taṃ brāhmaṇaṃ diṭṭhim'anādiyānaṃ,
ken'īdha lokasmiṃ vikappayeyya.",DHP265,dhammaṭṭhavaggo,"yo ca sameti pāpāni,
<b>aṇuṃ</b> thūlāni sabbaso,
samitattā hi pāpānaṃ,
samaṇo'ti pavuccati."
adiṭṭha 1.1,pp,not seen; unseen,SNP8,mettasuttaṃ,"diṭṭhā vā ye ca <b>adiṭṭhā</b>, ye ca dūre vasanti avidūre
bhūtā vā sambhav'esī vā, sabbe sattā bhavantu sukhit'attā.",SNP71,"piṅgiya māṇava pucchā
pārāyanavaggo 16","disā catasso vidisā catasso,
uddhaṃ adho dasa disā imāyo,
na tuyhaṃ <b>adiṭṭhaṃ</b> asutaṃ amutaṃ,
atho aviññātaṃ kiñcanam'atthi loke,
ācikkha dhammaṃ yam'ahaṃ vijaññaṃ,
jātijarāya idha vippahānaṃ.",SN48.44,pubbakoṭṭhakasuttaṃ,"yesañ'h'etaṃ, sāriputta, aññātaṃ assa <b>adiṭṭhaṃ</b> aviditaṃ asacchikataṃ aphassitaṃ paññāya te tattha paresaṃ saddhāya gaccheyyuṃ",SN35.95,mālukyaputtasuttaṃ,"taṃ kiṃ maññasi ye te cakkhuviññeyyā rūpā <b>adiṭṭhā</b> adiṭṭhapubbā, na ca passasi, na ca te hoti passeyyan'ti? atthi te tattha chando vā rāgo vā pemaṃ vā'ti?"
addhāna 2,nt,time; period; extent,SN56.21,paṭhamakoṭigāmasuttaṃ,"tatra kho bhagavā bhikkhū āmantesi, catunnaṃ, bhikkhave, ariyasaccānaṃ ananubodhā appaṭivedhā evam'idaṃ dīgham'<b>addhānaṃ</b> sandhāvitaṃ saṃsaritaṃ mamañ'c'eva tumhākañ'ca.",SN22.79,khajjanīyasuttaṃ,"atītam'p'āhaṃ <b>addhānaṃ</b> evam'eva rūpena khajjiṃ, seyyathā'pi eta'r'ahi paccuppannena rūpena khajjāmi.",APA539,mahākoṭṭhika therāpadānaṃ,"sabbattha sukhito hutvā,
saṃsaritvā bhavābhave,
anāgatamhi <b>addhāne</b>,
lacchase taṃ manorathaṃ.",,,
adho 1,ind,below; under,SNP8,mettasuttaṃ,"mettañ'ca sabbalokasmiṃ,
mānasam'bhāvaye aparimāṇaṃ,
uddhaṃ <b>adho</b> ca tiriyañ'ca,
asambādhaṃ, averaṃ, asapattaṃ.",SNP59,"mettagū māṇava pucchā
pārāyanavaggo 4","yaṃ kiñci sampajānāsi,
uddhaṃ <b>adho</b> tiriyañ'cā'pi majjhe,
etesu nandiñ'ca nivesanañ'ca,
panujja viññāṇaṃ bhave na tiṭṭhe.",AN10.29,paṭhamakosalasuttaṃ,"dasa'y'imāni, bhikkhave, kasiṇ'āyatanāni. katamāni dasa? pathavīkasiṇam'eko sañjānāti uddhaṃ <b>adho</b> tiriyaṃ advayaṃ appamāṇaṃ.",,,
anupādāya,ger,not holding (onto); not grasping (onto); detaching (from); not taking possession (of),SN22.59,anattalakkhaṇasuttaṃ,imasmiñ'ca pana veyyākaraṇasmiṃ bhaññamāne pañcavaggiyānaṃ bhikkhūnaṃ <b>anupādāya</b> āsavehi cittāni vimucciṃsū'ti.,DHP89,paṇḍitavaggo,"yesaṃ sambodhi'y'aṅgesu,
sammā cittaṃ subhāvitaṃ,
ādānapaṭinissagge,
<b>anupādāya</b> ye ratā,
khīṇ'āsavā jutimanto,
te loke parinibbutā.",,,,,,
aparimāṇa,adj,measureless; boundless,SNP8,mettasuttaṃ,"mātā yathā niyaṃ puttaṃ,
āyusā ekaputtam'anurakkhe,
evam'pi sabbabhūtesu,
mānasaṃ bhāvaye <b>aparimāṇaṃ</b>.",,,,,,,,,
abbhācikkhi,aor,misrepresented; slandered; falsely accused,MN22,alagaddūpamasuttaṃ,"mā h'evaṃ, āvuso ariṭṭha, avaca, mā bhagavantaṃ <b>abbhācikkhi</b>, na hi sādhu bhagavato abbhakkhānaṃ, na hi bhagavā evaṃ vadeyya.",AN9.11,sīhanādasuttaṃ,"taggha taṃ, bhikkhu, accayo accagamā yathābālaṃ yathāmūḷhaṃ yathāakusalaṃ, yo tvaṃ sāriputtaṃ asatā tucchā musā abhūtena <b>abbhācikkhi</b>",,,,,,
abhiṇhaṃ,ind,continuously; repeatedly; regularly; often,AN10.48,pabbajitābhiṇhasuttaṃ,"kammassakomhi kammadāy'ādo kammayoni kammabandhu kammapaṭisaraṇo, yaṃ kammaṃ karissāmi kalyāṇaṃ vā pāpakaṃ vā tassa dāy'ādo bhavissāmī'ti pabbajitena <b>abhiṇhaṃ</b> paccavekkhitabbaṃ",MN24,rathavinītasuttaṃ,"yassa kho tvaṃ, āvuso sāriputta, puṇṇassa nāma bhikkhuno mantāṇiputtassa <b>abhiṇhaṃ</b> kittayamāno ahosi, so ... yena andhavanaṃ tena pakkanto divāvihārāyā'ti.",SNP23,"rāhulasuttaṃ
cūḷavaggo 11",itthaṃ sudaṃ bhagavā āyasmantaṃ rāhulaṃ imāhi gāthāhi <b>abhiṇhaṃ</b> ovadatī'ti,,,
