pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
akkosa,masc,verbal abuse; insult; name calling,MN82,raṭṭhapālasuttaṃ,"atha kho āyasmā raṭṭhapālo sakapitu nivesane n'eva dānaṃ alattha na paccakkhānaṃ, añña'd'atthu <b>akkosam</b>'eva alattha",DHP399,brāhmaṇavaggo,"<b>akkosaṃ</b> vadhabandhañ'ca,
aduṭṭho yo titikkhati,
khantībalaṃ bal'ānīkaṃ,
tam'ahaṃ brūmi brāhmaṇaṃ.",,,,,,
accayena 2,ind,after the death (of); after the passing (of),DN16.36,mahāparinibbānasuttaṃ,"yo vo … mayā dhammo ca vinayo ca desito paññatto, so vo mam'<b>accayena</b> satthā.",CPa3.15,mahālomahaṃsacariyāvaṇṇanā,"mahāsatto hi tadā mahati uḷārabhoge kule nibbattitvā vuddhim'anvāya disāpāmokkhassa ācariyassa santike garuvāsaṃ vasanto sabbasippānaṃ nipphattiṃ patvā kulagharaṃ āgantvā mātāpitūnaṃ <b>accayena</b> ñātakehi, kuṭumbaṃ saṇṭhapehī'ti",,,,,,
ajesi,aor,conquered; defeated,VIN5.1.1,tajjanīya kammaṃ,"mā kho tumhe, āyasmanto, eso <b>ajesi</b>.",,,,,,,,,
aññadatthu 2,ind,on the contrary; however; on the other hand,AN3.101,loṇakapallasuttaṃ,"<b>añña'd'atthu</b> pañjaliko'va naṃ yācati, dehi me, mārisa, urabbhaṃ vā urabbhadhanaṃ vā'ti.",MN82,raṭṭhapālasuttaṃ,"atha kho āyasmā raṭṭhapālo sakapitu nivesane n'eva dānaṃ alattha na paccakkhānaṃ, <b>añña'd'atthu</b> akkosam'eva alattha",,,,,,
aṭṭhi 1.1,nt,bone,SN12.22,dutiyadasabalasuttaṃ,"kāmaṃ taco ca nahāru ca <b>aṭṭhi</b> ca avasissatu, sarīre upasussatu maṃsalohitaṃ",DN22.5,mahāsatipaṭṭhānasuttaṃ,"atthi imasmiṃ kāye kesā lomā nakhā dantā taco, maṃsaṃ nhāru <b>aṭṭhi</b> aṭṭhimiñjaṃ vakkaṃ, hadayaṃ yakanaṃ kilomakaṃ pihakaṃ papphāsaṃ",DHP149,jarāvaggo,"yān'imāni apatthāni,
alābūn'eva sārade,
kāpotakāni <b>aṭṭhīni</b>,
tāni disvāna kā rati.",,,
attha 4.2,imp,you (all) must be; may you (all) be,MN19,dvedhāvitakkasuttaṃ,"etāni, bhikkhave, rukkhamūlāni, etāni suññ'āgārāni. jhāyatha, bhikkhave, mā pamāda-<b>attha</b>, mā pacchā vippaṭisārino ahuvattha. ayaṃ vo amhākaṃ anusāsanī'ti.",,,,,,,,,
adukkhamasukha 1,adj,neutral; neither unpleasant nor pleasant; neither comfortable nor uncomfortable,SN45.8,vibhaṅgasuttaṃ,"sukhassa ca pahānā dukkhassa ca pahānā, pubb'eva somanassadomanassānaṃ atthaṅ'gamā, <b>adukkham'asukhaṃ</b> upekkhāsatipārisuddhiṃ catutthaṃ jhānaṃ upasampajja viharati.",AN6.61,majjhesuttaṃ,"evaṃ vutte aññataro bhikkhu there bhikkhū etadavoca, sukhā, āvuso, vedanā eko anto, dukkhā vedanā dutiyo anto, <b>adukkham'asukhā</b> vedanā majjhe, taṇhā sibbinī.",MN74,dīghanakhasuttaṃ,"n'eva tasmiṃ samaye dukkhaṃ vedanaṃ vedeti, na <b>adukkham'asukhaṃ</b> vedanaṃ vedeti",SN22.79,khajjanīyasuttaṃ,"sukham'pi vedayati, dukkham'pi vedayati, <b>adukkham'asukham</b>'pi vedayati. vedayatī'ti kho, bhikkhave, tasmā vedanā'ti vuccati."
adhamma 2,masc,false teaching; something opposed to the teaching,TH195,dhammikattheragāthā,"na hi dhammo <b>adhammo</b> ca, ubho samavipākino.
<b>adhammo</b> nirayaṃ neti, dhammo pāpeti suggatiṃ.",MN22,alagaddūpamasuttaṃ,"kull'ūpamaṃ vo, bhikkhave, dhammaṃ desitaṃ, ājānantehi dhammā'pi vo pahātabbā pag'eva <b>adhammā</b>.",SN2.22,khemasuttaṃ,"evaṃ dhammā apakkamma,
<b>adhammam</b>'anuvattiya,
mando maccumukhaṃ patto,
akkhacchinno'va jhāyatī'ti.",,,
anāthapiṇḍika,masc,name of the Buddha's chief lay disciple,SN1.11,nandanasuttaṃ,"evaṃ me sutaṃ, ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane <b>anāthapiṇḍikassa</b> ārāme",AN5.176,pītisuttaṃ,"atha kho <b>anāthapiṇḍiko</b> gahapati pañcamattehi upāsakasatehi parivuto yena bhagavā ten'upasaṅkami, upasaṅkamitvā bhagavantaṃ abhivādetvā ekam'antaṃ nisīdi.",AN10.93,kiṃdiṭṭhikasuttaṃ,<b>anāthapiṇḍiko</b> gahapati yāvatako ahosi tehi aññatitthiyehi paribbājakehi saddhiṃ kathāsallāpo taṃ sabbaṃ bhagavato ārocesi.,,,
aniccānupassī,adj,observing impermanence (of); watching instability (of),MN118,ānāpānassatisuttaṃ,"<b>anicc'ānupassī</b> assasissāmī'ti sikkhati, <b>anicc'ānupassī</b> passasissāmī'ti sikkhati",SN36.7,paṭhamagelaññasuttaṃ,"so kāye ca sukhāya ca vedanāya <b>anicc'ānupassī</b> viharati, vay'ānupassī viharati, virāg'ānupassī viharati, nirodh'ānupassī viharati, paṭinissagg'ānupassī viharati.",AN5.30,nāgitasuttaṃ,"chasu kho, nāgita, phass'āyatanesu <b>anicc'ānupassino</b> viharato phasse pāṭikulyatā saṇṭhāti, eso tassa nissando.",AN10.60,girimānandasuttaṃ,"iti imesu pañcasu upādānakkhandhesu <b>anicc'ānupassī</b> viharati. ayaṃ vuccat'ānanda, aniccasaññā."
