pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
akāsi 1,aor,did; performed,KHP7,tirokuṭṭasuttaṃ,"adāsi me <b>akāsi</b> me, ñātimittā sakhā ca me. petānaṃ dakkhiṇaṃ dajjā, pubbe katam'anussaraṃ.",MN61,ambalaṭṭhika rāhulovādasuttaṃ,"katvā'pi te, rāhula, kāyena kammaṃ tadeva te kāyakammaṃ paccavekkhitabbaṃ, yaṃ nu kho ahaṃ idaṃ kāyena kammaṃ <b>akāsiṃ</b> idaṃ me kāyakammaṃ attabyābādhāya'pi saṃvattati",,,,,,
agamissa,cond,would have fallen into; would have become,AN2.9,cariyasuttaṃ,"sambhedaṃ loko <b>agamissa</b>, yathā aj'eḷakā kukkuṭasūkarā soṇasigālā.",,,,,,,,,
ajeḷakā,masc,goats and sheep,MN51,kandarakasuttaṃ,"<b>aj'eḷaka</b>paṭiggahaṇā paṭivirato hoti, kukkuṭasūkarapaṭiggahaṇā paṭivirato hoti",DN5.10,kūṭadantasuttaṃ,"tasmiṃ kho, brāhmaṇa, yaññe n'eva gāvo haññiṃsu, na <b>aj'eḷakā</b> haññiṃsu, na kukkuṭasūkarā haññiṃsu, na vividhā pāṇā saṃghātaṃ āpajjiṃsu, na rukkhā chijjiṃsu yūpatthāya, na dabbhā lūyiṃsu barihisatthāya.",AN2.9,cariyasuttaṃ,"sambhedaṃ loko agamissa, yathā <b>aj'eḷakā</b> kukkuṭasūkarā soṇasigālā.",SN3.9,yaññasuttaṃ,"<b>aj'eḷakā</b> ca gāvo ca, vividhā yattha haññare. na taṃ sammaggatā yaññaṃ, upayanti mah'esino."
attabhāva 2,masc,incarnation; personal existence; individual form; physical identity,SN22.96,gomayapiṇḍasuttaṃ,"atha kho bhagavā parittaṃ gomayapiṇḍaṃ pāṇinā gahetvā taṃ bhikkhuṃ etadavoca. ettako'pi kho, bhikkhu, <b>attabhāva</b>paṭilābho n'atthi nicco dhuvo sassato avipariṇāmadhammo sassatisamaṃ tath'eva ṭhassati.",AN6.63,nibbedhikasuttaṃ,"katamo ca, bhikkhave, kāmānaṃ vipāko? yaṃ kho, bhikkhave, kāmayamāno tajjaṃ tajjaṃ <b>attabhāvaṃ</b> abhinibbatteti puññabhāgiyaṃ vā apuññabhāgiyaṃ vā, ayaṃ vuccati, bhikkhave, kāmānaṃ vipāko.",,,,,,
attabhāvapaṭilābha 1,masc,physical incarnation; individual existence,SN22.96,gomayapiṇḍasuttaṃ,"ettako ce'pi, bhikkhu, <b>attabhāvapaṭilābho</b> abhavissa nicco dhuvo sassato avipariṇāmadhammo, na'y'idaṃ brahmacariyavāso paññāyetha sammā dukkhakkhayāya.",SN21.10,theranāmakasuttaṃ,"kathañ'ca, thera, ekavihāro vitthārena paripuṇṇo hoti. idha, thera, yaṃ atītaṃ taṃ pahīnaṃ, yaṃ anāgataṃ taṃ paṭinissaṭṭhaṃ, paccuppannesu ca <b>attabhāvapaṭilābhesu</b> chandarāgo suppaṭivinīto.",,,,,,
adāsi,aor,gave (to); offered (to),KHP7,tirokuṭṭasuttaṃ,"<b>adāsi</b> me akāsi me, ñātimittā sakhā ca me. petānaṃ dakkhiṇaṃ dajjā, pubbe katam'anussaraṃ.",THI71,subhājīvakambavanikātherīgāthā,"uppāṭiya cārudassanā,
na ca pajjittha asaṅgamānasā,
handa te cakkhuṃ harassu taṃ,
tassa narassa <b>adāsi</b> tāva'd'e.",SN2.23,serīsuttaṃ,"so khv'āhaṃ, bhante, paṭhamaṃ dvāraṃ itth'āgārassa <b>adāsiṃ</b>. tattha itth'āgārassa dānaṃ dīyittha mama dānaṃ paṭikkami.",APA523,tiṇamuṭṭhidāyaka therāpadānaṃ,"migaluddo pure āsiṃ, araññe kānane ahaṃ,
disvāna taṃ devadevaṃ, tiṇamuṭṭhiṃ <b>adās</b>'ahaṃ."
addakkhu,imperf,they saw,AN4.49,vipallāsasuttaṃ,"aniccaṃ aniccato dakkhuṃ, dukkham'<b>addakkhu</b> dukkhato.
anattani anattā'ti, asubhaṃ asubhat'addasuṃ.
sammādiṭṭhisamādānā, sabbaṃ dukkhaṃ upaccagun'ti",,,,,,,,,
addasuṃ,aor,they saw,AN4.49,vipallāsasuttaṃ,"anattani anattā'ti,
asubhaṃ asubhat'<b>addasuṃ</b>,
sammādiṭṭhisamādānā,
sabbaṃ dukkhaṃ upaccagun'ti.",,,,,,,,,
aniketa,adj,homeless,JA539,mahājanaka jātakaṃ,"ajinamhi haññate dīpi,
nāgo dantehi haññate,
dhanamhi dhanino hanti,
<b>aniketam</b>'asanthavaṃ,
phalī ambo aphalo ca,
te satthāro ubho mama.",SNP47,"māgaṇḍiyasuttaṃ
aṭṭhakavaggo 9","okaṃ pahāya <b>aniketa</b>sārī,
gāme akubbaṃ muni santhavāni,
kāmehi ritto apurekkharāno,
kathaṃ na viggayha janena kayirā.",SNP54,"sāriputtasuttaṃ
aṭṭhakavaggo 16","kiṃ'sū asissāmi kuvaṃ vā asissaṃ,
dukkhaṃ vata settha kv'ajja sessaṃ,
ete vitakke paridevaneyye,
vinayetha sekho <b>aniketa</b>cārī.",,,
aniketacārī,adj,wandering homeless; roaming without an abode,SNP54,"sāriputtasuttaṃ
aṭṭhakavaggo 16","kiṃ'sū asissāmi kuvaṃ vā asissaṃ,
dukkhaṃ vata settha kv'ajja sessaṃ,
ete vitakke paridevaneyye,
vinayetha sekho <b>aniketacārī</b>.",,,,,,,,,
