pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
aṅkusa 1,masc,hooked pole (used for elephant control),THI32,dantikātherīgāthā,"puriso <b>aṅkusam</b>'ādāya,
dehi pādan'ti yācati,
nāgo pasārayī pādaṃ,
puriso nāgam'āruhi.",DHP326,nāgavaggo,"idaṃ pure cittam'acāri cārikaṃ,
yen'icchakaṃ yatthakāmaṃ yathāsukhaṃ,
tadajj'ahaṃ niggahessāmi yoniso,
hatthippabhinnaṃ viya <b>aṅkusa</b>ggaho.",,,,,,
aṅkusaggaha,masc,mahout; elephant driver; (comm) elephant trainer,TH262,tālapuṭattheragāthā,"tathā tu kassāmi yathā'pi issaro,
yaṃ labbhati tena'pi hotu me alaṃ,
vīriyena taṃ mayha vas'ānayissaṃ,
gajaṃ'va mattaṃ kusal'<b>aṅkusaggaho</b>.",DHP326,nāgavaggo,"idaṃ pure cittam'acāri cārikaṃ,
yen'icchakaṃ yatthakāmaṃ yathāsukhaṃ,
tadajj'ahaṃ niggahessāmi yoniso,
hatthippabhinnaṃ viya <b>aṅkusaggaho</b>.",,,,,,
acāri 1.1,aor,walked around; wandered around; roamed,TH262,tālapuṭattheragāthā,"idaṃ pure cittam'<b>acāri</b> cārikaṃ,
yen'icchakaṃ yatthakāmaṃ yathāsukhaṃ,
tadajj'ahaṃ niggahessāmi yoniso,
hatthippabhinnaṃ viya aṅkusaggaho.",,,,,,,,,
accayati 2,pr,(of time) passes; flies past,TH133,heraññakānittheragāthā,"<b>accayanti</b> ahorattā,
jīvitaṃ uparujjhati,
āyu khīyati maccānaṃ,
kunnadīnaṃ'va odakaṃ.",,,,,,,,,
ajjhupekkhitar,masc,equanimous observer (of); who observes indifferently,SN46.3,sīlasuttaṃ,so tathāsamāhitaṃ cittaṃ sādhukaṃ <b>ajjhupekkhitā</b> hoti.,,,,,,,,,
añjana 1,nt,collyrium; black pigment; pitch-black colour,TH251,raṭṭhapālattheragāthā,"aṭṭhapadakatā kesā,
nettā <b>añjana</b>makkhitā,
alaṃ bālassa mohāya,
no ca pāragavesino.",AN9.37,ānandasuttaṃ,"ekam'id'āhaṃ, āvuso, samayaṃ sākete viharāmi <b>añjana</b>vane migadāye. atha kho, āvuso, jaṭilavāsikā bhikkhunī yen'āhaṃ ten'upasaṅkami, upasaṅkamitvā maṃ abhivādetvā ekam'antaṃ aṭṭhāsi.",,,,,,
añjanamakkhita,adj,with eyeliner; outlined,TH251,raṭṭhapālattheragāthā,"aṭṭhapadakatā kesā, nettā <b>añjanamakkhitā</b>.
alaṃ bālassa mohāya, no ca pāragavesino.",,,,,,,,,
aññadatthu 1,ind,most certainly; indeed; only,AN8.30,anuruddha mahāvitakkasuttaṃ,tatra bhikkhu vivekaninnena cittena vivekapoṇena vivekapabbhārena vivek'aṭṭhena nekkhamm'ābhiratena <b>añña'd'atthu</b> uyyojanikapaṭisaṃyuttaṃ'y'eva kathaṃ kattā hoti,MN4,bhayabheravasuttaṃ,"tassa mayhaṃ, brāhmaṇa, etadahosi, kiṃ nu kho ahaṃ <b>añña'd'atthu</b> bhayapaṭikaṅkhī viharāmi?",MN49,brahmanimantanikasuttaṃ,"eso hi, bhikkhu, brahmā mahābrahmā abhibhū anabhibhūto <b>añña'd'atthu</b>daso vasavattī issaro kattā nimmātā seṭṭho sajitā vasī pitā bhūtabhabyānaṃ.",,,
aññadatthudasa,adj,all seeing; visionary,MN49,brahmanimantanikasuttaṃ,"eso hi, bhikkhu, brahmā mahābrahmā abhibhū anabhibhūto <b>añña'd'atthudaso</b> vasavattī issaro kattā nimmātā seṭṭho sajitā vasī pitā bhūtabhabyānaṃ.",,,,,,,,,
aṭṭhapada 2,adj,in eight ways; eightfold,TH251,raṭṭhapālattheragāthā,"<b>aṭṭhapada</b>katā kesā,
nettā añjanamakkhitā,
alaṃ bālassa mohāya,
no ca pāragavesino.",,,,,,,,,
aṭṭhapadakata,adj,arranged in eight ways; plaited eightfold,TH251,raṭṭhapālattheragāthā,"<b>aṭṭhapadakatā</b> kesā, nettā añjanamakkhitā.
alaṃ bālassa mohāya, no ca pāragavesino.",,,,,,,,,
atandita,pp,energetic; effortful; active; alert,MN131,bhaddekarattasuttaṃ,"evaṃ vihārim'ātāpiṃ,
ahorattam'<b>atanditaṃ</b>.
taṃ ve bhadd'ekaratto'ti,
santo ācikkhate muni.",DHP305,pakiṇṇakavaggo,"ek'āsanaṃ ekaseyyaṃ,
eko caram'<b>atandito</b>,
eko damayam'attānaṃ,
van'ante ramito siyā.",,,,,,
addhika,masc,traveller; tramp; homeless wanderer,SN2.23,serīsuttaṃ,"tassa mayhaṃ, bhante, catūsu dvāresu dānaṃ dīyittha samaṇabrāhmaṇa-kapaṇ'<b>addhika-</b>vanibbaka-yācakānaṃ",,,,,,,,,
anabhibhūta,pp,unconquered (by); unvanquished (by); undefeated (by); not overcome (by),AN3.70,akusalamūlasuttaṃ,"yadapi aluddho lobhena <b>anabhibhūto</b> apariyādinnacitto na parassa asatā dukkhaṃ uppādayati, vadhena vā bandhanena vā jāniyā vā garahāya vā pabbājanāya vā balav'amhi bal'attho iti'pi tadapi kusalaṃ.",SNP52,"tuvaṭakasuttaṃ
aṭṭhakavaggo 14","abhibhū hi so <b>anabhibhūto</b>,
sakkhidhammam'anītiham'adassī,
tasmā hi tassa bhagavato sāsane,
appamatto sadā namassam'anusikkhe'ti.",AN3.66,kesamuttisuttaṃ,"aluddho pan'āyaṃ, kālāmā, purisapuggalo lobhena <b>anabhibhūto</b> apariyādinnacitto n'eva pāṇaṃ hanati",MN49,brahmanimantanikasuttaṃ,"eso hi, bhikkhu, brahmā mahābrahmā abhibhū <b>anabhibhūto</b> añña'd'atthudaso vasavattī issaro kattā nimmātā seṭṭho sajitā vasī pitā bhūtabhabyānaṃ."
anumajjati,pr,strokes; massages; rubs,AN7.61,pacalāyamānasuttaṃ,"no ce te evaṃ viharato taṃ middhaṃ pahīyetha tato tvaṃ, moggallāna, ubho kaṇṇasotāni āviñjeyyāsi pāṇinā gattāni <b>anumajjeyyāsi</b>",,,,,,,,,
abbhutadhamma 1,nt,marvellous accounts; unbelievable stories; one of the nine kinds of suttas,MN22,alagaddūpamasuttaṃ,"idha, bhikkhave, ekacce moghapurisā dhammaṃ pariyāpuṇanti, suttaṃ, geyyaṃ, veyyākaraṇaṃ, gāthaṃ, udānaṃ, itivuttakaṃ, jātakaṃ, <b>abbhutadhammaṃ</b>, vedallaṃ.",,,,,,,,,
abhibhū 2,masc,overlord; supreme being,MN49,brahmanimantanikasuttaṃ,"eso hi, bhikkhu, brahmā mahābrahmā <b>abhibhū</b> anabhibhūto añña'd'atthudaso vasavattī issaro kattā nimmātā seṭṭho sajitā vasī pitā bhūtabhabyānaṃ.",MN1,mūlapariyāyasuttaṃ,"<b>abhibhuṃ</b> abhibhūto sañjānāti, <b>abhibhuṃ</b> <b>abhibhūto</b> saññatvā <b>abhibhuṃ</b> maññati, <b>abhibhusmiṃ</b> maññati, <b>abhibhūto</b> maññati, <b>abhibhuṃ</b> me'ti maññati, <b>abhibhuṃ</b> abhinandati. taṃ kissa hetu? apariññātaṃ tassā'ti vadāmi.",,,,,,
ahoratta,nt,day and night; days and nights; time,TH133,heraññakānittheragāthā,"accayanti <b>ahorattā</b>,
jīvitaṃ uparujjhati,
āyu khīyati maccānaṃ,
kunnadīnaṃ'va odakaṃ.",,,,,,,,,
ahorattamatandita,adj,tireless throughout the day and night; energetic all the time,MN131,bhaddekarattasuttaṃ,"evaṃ vihārim'ātāpiṃ,
<b>ahorattam'atanditaṃ</b>.
taṃ ve bhadd'ekaratto'ti,
santo ācikkhate muni.",,,,,,,,,
ahorattaṃ,ind,day and night; continuously; continually,MN131,bhaddekarattasuttaṃ,"evaṃ vihārim'ātāpiṃ,
<b>ahorattam</b>'atanditaṃ.
taṃ ve bhadd'ekaratto'ti,
santo ācikkhate muni.",,,,,,,,,
āgantuka 1,masc,guest; newcomer; new arrival; stranger,DHPa1.5.11,jambukatthera vatthu,"āvuso, <b>āgantuka</b> kuṭumbikassa te gehe bhattaṃ bhuñjanato varataraṃ mīḷhaṃ khādituṃ... kuṭumbikena dinnasāṭakanivāsanato varataraṃ naggena vicarituṃ",AN5.36,kāladānasuttaṃ,"<b>āgantukassa</b> dānaṃ deti, gamikassa dānaṃ deti, gilānassa dānaṃ deti, dubbhikkhe dānaṃ deti, yāni tāni navasassāni navaphalāni tāni paṭhamaṃ sīlavantesu patiṭṭhāpeti.",,,,,,
ācikkhati 2,pr,describes; points out; shows (something to someone),MN131,bhaddekarattasuttaṃ,"evaṃ vihārim'ātāpiṃ,
ahorattam'atanditaṃ.
taṃ ve bhadd'ekaratto'ti,
santo <b>ācikkhate</b> muni.",,,,,,,,,
āviñjati 1,pr,pulls; pulls on,AN7.61,pacalāyamānasuttaṃ,"no ce te evaṃ viharato taṃ middhaṃ pahīyetha tato tvaṃ, moggallāna, ubho kaṇṇasotāni <b>āviñjeyyāsi</b> pāṇinā gattāni anumajjeyyāsi",,,,,,,,,
icchaka,adj,wanting; desiring,DHP326,nāgavaggo,"idaṃ pure cittam'acāri cārikaṃ,
yena-<b>icchakaṃ</b> yatthakāmaṃ yathāsukhaṃ,
tadajj'ahaṃ niggahessāmi yoniso,
hatthippabhinnaṃ viya aṅkusaggaho.",,,,,,,,,
