id,pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
670,aggiparicārika,masc,fire worshipper; attendant of the sacred fire,AN10.176,cundasuttaṃ,"brāhmaṇā, bhante, pacchābhūmakā kamaṇḍalukā sevālamālikā <b>aggiparicārikā</b> udak'orohakā soceyyāni paññapenti, tes'āhaṃ soceyyāni rocemī'ti",,,,,,,,,
909,acelaka,masc,naked ascetic,VIN PAT PC 41,acelakasikkhāpadaṃ,"yo pana bhikkhu <b>acelakassa</b> vā paribbājakassa vā paribbājikāya vā sahatthā khādanīyaṃ vā bhojanīyaṃ vā dadeyya, pācittiyaṃ.",MN40,cūḷāssapurasuttaṃ,"n'āhaṃ, bhikkhave, <b>acelakassa</b> <b>acelaka</b>mattena sāmaññaṃ vadāmi.",SN3.11,sattajaṭilasuttaṃ,tena kho pana samayena satta ca jaṭilā satta ca nigaṇṭhā satta ca <b>acelakā</b> satta ca ekasāṭakā satta ca paribbājakā parūḷhakacchanakhalomā khārivividham'ādāya bhagavato avidūre atikkamanti.,,,
1227,ajjatagge,ind,from today onwards,DN2.32,sāmaññaphalasuttaṃ,maṃ bhagavā dhāretu <b>ajja't'agge</b> pāṇ'upetaṃ saraṇaṃ gataṃ,VIN PAT PC 70,kaṇṭakasikkhāpadaṃ,"<b>ajja't'agge</b> te, āvuso, samaṇ'uddesa na c'eva so bhagavā satthā apadisitabbo, yam'pi c'aññe samaṇ'uddesā labhanti bhikkhūhi saddhiṃ dirattatirattaṃ sahaseyyaṃ, sā'pi te n'atthi, cara'pi re, vinassā'ti.",,,,,,
2070,atikkamati 3,pr,passes by; goes past,SN3.11,sattajaṭilasuttaṃ,tena kho pana samayena satta ca jaṭilā satta ca nigaṇṭhā satta ca acelakā satta ca ekasāṭakā satta ca paribbājakā parūḷhakacchanakhalomā khārivividham'ādāya bhagavato avidūre <b>atikkamanti</b>.,,,,,,,,,
2202,atipātī 1,adj,attacking; harming; killing,SN42.6,asibandhakaputtasuttaṃ,"taṃ kiṃ maññasi, gāmaṇi, idh'assa puriso pāṇa-<b>atipātī</b> adinn'ādāyī kāmesumicchācārī musāvādī pisuṇavāco pharusavāco samphappalāpī abhijjhālu byāpannacitto micchādiṭṭhiko.",AN3.164,kammapatha peyyālaṃ,attanā ca pāṇa-<b>atipātī</b> hoti parañ'ca pāṇ'ātipāte samādapeti pāṇ'ātipāte ca samanuñño hoti,,,,,,
2605,attha 3.1,masc,home; rest; shelter,SN45.8,vibhaṅgasuttaṃ,"sukhassa ca pahānā dukkhassa ca pahānā, pubb'eva somanassadomanassānaṃ <b>atthaṅ</b>'gamā, adukkham'asukhaṃ upekkhāsatipārisuddhiṃ catutthaṃ jhānaṃ upasampajja viharati.",SNP61,"upasīva māṇava pucchā
pārāyanavaggo 6","accī yathā vātavegena khittā,
<b>atthaṃ</b> paleti na upeti saṅkhaṃ,
evaṃ munī nāmakāyā vimutto,
atthaṃ paleti na upeti saṅkhaṃ.",DHP226,kodhavaggo,"sadā jāgaramānānaṃ,
ahoratt'ānusikkhinaṃ,
nibbānaṃ adhimuttānaṃ,
<b>atthaṃ</b> gacchanti āsavā.",,,
2631,atthaṅgama 1,masc,disappearance (of); vanishing (of); settling down (of); subsiding (of); passing away (of),SN45.8,vibhaṅgasuttaṃ,"sukhassa ca pahānā dukkhassa ca pahānā, pubb'eva somanassadomanassānaṃ <b>atthaṅ'gamā</b>, adukkham'asukhaṃ upekkhāsatipārisuddhiṃ catutthaṃ jhānaṃ upasampajja viharati.",AN4.41,samādhibhāvanāsuttaṃ,"iti saññā, iti saññāya samudayo, iti saññāya <b>atthaṅ'gamo</b>, iti saṅkhārā, iti saṅkhārānaṃ samudayo, iti saṅkhārānaṃ <b>atthaṅ'gamo</b>, iti viññāṇaṃ, iti viññāṇassa samudayo, iti viññāṇassa <b>atthaṅ'gamo</b>'ti",,,,,,
2714,atthavādī 1,adj,who speaks what is beneficial; who says what is meaningful,MN51,kandarakasuttaṃ,kālavādī bhūtavādī <b>atthavādī</b> dhammavādī vinayavādī nidhānavatiṃ vācaṃ bhāsitā kālena sāpadesaṃ pariyantavatiṃ atthasaṃhitaṃ,,,,,,,,,
2901,adinnādāyī 1,adj,who steals; who takes what is not offered,SN42.6,asibandhakaputtasuttaṃ,"taṃ kiṃ maññasi, gāmaṇi, idh'assa puriso pāṇ'ātipātī <b>adinn'ādāyī</b> kāmesumicchācārī musāvādī pisuṇavāco pharusavāco samphappalāpī abhijjhālu byāpannacitto micchādiṭṭhiko.",AN10.176,cundasuttaṃ,<b>adinn'ādāyī</b> hoti. yaṃ taṃ parassa paravitt'ūpakaraṇaṃ gāmagataṃ vā araññagataṃ vā taṃ adinnaṃ theyyasaṅkhātaṃ ādātā hoti,MN8,sallekhasuttaṃ,<b>adinnādāyissa</b> purisapuggalassa adinnādānā veramaṇī hoti parinibbānāya. abrahmacārissa purisapuggalassa abrahmacariyā veramaṇī hoti parinibbānāya.,,,
2909,adukkha,adj,comfortable; free from trouble; without suffering; pain-free,SN45.8,vibhaṅgasuttaṃ,"sukhassa ca pahānā dukkhassa ca pahānā, pubb'eva somanassadomanassānaṃ atthaṅ'gamā, <b>adukkham</b>'asukhaṃ upekkhāsatipārisuddhiṃ catutthaṃ jhānaṃ upasampajja viharati.",MN139,araṇavibhaṅgasuttaṃ,"tatra, bhikkhave, yam'idaṃ ataramānassa bhāsitaṃ, <b>adukkho</b> eso dhammo anupaghāto anupāyāso apariḷāho, sammāpaṭipadā. tasmā eso dhammo araṇo.",,,,,,
